Physical Time (s),ea_left Monitor (kg-m/s^3)
0.8875,-7.7373528088673825e-08
0.89,-7.7401862115754539e-08
0.8925,-7.7351683555277946e-08
0.895,-7.7224042815128006e-08
0.8975,-7.7021436559341891e-08
0.9,-7.6747728121433634e-08
0.9025,-7.640800231425048e-08
0.905,-7.6008393863111417e-08
0.9075,-7.5555886955352184e-08
0.91,-7.5058120591333548e-08
0.9125,-7.4523211207641031e-08
0.915,-7.3959637177797459e-08
0.9175,-7.3376198384235465e-08
0.92,-7.278189563512182e-08
0.9225,-7.2185707975414586e-08
0.925,-7.1596275548181532e-08
0.9275,-7.1021634398437636e-08
0.93,-7.0469113351832903e-08
0.9325,-6.9945273759207217e-08
0.935,-6.9455998363244576e-08
0.9375,-6.9006544161746425e-08
0.94,-6.8601636737194636e-08
0.9425,-6.824555717225693e-08
0.945,-6.7942161525507912e-08
0.9475,-6.7694851749121034e-08
0.95,-6.7506541240290806e-08
0.9525,-6.737963241677969e-08
0.955,-6.7316039659509158e-08
0.9575,-6.7317245315428924e-08
0.96,-6.738438064053254e-08
0.9625,-6.7518214947708257e-08
0.965,-6.7719234983563277e-08
0.9675,-6.7987623310944229e-08
0.97,-6.832312985793859e-08
0.9725,-6.8724983958375553e-08
0.975,-6.9191832011906637e-08
0.9775,-6.9721684721936993e-08
0.98,-7.0311867067039781e-08
0.9825,-7.0958979250270876e-08
0.985,-7.1658857194412052e-08
0.9875,-7.2406568523009614e-08
0.99,-7.3196372766882417e-08
0.9925,-7.4021755155021598e-08
0.995,-7.4875394046615837e-08
0.9975,-7.5749169980050872e-08
1.0,-7.6634220138667711e-08
1.0025,-7.7521022493213981e-08
1.005,-7.8399491348388417e-08
1.0075,-7.9259183060468859e-08
1.01,-8.0089533472737305e-08
1.0125,-8.0880042078004945e-08
1.015,-8.1620607798410362e-08
1.0175,-8.2301738202388935e-08
1.02,-8.291480068980292e-08
1.0225,-8.3452267155394733e-08
1.025,-8.3907929385857038e-08
1.0275,-8.4277068740589774e-08
1.03,-8.4556572716604342e-08
1.0325,-8.4745018601273982e-08
1.035,-8.4842705990549924e-08
1.0375,-8.4851660513682186e-08
1.04,-8.477557504534764e-08
1.0425,-8.4619706460181438e-08
1.045,-8.4390737638430613e-08
1.0475,-8.4096615477864008e-08
1.05,-8.3746369596553502e-08
1.0525,-8.3349892861881561e-08
1.055,-8.2917693903787304e-08
1.0575,-8.2460662630118852e-08
1.06,-8.1989774663488222e-08
1.0625,-8.1515921428407869e-08
1.065,-8.1049702181238507e-08
1.0675,-8.0601219728804428e-08
1.07,-8.017997050402737e-08
1.0725,-7.9794616345440885e-08
1.075,-7.9452926767373641e-08
1.0775,-7.9161639678236055e-08
1.08,-7.8926388148146995e-08
1.0825,-7.8751650117407783e-08
1.085,-7.8640708222415985e-08
1.0875,-7.8595599713162645e-08
1.09,-7.8617105846763358e-08
1.0925,-7.8704769429447608e-08
1.095,-7.8856933494303491e-08
1.0975,-7.9070807969466076e-08
1.1,-7.9342562430278732e-08
1.1025,-7.9667454321033203e-08
1.105,-8.0039988760588871e-08
1.1075,-8.0454068428489836e-08
1.11,-8.0903164436445114e-08
1.1125,-8.1380410440373895e-08
1.115,-8.1878739745110102e-08
1.1175,-8.2390981038430305e-08
1.12,-8.2909968156471439e-08
1.1225,-8.342866102276855e-08
1.125,-8.3940252763198401e-08
1.1275,-8.4438282679339252e-08
1.13,-8.4916756128527145e-08
1.1325,-8.537025066442123e-08
1.135,-8.5794016176901374e-08
1.1375,-8.6184059937562163e-08
1.14,-8.6537185572285011e-08
1.1425,-8.6851044267915954e-08
1.145,-8.7124163787930471e-08
1.1475,-8.7355960294376062e-08
1.15,-8.7546702625216049e-08
1.1525,-8.7697442704208644e-08
1.155,-8.7809932146688062e-08
1.1575,-8.7886531030817471e-08
1.16,-8.793011297042204e-08
1.1625,-8.7943959682710891e-08
1.165,-8.7931663561850961e-08
1.1675,-8.7897041986762109e-08
1.17,-8.784405492088563e-08
1.1725,-8.7776727057130355e-08
1.175,-8.7699080480343116e-08
1.1775,-8.7615062531601194e-08
1.18,-8.7528463852810956e-08
1.1825,-8.7442842037207173e-08
1.185,-8.7361484276878864e-08
1.1875,-8.7287416369548437e-08
1.19,-8.7223398379447799e-08
1.1925,-8.7171878368160345e-08
1.195,-8.7134939817822946e-08
1.1975,-8.7114276490186414e-08
1.2,-8.7111189584277824e-08
1.2025,-8.7126587042323583e-08
1.205,-8.7160956196796215e-08
1.2075,-8.7214316823286005e-08
1.21,-8.7286187084602122e-08
1.2125,-8.7375592670083956e-08
1.215,-8.7481109487025958e-08
1.2175,-8.7600945330265561e-08
1.22,-8.77330399220493e-08
1.2225,-8.7875136041219086e-08
1.225,-8.8024794945018979e-08
1.2275,-8.8179369109025767e-08
1.23,-8.8335980782291186e-08
1.2325,-8.8491534724104088e-08
1.235,-8.8642755578202206e-08
1.2375,-8.8786244192073506e-08
1.24,-8.8918533144064731e-08
1.2425,-8.9036165001406174e-08
1.245,-8.9135789754927922e-08
1.2475,-8.921427852859771e-08
1.25,-8.926880805192113e-08
1.2525,-8.9296905037967334e-08
1.255,-8.9296479730812428e-08
1.2575,-8.9265877435769074e-08
1.26,-8.9203944317200423e-08
1.2625,-8.9110054877879087e-08
1.265,-8.8984101693293602e-08
1.2675,-8.8826450840209325e-08
1.27,-8.8637940321578543e-08
1.2725,-8.8419905180796291e-08
1.275,-8.8174198895122855e-08
1.2775,-8.790322485348102e-08
1.28,-8.7609860132106273e-08
1.2825,-8.7297369320230327e-08
1.285,-8.696927611053883e-08
1.2875,-8.6629302304643709e-08
1.29,-8.628132627459991e-08
1.2925,-8.5929353801018079e-08
1.295,-8.557748272541298e-08
1.2975,-8.5229844628760041e-08
1.3,-8.4890540905649097e-08
1.3025,-8.4563556998322977e-08
1.305,-8.4252695649257966e-08
1.3075,-8.3961500050286024e-08
1.31,-8.3693250326569358e-08
1.3125,-8.3450934847725234e-08
1.315,-8.3237272672528278e-08
1.3175,-8.3054670322514299e-08
1.32,-8.2905218907261592e-08
1.3225,-8.2790679918503434e-08
1.325,-8.2712519447196216e-08
1.3275,-8.267192730477393e-08
1.33,-8.2669807726083948e-08
1.3325,-8.2706744031233809e-08
1.335,-8.2782979612914057e-08
1.3375,-8.2898424192121917e-08
1.34,-8.3052672422670656e-08
1.3425,-8.3245017520324912e-08
1.345,-8.3474451067469753e-08
1.3475,-8.3739636157844415e-08
1.35,-8.4038874642385349e-08
1.3525,-8.4370143486568967e-08
1.355,-8.4731069002130637e-08
1.3575,-8.5118999260919545e-08
1.36,-8.5530977205950181e-08
1.3625,-8.5963792876574837e-08
1.365,-8.641397923104994e-08
1.3675,-8.6877829637816478e-08
1.37,-8.7351401384548588e-08
1.3725,-8.7830536506574405e-08
1.375,-8.8310948818522929e-08
1.3775,-8.8788309778225321e-08
1.38,-8.9258307591299241e-08
1.3825,-8.9716661564136115e-08
1.385,-9.0159122391989801e-08
1.3875,-9.0581496355223762e-08
1.39,-9.097969267732306e-08
1.3925,-9.1349761992717414e-08
1.395,-9.1687970113908796e-08
1.3975,-9.1990860028604966e-08
1.4,-9.2255275007870914e-08
1.4025,-9.2478448459623278e-08
1.405,-9.2658033479447775e-08
1.4075,-9.2792165591549259e-08
1.41,-9.2879505388873514e-08
1.4125,-9.2919180127061696e-08
1.415,-9.2910759939447554e-08
1.4175,-9.2854264833756682e-08
1.42,-9.2750233890918576e-08
1.4225,-9.2599728676054835e-08
1.425,-9.2404332300478186e-08
1.4275,-9.2166104251097848e-08
1.43,-9.188752071815089e-08
1.4325,-9.1571425829966358e-08
1.435,-9.1220985056097555e-08
1.4375,-9.0839647866920594e-08
1.44,-9.0431148041198245e-08
1.4425,-8.999945433481467e-08
1.445,-8.9548688054869136e-08
1.4475,-8.9083063097164004e-08
1.45,-8.8606826095524721e-08
1.4525,-8.8124264439781697e-08
1.455,-8.7639715711272499e-08
1.4575,-8.7157513821396091e-08
1.46,-8.6681912439924197e-08
1.4625,-8.6217054508849863e-08
1.465,-8.5766948063072707e-08
1.4675,-8.5335458924482884e-08
1.47,-8.4926244735888077e-08
1.4725,-8.454268737210125e-08
1.475,-8.418782394755161e-08
1.4775,-8.3864356538090554e-08
1.48,-8.3574607877027849e-08
1.4825,-8.3320505109993157e-08
1.485,-8.3103564405604487e-08
1.4875,-8.292490118928425e-08
1.49,-8.2785255895629102e-08
1.4925,-8.2685006343542003e-08
1.495,-8.2624154936942638e-08
1.4975,-8.2602310220957862e-08
1.5,-8.2618674855721734e-08
1.5025,-8.2672032698122329e-08
1.505,-8.2760743397606732e-08
1.5075,-8.2882742200786995e-08
1.51,-8.3035539654748301e-08
1.5125,-8.321628594746486e-08
1.515,-8.342176245885281e-08
1.5175,-8.3648454885692499e-08
1.52,-8.3892563119368792e-08
1.5225,-8.4150090206394141e-08
1.525,-8.4416842463603211e-08
1.5275,-8.4688438779793524e-08
1.53,-8.4960344799198831e-08
