Physical Time (s),enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv7
0.31,-4.4598334167924858e-08,-1.9859769926893837e-08,2.6813259517991064e-08,4.9046233284566733e-08,5.83211707829803e-08,6.4355867041701912e-08,6.4340738997451264e-08
0.3125,-5.0275061667575394e-08,-2.5319743065848343e-08,2.0592189096218454e-08,4.1573801704086792e-08,5.0126515192054223e-08,5.5642641345442243e-08,5.5187781099508237e-08
0.315,-5.4589311974260595e-08,-2.9369664416849037e-08,1.5733689031768554e-08,3.5125018436279517e-08,4.2601996862209321e-08,4.7161405246381246e-08,4.6087693174677332e-08
0.3175,-5.7523646260632229e-08,-3.195080611461051e-08,1.2514833549164447e-08,3.0196186023434987e-08,3.6351930170660977e-08,3.9552959295057899e-08,3.7678716144426335e-08
0.32,-5.9203434874909904e-08,-3.3170408869297191e-08,1.0976529332591257e-08,2.7060618197370678e-08,3.1810104997300217e-08,3.3374902543731004e-08,3.0571328320722595e-08
0.3225,-5.9782357653725136e-08,-3.3209188154047953e-08,1.0889934834232528e-08,2.5489262548770625e-08,2.8789445545106439e-08,2.8496636787096079e-08,2.4696994354883661e-08
0.325,-5.9079919408468961e-08,-3.2035325592747638e-08,1.2053872743903118e-08,2.5260698016781814e-08,2.7128805688720873e-08,2.4873596410126919e-08,2.0107683788007263e-08
0.3275,-5.681626664738031e-08,-2.9543066841094515e-08,1.4270662639492002e-08,2.60974581868376e-08,2.6578772632544872e-08,2.2373937477542341e-08,1.6776462790528474e-08
0.33,-5.2671771667108882e-08,-2.5593408483070017e-08,1.7317514962384856e-08,2.7646223519390819e-08,2.6786060625112967e-08,2.074807096880609e-08,1.4552883875845372e-08
0.3325,-4.636154022892694e-08,-2.0087672833039485e-08,2.0883661351127636e-08,2.9430023291111867e-08,2.7255855930365755e-08,1.9586369239336524e-08,1.3110781454966276e-08
0.335,-3.7292744380256535e-08,-1.2701258876760156e-08,2.4726734503881353e-08,3.092475920829016e-08,2.737929496135453e-08,1.8302922130585227e-08,1.1959202829820423e-08
0.3375,-2.5603399263206653e-08,-3.6682058194159734e-09,2.8433168231718291e-08,3.1694282535758884e-08,2.6777077792766908e-08,1.6666153745002337e-08,1.0937367281650113e-08
0.34,-1.1981572503695456e-08,6.5121023591290541e-09,3.1808169503150455e-08,3.1722080763906904e-08,2.5526703431583757e-08,1.486707238728634e-08,1.0194548237255586e-08
0.3425,3.1983484937045072e-09,1.761695260580737e-08,3.48698352733828e-08,3.1120838013860601e-08,2.3796633978297868e-08,1.3121232355694539e-08,9.8944323734948548e-09
0.345,1.9209846558479076e-08,2.9161221832072224e-08,3.760821746574384e-08,3.0079322009698048e-08,2.1843906508360396e-08,1.1689762977830052e-08,1.0171806883031154e-08
0.3475,3.5000452271120973e-08,4.0524969428419346e-08,4.0238097738871281e-08,2.9132574118197995e-08,2.0238530392655976e-08,1.1033165637498e-08,1.1274692658635172e-08
0.35,5.0356548416734983e-08,5.1524486126355963e-08,4.2858363607452006e-08,2.8627974505288947e-08,1.9487774489643776e-08,1.1819755678401294e-08,1.3971188763168354e-08
0.3525,6.4479849885527564e-08,6.1621904915102464e-08,4.5567725090415642e-08,2.9054002324523939e-08,2.0211034303089934e-08,1.4694146824283389e-08,1.8866440246171167e-08
0.355,7.6684271408843776e-08,7.0460761183364241e-08,4.8684256706345086e-08,3.1106458072274781e-08,2.3231146867770886e-08,2.0484681916358659e-08,2.6773455451219759e-08
0.3575,8.6406667533733404e-08,7.7794670805803854e-08,5.2621576618163967e-08,3.5515303191827695e-08,2.938202995328401e-08,3.0007568107298839e-08,3.851050924240672e-08
0.36,9.3191770533630642e-08,8.3387388814137306e-08,5.7642300633513978e-08,4.2761186414174674e-08,3.9201375135846666e-08,4.3752241290077439e-08,5.4571819526120068e-08
0.3625,9.669825047214624e-08,8.701462735990627e-08,6.3841072150677029e-08,5.3057045560803687e-08,5.2897493016326833e-08,6.1840678192255238e-08,7.5067807947602382e-08
