Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.2375,2.7580776225786419e-06,1.0144256504634179e-06,1.7432597954879262e-08,3.3007342791674676e-09,1.2085294664157326e-09,4.3046507172446749e-10,2.9349399315769243e-10
0.24,2.3066861229629796e-06,1.0649252365912955e-06,1.8179234165125098e-08,3.4578530178976032e-09,1.1796194448724351e-09,3.2765367084556363e-10,3.3398892262931667e-10
0.2425,1.8460087511401171e-06,1.1147726455559737e-06,1.8977103246296827e-08,3.6878834304947252e-09,1.1976355970428629e-09,2.4275966287447877e-10,3.370208628447389e-10
0.245,1.3775176708785306e-06,1.1634882185792081e-06,1.9763372786440018e-08,3.9777913992816257e-09,1.2641939569108744e-09,1.8103592213584145e-10,3.0273471855699018e-10
0.2475,9.0299177269142408e-07,1.2106223686560572e-06,2.0472061414634462e-08,4.3040591713031035e-09,1.3770381490737958e-09,1.4280088394614861e-10,2.4044107176447841e-10
0.25,4.2421606139335493e-07,1.255807763169007e-06,2.1048620725492921e-08,4.6353488975324997e-09,1.5284310743522557e-09,1.256366969459815e-10,1.6568136013618298e-10
0.2525,-5.7347185370859784e-08,1.2987810377976885e-06,2.1460477720249107e-08,4.938400959887613e-09,1.7052313267892846e-09,1.2718174710544074e-10,9.4915721715020879e-11
0.255,-5.4092616268874442e-07,1.3394273039159688e-06,2.1694674293908914e-08,5.1825965912339762e-09,1.8905098638767558e-09,1.4721485854388749e-10,4.0739018688831212e-11
0.2575,-1.0255455297971233e-06,1.3777319282357692e-06,2.1758167997023003e-08,5.3461557234236559e-09,2.0629171930929642e-09,1.8672492712099906e-10,9.5205542067231074e-12
0.26,-1.5105164137602774e-06,1.4137500052076786e-06,2.167464323494935e-08,5.4180662670984078e-09,2.2015239267281653e-09,2.4624530440456414e-10,1.4027286840011634e-13
0.2625,-1.9948754990150034e-06,1.4475459008752776e-06,2.1486318172006696e-08,5.401126081317888e-09,2.2898608852731035e-09,3.2285118738935187e-10,5.4714103221242385e-12
0.265,-2.4776144743884747e-06,1.479194685026905e-06,2.1246759412145282e-08,5.3086200646856738e-09,2.3193754343633219e-09,4.0926619043042354e-10,1.5585231803924069e-11
0.2675,-2.9574533810490168e-06,1.5087911267361568e-06,2.1012557122112404e-08,5.1639530569881077e-09,2.2910619299432185e-09,4.9398749267491521e-10,2.170714605281721e-11
0.27,-3.4330457456058003e-06,1.5364138615892014e-06,2.0833493142691121e-08,4.9954416922175518e-09,2.2145336151325088e-09,5.6413976513275708e-10,1.9502117951008637e-11
0.2725,-3.902893778381488e-06,1.5621401603640525e-06,2.0742153500530854e-08,4.8324208674635926e-09,2.1069856818994972e-09,6.0936288848905763e-10,1.0686121732732517e-11
0.275,-4.3654723491333462e-06,1.5860110221210413e-06,2.0754503710747179e-08,4.6977739059310901e-09,1.9872164183741367e-09,6.2499993402971118e-10,1.8447976256415083e-12
0.2775,-4.8190261073093609e-06,1.6080666712259259e-06,2.0871625352836375e-08,4.6063931095478245e-09,1.8722183267221303e-09,6.1252852681887731e-10,1.4391320440429786e-12
0.28,-5.2626826224264373e-06,1.6284048982952023e-06,2.1089559907103512e-08,4.5662692739280008e-09,1.7744033979157495e-09,5.7735266692037616e-10,1.6550620516241759e-11
0.2825,-5.6963214807329079e-06,1.6471660366323583e-06,2.1391690510527282e-08,4.5802770310663454e-09,1.7025194244587088e-09,5.2808376410972156e-10,5.0475391129713551e-11
0.285,-6.1193066985637728e-06,1.6644750871191439e-06,2.1757353203117195e-08,4.6469718043347311e-09,1.6616486082814609e-09,4.7375532889263771e-10,1.0157264900616654e-10
0.2875,-6.5311564985930296e-06,1.6804877271713191e-06,2.2154586251423178e-08,4.7590882570962003e-09,1.6531225604737034e-09,4.2307001590146467e-10,1.6342084823262636e-10
