Physical Time (s),etp_right Monitor (kg-m/s^3): right_cv1,etp_right Monitor (kg-m/s^3): right_cv2,etp_right Monitor (kg-m/s^3): right_cv3,etp_right Monitor (kg-m/s^3): right_cv4,etp_right Monitor (kg-m/s^3): right_cv5,etp_right Monitor (kg-m/s^3): right_cv6,etp_right Monitor (kg-m/s^3): right_cv7
0.3375,3.3275960657650646e-05,1.9726397166389839e-06,-5.9673229967912317e-09,-7.5926049166481553e-08,-7.4909030210728551e-08,-5.4438983743813419e-08,-3.0268831306336351e-09
0.34,3.3289480293737364e-05,1.9211748705496113e-06,-2.4769126247545298e-08,-8.5366600383607449e-08,-8.0535184338258563e-08,-5.4694574239183692e-08,-8.9202254000719144e-10
0.3425,3.3272150412111188e-05,1.858753627831968e-06,-4.6993075085433977e-08,-9.4755065914786002e-08,-8.4629838645673303e-08,-5.2740133476192302e-08,3.8199111891112569e-12
0.345,3.3224438953874861e-05,1.7892460558894113e-06,-7.1417365931936576e-08,-1.0368246379875609e-07,-8.6912591903786568e-08,-4.8633057653501732e-08,-4.6521751688548197e-10
0.3475,3.3155019390580027e-05,1.7210440058735912e-06,-9.5589951519765918e-08,-1.1142555274977805e-07,-8.7347387452559111e-08,-4.2912900431149104e-08,-2.1603022701312385e-09
0.35,3.3071191354286463e-05,1.6480098703678369e-06,-1.2006273040832058e-07,-1.1794155826956692e-07,-8.5787912164588612e-08,-3.5654873967584582e-08,-4.8951746360355282e-09
0.3525,3.2982963697580588e-05,1.5716550192954363e-06,-1.4346083735328173e-07,-1.2254336388460461e-07,-8.2140787764785481e-08,-2.7360344931087493e-08,-8.3525909290922522e-09
0.355,3.2893703329515232e-05,1.494880192374483e-06,-1.6452702677843661e-07,-1.2452621556984343e-07,-7.636013987887431e-08,-1.8630388931421728e-08,-1.2113714003857239e-08
0.3575,3.2804653617579161e-05,1.4201190847133004e-06,-1.8203862692013594e-07,-1.2334111046242511e-07,-6.8473625303421308e-08,-1.0101768518971755e-08,-1.5713149083837807e-08
0.36,3.2716635968889581e-05,1.350861786463104e-06,-1.9466239583857845e-07,-1.1865990130159417e-07,-5.8653380800698364e-08,-2.3699253711753179e-09,-1.8711059358392091e-08
0.3625,3.2632401840189211e-05,1.2917433644750167e-06,-2.0103523001886802e-07,-1.1036544672989605e-07,-4.7255732773793969e-08,4.0861212442353923e-09,-2.0767531772685011e-08
0.365,3.255738263195106e-05,1.2473326582661272e-06,-1.9998121322756371e-07,-9.8547476516935627e-08,-3.4799688040315407e-08,8.9575945184000682e-09,-2.1697805578054205e-08
0.3675,3.2498530748900585e-05,1.2212577535587642e-06,-1.907278394488573e-07,-8.3506548352740858e-08,-2.1892853040576322e-08,1.2135882334338028e-08,-2.1494099266877171e-08
