Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.1175,-7.59816742282985e-07,-7.1043227791615432e-07,-6.3160266527742028e-07,-6.0813178233774892e-07,-6.0273194037075775e-07,-5.9795635831304232e-07,-5.4488927083699392e-07
0.12,-6.8059754549207837e-07,-6.3620573407797244e-07,-5.6165527605877935e-07,-5.4351396571139164e-07,-5.4283318134514432e-07,-5.4445609656675612e-07,-5.225309026552424e-07
0.1225,-5.325915994200481e-07,-4.8869504720627265e-07,-4.1396714717692217e-07,-3.9819321254596546e-07,-4.0043029339365258e-07,-4.0427219339239841e-07,-4.0026275382896906e-07
0.125,-3.5638525370027911e-07,-3.0810525875388937e-07,-2.2635706219781624e-07,-2.0835660863183313e-07,-2.115440650900255e-07,-2.1487491547455636e-07,-2.1362438688868424e-07
0.1275,-1.9189696188953519e-07,-1.3608245434425737e-07,-4.1222353763689015e-08,-1.5997014873483873e-08,-1.8127295625499572e-08,-2.051883019562647e-08,-1.2265268652290044e-08
0.13,-6.6135466824424062e-08,-2.0001165024218562e-09,1.0948335646682153e-07,1.4644798643861107e-07,1.4778889823318836e-07,1.4571003988564334e-07,1.6345254145087824e-07
0.1325,1.1797782891016193e-08,8.2956079954287952e-08,2.1107197860207758e-07,2.6279583352388016e-07,2.703732005789103e-07,2.6853077906532393e-07,2.929016564115496e-07
0.135,4.7399543832192967e-08,1.226942005452487e-07,2.6353634965404918e-07,3.3046199458370215e-07,3.4670733507588264e-07,3.4635821943579171e-07,3.7237247822603173e-07
0.1375,5.373497286484592e-08,1.2926529950611737e-07,2.7538884643790902e-07,3.547697104286226e-07,3.808325348974586e-07,3.8421520706207848e-07,4.0735831890751984e-07
0.14,4.448067297974439e-08,1.1606098943768897e-07,2.5786668370491617e-07,3.4408802005565771e-07,3.7922330094563434e-07,3.8860225096607383e-07,4.0619668161176865e-07
0.1425,2.9599260319196789e-08,9.3594196196967315e-08,2.2160077237780832e-07,3.0750798343532053e-07,3.4916205162481868e-07,3.6595331530240693e-07,3.7748417658982681e-07
0.145,1.416053960137138e-08,6.8122563052153073e-08,1.7531339557658846e-07,2.5411469366023388e-07,2.9869151867767743e-07,3.2308843405102251e-07,3.2975500987974458e-07
0.1475,-1.7741876460822056e-10,4.2667283826376145e-08,1.2579639679887283e-07,1.9267893038953178e-07,2.365663597842779e-07,2.6770275755459587e-07,2.7148810705409398e-07
0.15,-1.2669861061441094e-08,1.9139133876841588e-08,7.8670230375056914e-08,1.3154243168159963e-07,1.7192697250943143e-07,2.0830380589830583e-07,2.109793008458925e-07
0.1525,-2.1798412674507702e-08,-1.5653120804341375e-10,3.8875776724585353e-08,7.8149427715234655e-08,1.1338818675458043e-07,1.5327879238425726e-07,1.5579018658171034e-07
0.155,-2.5080202386506949e-08,-1.2378664569862783e-08,1.0385576898688426e-08,3.8068749739790143e-08,6.7604359744128085e-08,1.092823845005674e-07,1.1179622645629749e-07
