Physical Time (s),ev_bot Monitor (kg-m/s^3): bot_cv1,ev_bot Monitor (kg-m/s^3): bot_cv2,ev_bot Monitor (kg-m/s^3): bot_cv3,ev_bot Monitor (kg-m/s^3): bot_cv4,ev_bot Monitor (kg-m/s^3): bot_cv5,ev_bot Monitor (kg-m/s^3): bot_cv6,ev_bot Monitor (kg-m/s^3): bot_cv7
0.3,6.8845601648052454e-11,4.9868417389762815e-11,-6.7148300307169594e-12,-1.8391967414712634e-11,-1.9576791641925928e-11,-1.9773212215184722e-11,-1.9780882567352242e-11
0.3025,7.0637146675864936e-11,5.1606444901361878e-11,-6.090378558349098e-12,-1.8048562509646508e-11,-1.9263150581546172e-11,-1.9464556447398809e-11,-1.9472301735364452e-11
0.305,7.2153809924431862e-11,5.3035748134693128e-11,-5.8850975786155772e-12,-1.8168108001314985e-11,-1.9422806079121771e-11,-1.9633537312224325e-11,-1.9641812531159434e-11
0.3075,7.3366161978598196e-11,5.4114867849247897e-11,-6.1606805624534415e-12,-1.8816158861430896e-11,-2.0121992100983867e-11,-2.0346622449606307e-11,-2.0355994991042012e-11
0.31,7.4279869108725094e-11,5.4844397656821201e-11,-6.9224671377863338e-12,-1.9995876110659382e-11,-2.136320477566264e-11,-2.160619896953256e-11,-2.1617366529295384e-11
0.3125,7.4930911036928673e-11,5.5256068489421472e-11,-8.1478579262077443e-12,-2.1681258494023513e-11,-2.3118743453235494e-11,-2.3384048155008889e-11,-2.3397833325674417e-11
0.315,7.5374589516854526e-11,5.5400178722237317e-11,-9.8014721839930449e-12,-2.3834810998419841e-11,-2.5348967805404391e-11,-2.5639609416227767e-11,-2.5656922908177523e-11
0.3175,7.5667443028131753e-11,5.5332500018322445e-11,-1.1834974097395562e-11,-2.6406560363702081e-11,-2.800170582380659e-11,-2.8319436198923382e-11,-2.8341189903602883e-11
0.32,7.5861610667302791e-11,5.5110241546357772e-11,-1.418632846363194e-11,-2.9332272986604215e-11,-3.101085166820031e-11,-3.1355993360611336e-11,-3.1382968808202963e-11
0.3225,7.6004266687108022e-11,5.4785668669549552e-11,-1.6795797364754241e-11,-3.2549612105702085e-11,-3.4312664396620776e-11,-3.468412994008998e-11,-3.4716801325302785e-11
0.325,7.6136011867876864e-11,5.4408923366983856e-11,-1.9596073020657056e-11,-3.598783429260464e-11,-3.7835401468089201e-11,-3.8230863727057832e-11,-3.8269211944141092e-11
0.3275,7.6290213713742772e-11,5.4023479281286939e-11,-2.2525896490205075e-11,-3.9582538211510986e-11,-4.1513969722221995e-11,-4.1930173994689056e-11,-4.1973557155925539e-11
0.33,7.6490897192782604e-11,5.3663491908603119e-11,-2.5530661990819105e-11,-4.3275692554636937e-11,-4.5289955757041176e-11,-4.5723126443322402e-11,-4.5770279113774932e-11
0.3325,7.6752571477103984e-11,5.335539981763408e-11,-2.8555284376151538e-11,-4.7007095309021013e-11,-4.9102886426618752e-11,-4.9549222078159342e-11,-4.9598416382347092e-11
0.335,7.7084184951184504e-11,5.3119268261762937e-11,-3.1548671090840929e-11,-5.071883351368071e-11,-5.2894502711393136e-11,-5.3350460471899026e-11,-5.3399740836978744e-11
0.3375,7.7495715870353074e-11,5.2980032935936239e-11,-3.4450501949346587e-11,-5.4343700210510002e-11,-5.6597232913435448e-11,-5.7059772903642286e-11,-5.7107303880707855e-11
0.34,7.7999679389200244e-11,5.2962841707961199e-11,-3.7206185135246752e-11,-5.7821366195577615e-11,-6.0150535593667124e-11,-6.0617364155668318e-11,-6.0661786448731392e-11
0.3425,7.8611653244101766e-11,5.3096150836898114e-11,-3.9749269862977367e-11,-6.1076729911174189e-11,-6.3478920437960152e-11,-6.3948590957869899e-11,-6.3989206307753423e-11
0.345,7.935088943527025e-11,5.3417104830936979e-11,-4.199168509903306e-11,-6.4009554757243779e-11,-6.6481371981349626e-11,-6.6953220232070778e-11,-6.6989975444476582e-11
0.3475,8.0234431809066154e-11,5.3958205122608631e-11,-4.3857164512412645e-11,-6.6533077839282395e-11,-6.9070140988222019e-11,-6.9544021747115592e-11,-6.9577328571779205e-11
0.35,8.1290701821972136e-11,5.4759893926626705e-11,-4.5266289098440179e-11,-6.8556074396793023e-11,-7.1152289599827893e-11,-7.1628066885250046e-11,-7.1658561191175583e-11
0.3525,8.2559018749247273e-11,5.5876049032944683e-11,-4.6121971241821184e-11,-6.9969064709871675e-11,-7.261618734807837e-11,-7.3093337257526693e-11,-7.3121685137231537e-11
0.355,8.408778973040737e-11,5.7365939227202209e-11,-4.6330683183305153e-11,-7.0668072555611258e-11,-7.3355614439163132e-11,-7.3832994577085503e-11,-7.3859799282493525e-11
0.3575,8.5927822122638887e-11,5.9287806726209386e-11,-4.5803653119095986e-11,-7.0555208050075821e-11,-7.3270791538689245e-11,-7.3746624733262106e-11,-7.3772396320995677e-11
0.36,8.8124278417116347e-11,6.1693444256165926e-11,-4.4454723277415121e-11,-6.9534696352848277e-11,-7.2264613567618676e-11,-7.2736629675994238e-11,-7.2761774042211847e-11
