Physical Time (s),ep_bot Monitor (kg-m/s^3): bot_cv1,ep_bot Monitor (kg-m/s^3): bot_cv2,ep_bot Monitor (kg-m/s^3): bot_cv3,ep_bot Monitor (kg-m/s^3): bot_cv4,ep_bot Monitor (kg-m/s^3): bot_cv5,ep_bot Monitor (kg-m/s^3): bot_cv6,ep_bot Monitor (kg-m/s^3): bot_cv7
0.185,7.7721780779348777e-08,5.4349956840128073e-08,2.6293081058544309e-09,-3.6379159791922011e-08,-6.150800327699794e-08,-9.4025292945164041e-08,-1.0026744336267868e-07
0.1875,5.9481455328518815e-08,4.233069707177328e-08,-6.6747262790637764e-10,-3.6243251002795857e-08,-6.0480701116385673e-08,-9.4504754570090806e-08,-1.126248097486085e-07
0.19,4.5437288263962371e-08,3.4291557219668421e-08,9.9410496225099655e-10,-2.9698271170755684e-08,-5.1776241065824453e-08,-8.5004614193905643e-08,-1.1381994908432772e-07
0.1925,3.5713052910507214e-08,3.0081073502625576e-08,6.9178875557749904e-09,-1.7810475859978828e-08,-3.6664022616810309e-08,-6.6822668580610065e-08,-1.0345004710338908e-07
0.195,2.9580849137163572e-08,2.8870908803925652e-08,1.5847770782839497e-08,-2.2784001180020565e-09,-1.7199686161087026e-08,-4.2401479918800448e-08,-8.2688330394682597e-08
0.1975,2.5796567469485458e-08,2.9433685803043346e-08,2.6234683091506443e-08,1.4904392984853934e-08,4.1844341997135927e-09,-1.4900685945616787e-08,-5.4135896504311951e-08
0.2,2.2927515263455797e-08,3.0402092378802318e-08,3.6466502943615163e-08,3.1745108982317025e-08,2.5075365532993618e-08,1.2331205361105917e-08,-2.144821700906602e-08
0.2025,1.9649451064089727e-08,3.0509295619132443e-08,4.5078382650513499e-08,4.6506755250430378e-08,4.3430639786154745e-08,3.6323427017679312e-08,1.1265480069410267e-08
0.205,1.4998350184589617e-08,2.880119046496555e-08,5.0918204471727715e-08,5.7869179463996232e-08,5.7790815298082529e-08,5.492229880977066e-08,4.010694291071228e-08
0.2075,8.5636921996038542e-09,2.4823062949538171e-08,5.3299570055202616e-08,6.5042287177293118e-08,6.7389490811282558e-08,6.7074796789213073e-08,6.2035927696827629e-08
0.21,5.5819157495083507e-10,1.8713929672754686e-08,5.2120226504785862e-08,6.7849980642989284e-08,7.2192329852489922e-08,7.2939854036138915e-08,7.542549858652215e-08
0.2125,-8.2689313116196847e-09,1.1157238071338107e-08,4.7863235704469264e-08,6.6701819972855631e-08,7.2787020002067152e-08,7.3702504308258857e-08,8.029983047875401e-08
0.215,-1.6862773323455314e-08,3.1850478620299304e-09,4.1455267138444013e-08,6.2434767838935595e-08,7.0132810645349435e-08,7.1110363831217425e-08,7.8144168991898665e-08
0.2175,-2.4145008531518066e-08,-4.0764602957993211e-09,3.4059890375931076e-08,5.6111461886918263e-08,6.5289900043764848e-08,6.6923620905820523e-08,7.1393270267052411e-08
0.22,-2.9291734243598576e-08,-9.6686314900215569e-09,2.6858192012958641e-08,4.8840943142773675e-08,5.9227619185781272e-08,6.2475611237389177e-08,6.2771411611093398e-08
0.2225,-3.1899052610911293e-08,-1.2968111420562969e-08,2.0895294706897805e-08,4.1683027016262512e-08,5.2776563698721005e-08,5.849707121758815e-08,5.4698892735071653e-08
0.225,-3.2016074718264012e-08,-1.3743719831373631e-08,1.6999147029626562e-08,3.5623059576311638e-08,4.6696171486421456e-08,5.5220592217853192e-08,4.8907360096327391e-08
0.2275,-3.0044221759274896e-08,-1.2101756957538755e-08,1.5761842644509773e-08,3.1578876769068013e-08,4.1785197599662011e-08,5.267794063733769e-08,4.6319671949345771e-08
0.23,-2.6572483234259693e-08,-8.3867355874786918e-09,1.7514207277673491e-08,3.0343925404908294e-08,3.8894593523178507e-08,5.0979554794289212e-08,4.7110009167275953e-08
0.2325,-2.2210701364447976e-08,-3.082254398689123e-09,2.2283423925537603e-08,3.2463619488362014e-08,3.8814133685545876e-08,5.0449024963761941e-08,5.0880070929791076e-08
0.235,-1.7481956645097649e-08,3.2431907922156738e-09,2.9721349571969626e-08,3.8056212758235408e-08,4.2044678580378519e-08,5.1545958651089236e-08,5.6846986217773833e-08
0.2375,-1.276558252901483e-08,9.9726881953401269e-09,3.9057644301092436e-08,4.6652391277073399e-08,4.8541005945528204e-08,5.4619869671922871e-08,6.3987432283842284e-08
0.24,-8.0702814325311813e-09,1.6756504961897235e-08,4.9537311385598003e-08,5.7530699771633602e-08,5.7845625301274389e-08,5.9720829179032574e-08,7.1143278200476678e-08
0.2425,-3.7751681143695423e-09,2.2565628300193872e-08,5.9109088146086335e-08,6.8499520497797786e-08,6.8109926695195438e-08,6.6071363391251324e-08,7.7036812586792592e-08
0.245,4.1658554204849634e-10,2.7223491671652604e-08,6.6622493919272682e-08,7.7950929329822574e-08,7.770637506453653e-08,7.2686418946562866e-08,8.0753870099080794e-08
0.2475,4.7651303713661101e-09,3.0600692814702432e-08,7.0884688324452366e-08,8.4043259822115534e-08,8.459854039386651e-08,7.8033463139760337e-08,8.1578434761903546e-08
0.25,9.5811245670069003e-09,3.2952270020220929e-08,7.1567958987184848e-08,8.5825660098805058e-08,8.7479870567870626e-08,8.0842039101159781e-08,7.9431156927083359e-08
0.2525,1.5124055940628782e-08,3.4751497706967428e-08,6.9154846365098355e-08,8.3410629919878028e-08,8.6114733386823163e-08,8.0515716569562602e-08,7.4793272988439097e-08
0.255,2.1668420153236225e-08,3.6385760669472053e-08,6.4106745133262656e-08,7.712739118548059e-08,8.0605764314755582e-08,7.6683671395370361e-08,6.7887109218676858e-08
0.2575,2.9095783244584286e-08,3.8336475574305778e-08,5.7625363548583504e-08,6.8249627326511603e-08,7.2031452981489227e-08,6.994436801996706e-08,5.9712995445615254e-08
0.26,3.7261621720193583e-08,4.0881465286892137e-08,5.062000980103823e-08,5.7835714389626484e-08,6.1404023716565021e-08,6.0972025247958238e-08,5.0813456872574703e-08
0.2625,4.5670947109442572e-08,4.4198055289131425e-08,4.4426161738267305e-08,4.7603287823520975e-08,5.0466346693215047e-08,5.1271644150364187e-08,4.2353545062919474e-08
0.265,5.3866181894157826e-08,4.8113041480815353e-08,3.951905945943842e-08,3.8328101528900276e-08,4.0068691432014408e-08,4.1638451471880374e-08,3.4612670841240063e-08
0.2675,6.1293825102609816e-08,5.239772309888854e-08,3.6535803889276449e-08,3.1099703582575128e-08,3.1420986298810707e-08,3.3274473387484512e-08,2.8326259511843221e-08
0.27,6.7554790978537517e-08,5.6769068808004891e-08,3.5659392039724377e-08,2.6456364918139198e-08,2.5186763316939707e-08,2.6885413571457129e-08,2.3851426942168485e-08
0.2725,7.2157121469337877e-08,6.0804715172463749e-08,3.6941837223911577e-08,2.4918824927906217e-08,2.2107392312475646e-08,2.3273474355695437e-08,2.1777357960256756e-08
