Physical Time (s),enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv7
0.155,4.0803194686596801e-09,1.1580909788680218e-09,-3.836869373130968e-09,-6.9500608924291688e-09,-8.7000677787271317e-09,-1.0191793043349725e-08,-1.0103090938092268e-08
0.1575,4.8191904770855762e-09,2.0438884550446627e-09,-2.7807917132917767e-09,-5.8123195012541136e-09,-7.554544589061027e-09,-9.1532124563187417e-09,-9.08176377089419e-09
0.16,5.582485610186544e-09,2.9632193622028792e-09,-1.6707126587275404e-09,-4.5929508031132863e-09,-6.3000207795421362e-09,-7.9817154715069104e-09,-7.9673196410436552e-09
0.1625,6.3060429904006525e-09,3.8326846720357489e-09,-6.1986802592550265e-10,-3.4265378040641896e-09,-5.0828673035873068e-09,-6.8267015067961181e-09,-6.9258612323871186e-09
0.165,6.9427928005725726e-09,4.5905854146746851e-09,2.8617370083987535e-10,-2.4178253798682043e-09,-4.020252064996571e-09,-5.8103527658623417e-09,-6.0856632096830425e-09
0.1675,7.465448716551732e-09,5.2009767674403138e-09,9.9626590389060043e-10,-1.6323175876399816e-09,-3.1888859324523424e-09,-5.0161293659748544e-09,-5.5267120363351265e-09
0.17,7.8653763996612816e-09,5.6527026698741058e-09,1.493756577690683e-09,-1.0944644151828477e-09,-2.6213817135847029e-09,-4.483909137144259e-09,-5.2782496395377091e-09
0.1725,8.1490621141885238e-09,5.9550628802320505e-09,1.7915854858759479e-09,-7.919650427035616e-10,-2.3092420349261913e-09,-4.2111044924677784e-09,-5.3226982676677471e-09
0.175,8.3334607200426017e-09,6.1318297491246297e-09,1.9243373709324076e-09,-6.8431002733364328e-10,-2.2108760093761478e-09,-4.1587551805339032e-09,-5.6040490965283222e-09
0.1775,8.4416595274474072e-09,6.2150858244401834e-09,1.9393340619249664e-09,-7.1335365499635262e-10,-2.2625460823263029e-09,-4.2610758876864027e-09,-6.0387792668072102e-09
0.18,8.49898567452011e-09,6.2395830941126969e-09,1.8877864406700196e-09,-8.1446958890061081e-10,-2.3907007752790832e-09,-4.4373726823397055e-09,-6.528274832708823e-09
0.1825,8.530345002980135e-09,6.2386057323990951e-09,1.8177911258269272e-09,-9.261421092027517e-10,-2.5233161844098949e-09,-4.6041494238668224e-09,-6.9708854829500961e-09
0.185,8.5581659297002437e-09,6.2409464648411229e-09,1.7691454921274984e-09,-9.9749891002435698e-10,-2.5994188013707195e-09,-4.6864894744099306e-09,-7.2731762524648832e-09
0.1875,8.6011280107581041e-09,6.2691769638012578e-09,1.7704747052401832e-09,-9.9288968350214219e-10,-2.5755441929977851e-09,-4.6271377683486667e-09,-7.3592617997696011e-09
0.19,8.6733316665734569e-09,6.3388194355208991e-09,1.8382409746620566e-09,-8.9370775885378219e-10,-2.4289383816398875e-09,-4.3925774769013943e-09,-7.1779013314572186e-09
0.1925,8.7837391386858515e-09,6.458137305016899e-09,1.9772487438723163e-09,-6.9781704001438594e-10,-2.1577206100411898e-09,-3.975711863516469e-09,-6.7070341863562905e-09
0.195,8.9358138687453246e-09,6.6283269447054856e-09,2.1820667552648444e-09,-4.1730085123230272e-10,-1.7785671487669061e-09,-3.3952179410962237e-09,-5.955623488172824e-09
0.1975,9.1273337868077647e-09,6.8439242907945334e-09,2.4389069937471048e-09,-7.525625451032766e-11,-1.3227510767616847e-09,-2.6920658935360117e-09,-4.9627878369693251e-09
0.2,9.3505289342720193e-09,7.0935117780780251e-09,2.7276726602791646e-09,2.9775648579036856e-10,-8.3137819181228911e-10,-1.9239190804545123e-09,-3.7942294292495319e-09
0.2025,9.5926244135498153e-09,7.3606405046478866e-09,3.0239174142893834e-09,6.6703918443655827e-10,-3.5061133985020965e-10,-1.1585358783439135e-09,-2.5365311542057536e-09
0.205,9.8368254854734011e-09,7.625056445203371e-09,3.3006784244881023e-09,9.9662400290601107e-10,7.2533073420062391e-11,-4.6703964128152665e-10,-1.2899940224264745e-09
0.2075,1.0063809451762998e-08,7.8642785182366586e-09,3.5303046012738514e-09,1.2518015521443886e-09,3.9385434560529444e-10,8.2457158302292347e-11,-1.6038346864460063e-10
0.21,1.0253730543203131e-08,8.0556839023786915e-09,3.6866108708638503e-09,1.4016746098552891e-09,5.7540200752624933e-10,4.3096538027956214e-10,7.5043045072233961e-10
0.2125,1.0388765464791096e-08,8.1792084030680479e-09,3.7475507518070081e-09,1.4219757566670997e-09,5.8884185297962903e-10,5.3427546424221312e-10,1.3543456960608115e-09
0.215,1.0455720703474233e-08,8.2201286239870861e-09,3.6979619621745532e-09,1.2977645021640315e-09,4.1836768049062655e-10,3.6750195066040241e-10,1.5861440547272037e-09
0.2175,1.044819078025521e-08,8.1714391258138173e-09,3.5319452178314002e-09,1.0256461232644093e-09,6.2859356315776399e-11,-7.1975126417867487e-11,1.410816454953033e-09
0.22,1.0368083115027957e-08,8.0355675006423035e-09,3.2546247109939623e-09,6.1528860850810704e-10,-4.6292562953108656e-10,-7.63350354696662e-10,8.2820570458898323e-10
0.2225,1.0225447807600939e-08,7.8243762393133619e-09,2.8822212520269895e-09,8.9211750241944213e-11,-1.1290727378357852e-09,-1.6639419271043948e-09,-1.2648534266217241e-10
0.225,1.0038321335458146e-08,7.5590424822038547e-09,2.4419262223201756e-09,-5.176688248180434e-10,-1.8915942171224635e-09,-2.7116869864351487e-09,-1.3845722135835545e-09
0.2275,9.8301840828360636e-09,7.2673695464120836e-09,1.9689987535586333e-09,-1.1613794184966789e-09,-2.6964903334306663e-09,-3.8310058060495894e-09,-2.8508147182527128e-09
