Physical Time (s),enthalpy_storage_vol Monitor (N): cv1,enthalpy_storage_vol Monitor (N): cv2,enthalpy_storage_vol Monitor (N): cv3,enthalpy_storage_vol Monitor (N): cv4,enthalpy_storage_vol Monitor (N): cv5,enthalpy_storage_vol Monitor (N): cv6,enthalpy_storage_vol Monitor (N): cv7
0.2225,6.133389740315037e-05,0.00011297920968393285,0.00012634039749329795,0.00012683601217054717,0.00012704906477403546,0.00012720813330034761,0.00012728038309870585
0.225,6.1266354367961129e-05,0.00011275816091995653,0.00012663325734490693,0.00012713491594134804,0.00012734977588476289,0.00012751022574810416,0.00012758353700363556
0.2275,6.1200671863004505e-05,0.00011252364020681411,0.00012692371938108558,0.00012743160259002037,0.00012764830659623845,0.00012781018425606357,0.00012788463556640686
0.23,6.1136351926171424e-05,0.00011227458131367015,0.00012721172199747592,0.00012772600752545356,0.00012794458527544782,0.00012810792420918946,0.00012818354769170945
0.2325,6.1072864129767227e-05,0.00011200972474410023,0.0001274971910842432,0.00012801805396851047,0.00012823852698662258,0.00012840334815526406,0.00012848013815974722
0.235,6.1009706025610722e-05,0.00011172773242449799,0.00012778005689581431,0.00012830767100705049,0.00012853005322055483,0.00012869636639243045,0.00012877429165200353
0.2375,6.0946426094619463e-05,0.00011142728048101584,0.00012806023360131694,0.00012859476700418165,0.00012881906023731783,0.00012898685330653704,0.00012906584344871979
0.24,6.0879060573045262e-05,0.00011110306707884314,0.00012833818809238713,0.00012887990230000163,0.00012910611437909469,0.00012927537036892223,0.00012935534406111629
0.2425,6.081042936007135e-05,0.00011075740567232333,0.0001286138738401355,0.00012916296738944928,0.00012939109597350889,0.00012956178985533718,0.00012964266515283848
0.245,6.0739183864522039e-05,0.00011038831325526777,0.00012888703603448459,0.00012944373822952116,0.00012967378555147024,0.00012984589693891869,0.00012992760851478937
0.2475,6.0666448282145845e-05,0.00010999677835162108,0.00012915765591045859,0.00012972217188271382,0.0001299541385362949,0.00013012765089979376,0.00013021015424861853
0.25,6.0593906281480879e-05,0.00010958488356034263,0.00012942557508958193,0.00012999806670203033,0.00013023195089914241,0.00013040685633166989,0.00013049013702502274
0.2525,6.0521996720209669e-05,0.00010915380594497324,0.00012969058228529286,0.00013027120746464163,0.00013050701652589754,0.00013068333448130215,0.00013076743845660813
0.255,6.0447126086979093e-05,0.0001086999105477339,0.00012995312667061755,0.00013054213945183665,0.00013077987326535657,0.0001309575968475098,0.00013104250147741745
0.2575,6.0370320669626093e-05,0.00010822540159063148,0.00013021362333651056,0.00013081127950122039,0.00013105094263994355,0.00013123008386145308,0.00013131580362285141
0.26,6.0290043396400995e-05,0.00010772968838562641,0.00013047234905832027,0.00013107897336392808,0.00013132057565747545,0.00013150115309059683,0.00013158771084719937
0.2625,6.0207655763345794e-05,0.00010721595238667907,0.00013072937204472869,0.0001313452709939002,0.00013158881849752079,0.00013177084709468541,0.00013185827008456376
0.265,6.0122060258210827e-05,0.00010668462241585933,0.00013098465908713158,0.00013161019137693347,0.00013185569043569552,0.00013203918462299398,0.00013212750184021595
0.2675,6.0034009899338451e-05,0.00010613851492614729,0.00013123817705435774,0.00013187370331626755,0.00013212115790358178,0.00013230611539449716,0.00013239534535936987
0.27,5.9943070602127787e-05,0.00010557915009710605,0.00013148981697502478,0.0001321357369515418,0.00013238515240836162,0.00013257155814849566,0.00013266169760871999
0.2725,5.9851840137406523e-05,0.00010501192176748137,0.00013173910884514678,0.0001323957407509314,0.00013264712083409976,0.00013283495616337737,0.00013292597575445463
0.275,5.9760139800661801e-05,0.00010443898529073965,0.00013198553957193977,0.00013265320550550058,0.00013290655303696005,0.00013309579920434426,0.00013318765432804219
0.2775,5.9668460313544767e-05,0.00010386343163185841,0.00013222867561645741,0.00013290767922412901,0.00013316299678439475,0.00013335364103067877,0.00013344628788437336
0.28,5.957312966680806e-05,0.00010328215510008632,0.00013246960204630576,0.00013316045663777133,0.0001334177644201169,0.00013360980782309016,0.00013370320888108635
0.2825,5.947541208165429e-05,0.00010269892249617886,0.00013270836247332839,0.00013341156385587806,0.00013367088024329556,0.00013386432816068551,0.00013395845014456251
0.285,5.9372278006891013e-05,0.00010211186448891299,0.00013294571088838831,0.00013366196563595006,0.00013392332433627687,0.0001341181933572723,0.00013421301103510019
0.2875,5.9266590767398716e-05,0.0001015266397558257,0.00013318124839260042,0.00013391116306137832,0.00013417458893336123,0.00013437089592001236,0.00013446638995320782
0.29,5.9158913619901424e-05,0.00010094593123497115,0.00013341455562934122,0.00013415873284808555,0.00013442424853311554,0.00013462201245944939,0.00013471817197250298
0.2925,5.9052444560373916e-05,0.0001003756314115383,0.00013364455293490542,0.00013440340922737479,0.00013467102288088775,0.0001348702588915625,0.00013496708527494593
0.295,5.8946462749746116e-05,9.9816585258577923e-05,0.0001338708955481899,0.00013464488817541934,0.0001349146092234727,0.00013511533497339659,0.00013521283854389942
0.2975,5.8839137611100842e-05,9.9267582159202853e-05,0.00013409426070471072,0.00013488400436692709,0.00013515584582440913,0.00013535807403987167,0.00013545625089632425
0.3,5.872721738817736e-05,9.8725354875201857e-05,0.00013431618338204319,0.00013512262236920085,0.00013539661695091481,0.00013560037461512339,0.00013569923517860836
0.3025,5.8611894755191107e-05,9.8192604306692399e-05,0.00013453663681976252,0.00013536071118816278,0.00013563688117123579,0.00013584217896415494,0.00013594171062472236
0.305,5.8494811309641199e-05,9.7672386206115695e-05,0.00013475506395573296,0.00013559764088132769,0.00013587600082831796,0.00013608284311740542,0.00013618303246969816
0.3075,5.8375249570933461e-05,9.7164683500416144e-05,0.00013497142360102088,0.00013583349219023239,0.00013611406279172663,0.00013632246152336515,0.00013642330704134837
0.31,5.8254027172722231e-05,9.6671075856225838e-05,0.00013518546984547553,0.00013606801538637288,0.00013635081185730237,0.00013656076863852073,0.00013666225776802802
0.3125,5.8132275929531318e-05,9.6193351931687398e-05,0.00013539676940083886,0.00013630072848517667,0.00013658576461164304,0.00013679728129856492,0.00013689940471964623
0.315,5.8009239305538547e-05,9.5730935946079245e-05,0.00013560539429480748,0.00013653184495786568,0.00013681914088762624,0.00013703222358269138,0.00013713497225538798
0.3175,5.7885814922830523e-05,9.5285057089901918e-05,0.0001358110528130613,0.00013676104623192093,0.00013705062327171443,0.00013726528271464862,0.00013736865313582235
0.32,5.7763969871235748e-05,9.4858249503658313e-05,0.00013601272606738842,0.00013698709601203966,0.0001372789666286961,0.00013749521137255063,0.00013759919997485565
0.3225,5.764169287511385e-05,9.4448024996774007e-05,0.00013621104857403763,0.00013721093390252527,0.00013750512599414573,0.0001377229751704083,0.00013782758441281093
0.325,5.7518656402753428e-05,9.405384617396777e-05,0.00013640634070180425,0.00013743301809867237,0.00013772956545060155,0.00013794904361331777,0.00013805427851356166
0.3275,5.7394885952676632e-05,9.367557710950782e-05,0.00013659867660044273,0.00013765351442073645,0.00013795245366461211,0.00013817358922276024,0.00013827945807595661
0.33,5.727040543573077e-05,9.3313052466818046e-05,0.0001367879986407086,0.00013787244842406823,0.00013817381333503971,0.00013839662805258923,0.00013850312512124735
0.3325,5.714517264957943e-05,9.2965990492247563e-05,0.0001369742537976179,0.00013808987227914601,0.00013839369876977073,0.00013861821739666574,0.00013872534526610731
0.335,5.7016376793427091e-05,9.2630834822350191e-05,0.00013715869185159881,0.00013830772022139788,0.00013861405983062251,0.00013884030594063228,0.00013894805509656979
0.3375,5.6884196531559547e-05,9.230764816519656e-05,0.00013734122712830528,0.00013852611335410015,0.0001388350144495793,0.00013906300424872321,0.00013917136029890491
0.34,5.6750906326331107e-05,9.1998696291361099e-05,0.00013752083339478601,0.00013874375237321596,0.00013905524572878982,0.00013928498588312852,0.00013939393840052848
0.3425,5.6616865706707853e-05,9.1704067720532363e-05,0.00013769694087171767,0.00013896012024507907,0.00013927422857951208,0.0001395057173364811,0.00013961525461829858
0.345,5.6483214151578558e-05,9.1424631648262867e-05,0.00013786890519395102,0.00013917443607561355,0.00013949117387328594,0.00013972440561769471,0.00013983452197335538
0.3475,5.6353105569627077e-05,9.1163511799650655e-05,0.00013803501164816152,0.00013938417122117913,0.00013970352678480458,0.00013993848870602513,0.00014004918888539832
0.35,5.6223583153451065e-05,9.0916981417202682e-05,0.00013819626006667489,0.00013959116584847433,0.00013991314357257836,0.00014014982352428089,0.0001402611050093566
0.3525,5.6094121846318065e-05,9.0684006626544204e-05,0.00013835315997129703,0.00013979627649924592,0.00014012088686482857,0.00014035927719951383,0.00014047114511084801
0.355,5.5964690897803827e-05,9.0464120931057411e-05,0.00013850587234547337,0.00013999988121278099,0.00014032713514294359,0.00014056722717155901,0.00014067968285272345
0.3575,5.5835337807374782e-05,9.0256948869674007e-05,0.00013865439282298642,0.00014020216974977567,0.00014053208047521134,0.00014077386965224883,0.00014088691825391486
0.36,5.5706105346044623e-05,9.0062102002669799e-05,0.00013879862265509917,0.0001404032385542987,0.00014073582141922589,0.00014097930743562297,0.00014109295511684401
0.3625,5.5577031682977436e-05,8.9879177717720421e-05,0.0001389384252597824,0.00014060315832941752,0.00014093843226705213,0.00014118362162424803,0.0001412978781090933
0.365,5.544816486015091e-05,8.9707779699850379e-05,0.00013907363045890557,0.0001408019706048801,0.00014113995697578153,0.00014138685942215374,0.00014150172970181613
0.3675,5.5319544709242918e-05,8.9547507058868446e-05,0.00013920405643475883,0.00014099972092575488,0.00014134044515765255,0.00014158907504527033,0.00014170456279596121
0.37,5.5191198488876723e-05,8.9397956797592366e-05,0.00013932951428130289,0.00014119646633067395,0.00014153996010197718,0.00014179033853373794,0.00014190645194888074
0.3725,5.5060803137024027e-05,8.9256283894355114e-05,0.00013945073404190579,0.00014139460399594894,0.00014174092776511428,0.00014199308440024231,0.00014210983007078201
0.375,5.4932516773341847e-05,8.9126453220518054e-05,0.00013956597785228045,0.00014159033081455541,0.00014193950753728281,0.00014219345926083765,0.00014231083316656329
0.3775,5.4804896734394659e-05,8.9006559636752976e-05,0.00013967527370771436,0.00014178464961884894,0.00014213672147676159,0.00014239249415395994,0.00014251050129360332
0.38,5.4677583131429833e-05,8.8895851815567824e-05,0.00013977855032279402,0.00014197799622109089,0.00014233301222015975,0.00014259063094854428,0.00014270927187353506
0.3825,5.455046628578136e-05,8.8793853275189101e-05,0.00013987561617645155,0.00014217056552209807,0.0001425285784887205,0.00014278806618216571,0.0001429073370867032
0.385,5.4423500419543359e-05,8.8700161105687792e-05,0.0001399661774524542,0.00014236243703981744,0.00014272350342729687,0.00014298488251403421,0.00014310478086547037
0.3875,5.429665245392846e-05,8.8614387281787019e-05,0.00014004981760587954,0.00014255361477538941,0.00014291779566084467,0.00014318109171910069,0.00014330162429774943
0.39,5.4169852764074201e-05,8.8536101217128856e-05,0.0001401259921846199,0.00014274406200368389,0.00014311141886894083,0.00014337665265788199,0.00014349781936313081
0.3925,5.4043031696503736e-05,8.8464868760574099e-05,0.00014019408325632383,0.000142933731969644,0.00014330432716254946,0.00014357151609843097,0.00014369331245158465
0.395,5.3916130896449756e-05,8.8400264616464842e-05,0.0001402534300987535,0.00014312259111693191,0.00014349649025048881,0.00014376565410508205,0.00014388808168786866
0.3975,5.378910400617441e-05,8.8341870493293198e-05,0.00014030332245769535,0.00014331057839684106,0.00014368784741871792,0.00014395900296457808,0.00014408205849982995
0.4,5.3661920765095598e-05,8.8289284762823207e-05,0.00014034305389921028,0.00014349764959292893,0.00014387835800389303,0.00014415152568821927,0.00014427521403945922
0.4025,5.3534555064365245e-05,8.8242108166902884e-05,0.00014037192596668679,0.00014368375355893341,0.00014406797166889801,0.00014434317015325616,0.00014446749353267272
0.405,5.340589190555681e-05,8.8198888607544465e-05,0.00014038921877874774,0.00014387033479766555,0.00014425815118172803,0.00014453540192550557,0.00014466035878395273
0.4075,5.3275862693242873e-05,8.8159211630644155e-05,0.00014039420864642429,0.00014405758027232187,0.00014444908806237632,0.00014472841344675188,0.00014485400491263134
