Physical Time (s),phi_alt_flux_right Monitor (kg-m/s^3): right_cv1,phi_alt_flux_right Monitor (kg-m/s^3): right_cv2,phi_alt_flux_right Monitor (kg-m/s^3): right_cv3,phi_alt_flux_right Monitor (kg-m/s^3): right_cv4,phi_alt_flux_right Monitor (kg-m/s^3): right_cv5,phi_alt_flux_right Monitor (kg-m/s^3): right_cv6,phi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.22,0.00014148445447537941,0.00021307188700362946,3.7747924450684596e-06,1.3090770955103152e-06,6.1790154421741868e-07,1.824974660924345e-07,1.9186719224580362e-08
0.2225,0.00013891776332884912,0.00021696603028269161,3.8423521854990366e-06,1.3183842179889336e-06,6.228452815121135e-07,1.8396930062535206e-07,1.9781280211930042e-08
0.225,0.00013662023303596279,0.00022122192436290538,3.9126546135068817e-06,1.3279545675664205e-06,6.2800230720614428e-07,1.8559757111464167e-07,2.0504818145593667e-08
0.2275,0.00013457449911469528,0.00022589456762846837,3.985763760843211e-06,1.3377353654339011e-06,6.3333052745072235e-07,1.8734107960611828e-07,2.1315512812519009e-08
0.23,0.00013276331964726803,0.00023103076466290907,4.0617758621208721e-06,1.3476719327376944e-06,6.3878368029104329e-07,1.8916422749272872e-07,2.2174860749877097e-08
0.2325,0.00013117012915042018,0.00023665969579096945,4.1408434777990624e-06,1.3577152458667647e-06,6.4431254518081729e-07,1.910304428476597e-07,2.304926601282068e-08
0.235,0.00012977923867586014,0.00024279127742637643,4.2231749807210664e-06,1.36783140150253e-06,6.498734103354672e-07,1.9290974096202546e-07,2.3927033174479166e-08
0.2375,0.00012857523104969085,0.00024941291006876158,4.3090043232232951e-06,1.3779740645164446e-06,6.5540648739908935e-07,1.947526241842229e-07,2.477553201237341e-08
0.24,0.00012753796320146823,0.00025652113956110828,4.4001051422263787e-06,1.3882141051426767e-06,6.6089416633472615e-07,1.9653394594402435e-07,2.5579373469693239e-08
0.2425,0.00012665397256005366,0.00026402990994258297,4.4957939016479717e-06,1.3984931933902984e-06,6.6632809657712043e-07,1.982447752710643e-07,2.632504526338606e-08
0.245,0.00012590646894016826,0.00027186141350553285,4.5968679073100375e-06,1.4088552082189389e-06,6.7172706448064756e-07,1.9989158310860386e-07,2.7029675780721342e-08
0.2475,0.00012528273849914326,0.00027990354015749265,4.7032242788803979e-06,1.4192973132648255e-06,6.7709930282049102e-07,2.0148133385247301e-07,2.7698923561353193e-08
0.25,0.0001247708638040026,0.00028802457657236321,4.81433045971225e-06,1.4298074929989311e-06,6.8245736021779731e-07,2.0303258271611411e-07,2.8359178440277204e-08
0.2525,0.0001243582246694264,0.00029609220089993316,4.9300926674909634e-06,1.4404420141879875e-06,6.8785945712708597e-07,2.0460127883925567e-07,2.9069318461731784e-08
0.255,0.00012403054847012112,0.00030400509011488852,5.05254054384661e-06,1.4512301822666525e-06,6.9327410639942842e-07,2.0611217945639361e-07,2.9753802966389673e-08
0.2575,0.00012377651549502923,0.00031162654507761235,5.1816840506005847e-06,1.4622054905357983e-06,6.9875131268868774e-07,2.0761321629245036e-07,3.0444320268995562e-08
0.26,0.00012358366624423163,0.00031883535283659572,5.3188468408477973e-06,1.4734227568466627e-06,7.0433336842975243e-07,2.0912542814842427e-07,3.1144879807148439e-08
0.2625,0.00012344182749116284,0.00032550342616464322,5.4637130072293648e-06,1.4848598754312634e-06,7.1001729804561775e-07,2.1065063835991384e-07,3.1856565529588387e-08
0.265,0.00012334152369877335,0.00033152470629419645,5.6173820316889668e-06,1.4965246377753616e-06,7.1581347719206426e-07,2.1221343828929764e-07,3.2570164550936572e-08
0.2675,0.00012327492008508737,0.00033680275152464864,5.7798907672229005e-06,1.508395083832827e-06,7.2169159082577093e-07,2.1377666333898988e-07,3.3291472050282677e-08
0.27,0.00012323510158310005,0.00034126191814057505,5.952060841366589e-06,1.5204709382893123e-06,7.2763436128171993e-07,2.1531196816565982e-07,3.4011907889535228e-08
0.2725,0.00012321678850740476,0.00034484528585059112,6.1322319437059552e-06,1.5326857827201112e-06,7.3363783318220608e-07,2.1680442884908764e-07,3.4712535916748075e-08
0.275,0.00012321563719936354,0.00034752076371217242,6.3206124207102276e-06,1.5450115086202448e-06,7.3968771229077973e-07,2.1825679904516878e-07,3.537357892292796e-08
0.2775,0.00012322855298675745,0.00034927768941901721,6.5169201114577087e-06,1.5574207586765953e-06,7.4577374729066685e-07,2.1969052301660057e-07,3.5995451947377268e-08
0.28,0.00012325128778293074,0.00035011394917163819,6.7256723063091594e-06,1.5700511866865951e-06,7.5192514115432981e-07,2.2111619483235024e-07,3.6576704195691837e-08
0.2825,0.00012327753945027466,0.00035004654658954838,6.9467288563699378e-06,1.5828829831929311e-06,7.5813325312428845e-07,2.2253887019962683e-07,3.7124818906233732e-08
0.285,0.00012330306545597897,0.00034909459225433118,7.1849681380763067e-06,1.596047962756263e-06,7.6442830690178814e-07,2.2396714162901073e-07,3.7648503728002933e-08
0.2875,0.00012332442938919099,0.00034730836950536072,7.4385611449795622e-06,1.6094794287682014e-06,7.7079570638414075e-07,2.2540449780824514e-07,3.8149097696588501e-08
0.29,0.0001233406100937566,0.00034474619287109355,7.7077443530864069e-06,1.6231706001133437e-06,7.7723606021169502e-07,2.26854735534475e-07,3.8631084029646905e-08
0.2925,0.00012335033840186988,0.0003414890354970782,7.9884773120379612e-06,1.6370083897158398e-06,7.8372401143950779e-07,2.2831809951774858e-07,3.9106739413908897e-08
0.295,0.0001233535117728539,0.00033760904822485759,8.281765541143619e-06,1.6510178467522486e-06,7.9027409053609658e-07,2.2979676760545103e-07,3.9583038110030185e-08
0.2975,0.00012334771873892222,0.00033316758705903294,8.59140065149631e-06,1.6652704227567903e-06,7.9689364780239058e-07,2.3127339977148669e-07,4.0036730160815693e-08
0.3,0.0001233283266246302,0.00032821200786818487,8.9252556654511987e-06,1.6799543401414164e-06,8.0364526691985206e-07,2.3277089352816771e-07,4.047299326766377e-08
0.3025,0.00012328811903592987,0.00032281641667781234,9.2836365294313306e-06,1.6950194676281169e-06,8.1048711892629456e-07,2.3425618509732693e-07,4.0865239858827083e-08
0.305,0.00012322448597946764,0.00031705548237800484,9.6650115181348479e-06,1.7103964293146065e-06,8.1739777329671603e-07,2.3572352166069601e-07,4.1216409516431228e-08
0.3075,0.00012313819877994366,0.00031098965743086811,1.0072483641510657e-05,1.7261259064696658e-06,8.2439966979189032e-07,2.3719381633840845e-07,4.1539509769917194e-08
0.31,0.00012302916117286862,0.00030468094370030886,1.0506079292154542e-05,1.7421705810581907e-06,8.3146405195452666e-07,2.3864193377883197e-07,4.1834506445194692e-08
0.3125,0.00012289773403822889,0.00029818738130778005,1.0964489964360641e-05,1.7584932697492661e-06,8.3858745254631626e-07,2.4007032101355502e-07,4.2118136386639178e-08
0.315,0.00012274594124933366,0.00029155265019626233,1.1451216137140455e-05,1.7751328136947691e-06,8.4577881089374524e-07,2.4149040045206365e-07,4.2395674134746603e-08
0.3175,0.00012257477408994814,0.00028482194055742675,1.1965478512588936e-05,1.7920598568785305e-06,8.5304320086085158e-07,2.4291782997974651e-07,4.2676569377323258e-08
0.32,0.00012238594330253808,0.00027804301745565179,1.2501677426546781e-05,1.809157829222171e-06,8.6035609186426034e-07,2.4435637921505816e-07,4.2965167250715874e-08
0.3225,0.00012218253873867252,0.00027123523958731363,1.3067609667038227e-05,1.8265505856699918e-06,8.677452814633554e-07,2.4582118594444208e-07,4.3269484481883195e-08
