Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.1375,4.7144338185193873e-10,4.3745140190639158e-10,3.4850276530627163e-10,2.0861563558368459e-10,1.706325279272498e-10,1.6821891400091108e-10,1.7113652085711876e-10
0.14,3.9543112334548336e-10,3.5457576973306127e-10,2.5381344944711883e-10,8.6618582057230613e-11,3.4926006125494101e-11,2.6772413174009247e-11,2.9200498063701311e-11
0.1425,3.3858608365271469e-10,2.915926863778109e-10,1.8116801804907736e-10,-1.0204070277012975e-11,-7.5004564933235634e-11,-8.9051076436796373e-11,-8.7253779424341935e-11
0.145,3.0596692329466096e-10,2.5413895421727389e-10,1.370664993100063e-10,-7.3740657135322011e-11,-1.5022220114904119e-10,-1.699815149935714e-10,-1.6885638758287782e-10
0.1475,2.9961624760775778e-10,2.4457813556383573e-10,1.2427577172051697e-10,-1.002036002114252e-10,-1.8631669288119242e-10,-2.1135298315055739e-10,-2.1083269730290561e-10
0.15,3.1838143551702218e-10,2.6178746164339533e-10,1.4158749406183753e-10,-9.0439889505388982e-11,-1.8374785947869529e-10,-2.134643142158632e-10,-2.1344562447969153e-10
0.1525,3.5834717219087576e-10,3.0163184077074482e-10,1.8433155457764067e-10,-4.9432675329536307e-11,-1.4735784957972629e-10,-1.8107631042726604e-10,-1.8150842692484661e-10
0.155,4.1386366150224067e-10,3.5805230373205682e-10,2.4558259108143738e-10,1.4965553514112079e-11,-8.5138887069841819e-11,-1.2217548666532071e-10,-1.2311572810305895e-10
0.1575,4.7852719955500613e-10,4.2412183207648278e-10,3.1736120275623445e-10,9.3332877911340142e-11,-6.9233541256058487e-12,-4.6672674278082649e-11,-4.8296756497674087e-11
0.16,5.457094270971024e-10,4.929908202498072e-10,3.9229881300482441e-10,1.7690000341735322e-10,7.8080176861058442e-11,3.6251158593455574e-11,3.3662770400656329e-11
0.1625,6.0988270691608223e-10,5.5870277173600155e-10,4.6365979967033985e-10,2.5727640171295054e-10,1.6076569932184027e-10,1.17353874502509e-10,1.1346179413242679e-10
0.165,6.6689530836749365e-10,6.1680320385175346e-10,5.2647201094916039e-10,3.2806929693273526e-10,2.3401415714772793e-10,1.8935086696157781e-10,1.8379901041491223e-10
0.1675,7.1419796123256734e-10,6.645651141100107e-10,5.7774094895764552e-10,3.8525225659919004e-10,2.9315157793929651e-10,2.4737985168582798e-10,2.3983531423142605e-10
0.17,7.5084215824978061e-10,7.0097114629804712e-10,6.1639236319789984e-10,4.2720010406469399e-10,3.36071811455852e-10,2.8913922744078428e-10,2.793205397586561e-10
0.1725,7.7723241404899522e-10,7.2647271151406452e-10,6.430303197637057e-10,4.5449980730748524e-10,3.6313615319306509e-10,3.1484465181850592e-10,3.0254475511926467e-10
0.175,7.947622388370947e-10,7.4259212328814545e-10,6.5945732117307867e-10,4.6940699981785546e-10,3.7665540564682021e-10,3.2674744560334376e-10,3.1184976937114599e-10
0.1775,8.0543580962783946e-10,7.5151800599490121e-10,6.6821696745073786e-10,4.7527776865981317e-10,3.8031475277713852e-10,3.2860488432950692e-10,3.1110349543129502e-10
0.18,8.1153612578078031e-10,7.5572455676749552e-10,6.7211805223260416e-10,4.7590526353328507e-10,3.7843786964797784e-10,3.2494095026687722e-10,3.0495071402312084e-10
0.1825,8.1538505517708604e-10,7.5767826397212825e-10,6.7385874547374979e-10,4.7493870635082444e-10,3.7529505775762229e-10,3.2032572511605442e-10,2.9807743930415048e-10
0.185,8.191676255978255e-10,7.5963446655099666e-10,6.7577546241178296e-10,4.7545712376666403e-10,3.7455697184766811e-10,3.1877645485700605e-10,2.946017429886936e-10
0.1875,8.2458303955167902e-10,7.6335963076849188e-10,6.7969652911233645e-10,4.7978626357493144e-10,3.7904622446099814e-10,3.2350729605802832e-10,2.9790268392182972e-10
0.19,8.3284015766495234e-10,7.7011284407691451e-10,6.8690691947406036e-10,4.8939403444523146e-10,3.9053829188908159e-10,3.3664393400614636e-10,3.1033109957565556e-10
0.1925,8.4453011082949047e-10,7.8055081948865575e-10,6.9811588608742728e-10,5.0488800636112819e-10,4.0971550365758693e-10,3.5911653448655686e-10,3.3310797313583804e-10
