Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.155,1.5428548879536861e-11,2.1255223492617318e-11,2.1277311244594498e-11,2.1273892942515716e-11,2.127771776969021e-11,2.1280628169106624e-11,2.1271188133542625e-11
0.1575,1.5271642864004823e-11,2.121562717933786e-11,2.1239718598885973e-11,2.1238340797671617e-11,2.1240320651006887e-11,2.1240952427272393e-11,2.1236079468141951e-11
0.16,1.5134562152552207e-11,2.1188626135641512e-11,2.121427953014606e-11,2.1213601685875499e-11,2.1210970922262718e-11,2.1212656085260942e-11,2.1196436369565259e-11
0.1625,1.5007746334803317e-11,2.1159464786889668e-11,2.1193490884092647e-11,2.1197207738330305e-11,2.1195808730955615e-11,2.1193677290201435e-11,2.1199626460449712e-11
0.165,1.4885175431529847e-11,2.1126516934506936e-11,2.1164185283694952e-11,2.1162071515816037e-11,2.1160233612285626e-11,2.1155783868122204e-11,2.1161078171352641e-11
0.1675,1.4775046007304608e-11,2.1096565261436634e-11,2.1138405796020982e-11,2.1137026346235764e-11,2.113983947881462e-11,2.1137542997980827e-11,2.1143529756833925e-11
0.17,1.4665216647943457e-11,2.1056042813423609e-11,2.1102561094526971e-11,2.1105362718632745e-11,2.1103287699913202e-11,2.1102148193956515e-11,2.1104087706113593e-11
0.1725,1.4562502218717148e-11,2.1018038258392935e-11,2.1075454474460695e-11,2.1074266741621142e-11,2.1072815981401753e-11,2.1069082490943334e-11,2.1069048213986349e-11
0.175,1.4466994506906959e-11,2.0979078718900602e-11,2.1043030969286727e-11,2.1043253692622373e-11,2.1044656145026887e-11,2.1043413939120769e-11,2.1039504018507375e-11
0.1775,1.4376086423583531e-11,2.0934925508478865e-11,2.1006511593844115e-11,2.1008108437022673e-11,2.1009735955770436e-11,2.1010787393083881e-11,2.101051195873546e-11
0.18,1.429794516932998e-11,2.0896655775429132e-11,2.0979290584465777e-11,2.0978901887902543e-11,2.0981794936008371e-11,2.0982446641916116e-11,2.098811112554626e-11
0.1825,1.422598508366789e-11,2.0856737978715641e-11,2.0953320754629906e-11,2.0954488827984259e-11,2.0955170853551352e-11,2.0955566454481221e-11,2.096030412659372e-11
0.185,1.4152584759980716e-11,2.0808562128969368e-11,2.091947409066994e-11,2.0916186637324715e-11,2.0919323787255978e-11,2.0924731260880197e-11,2.0919131497159672e-11
0.1875,1.4080534665288393e-11,2.0759371506400055e-11,2.0883148666425875e-11,2.0883443215732326e-11,2.0884401273063498e-11,2.0887010687469634e-11,2.0882732101745804e-11
0.19,1.4016876152050447e-11,2.0707968619690281e-11,2.0850545991436189e-11,2.0849288771551738e-11,2.0849513123861832e-11,2.084872116603343e-11,2.083889502540592e-11
0.1925,1.3953638860077549e-11,2.0651604521032007e-11,2.0813418448597394e-11,2.0812699066784719e-11,2.0811708657190477e-11,2.0815605732159828e-11,2.0809247662357287e-11
0.195,1.3897728985930027e-11,2.0599708369225461e-11,2.0777985311784569e-11,2.0778608645667627e-11,2.0774667430662299e-11,2.0771879849742851e-11,2.0760970289663217e-11
0.1975,1.3843235543415409e-11,2.0539023250371925e-11,2.0743492491385661e-11,2.0744328871775886e-11,2.0742508737878961e-11,2.0742621979128865e-11,2.0747220253053514e-11
0.2,1.3801438659837726e-11,2.0491428919593692e-11,2.0717757247670159e-11,2.0717559062883786e-11,2.0716800127039741e-11,2.0717852308120337e-11,2.0724648231807895e-11
0.2025,1.3746216124230226e-11,2.0422807063037264e-11,2.0671868001365259e-11,2.0672307269735402e-11,2.0670603677885715e-11,2.0673495102482982e-11,2.0678705687917879e-11
0.205,1.3697010675187176e-11,2.0354436838730821e-11,2.0629465100089069e-11,2.062864408754529e-11,2.0629098357165574e-11,2.0627862990986182e-11,2.062318160478336e-11
0.2075,1.36577990944655e-11,2.0293555018126744e-11,2.0594263969258701e-11,2.0596683119784529e-11,2.0596363585216217e-11,2.059593687192871e-11,2.0598205309906043e-11
0.21,1.3616628330750104e-11,2.0229473664733259e-11,2.0558948838995144e-11,2.0556414097010368e-11,2.0554973226381343e-11,2.0555585641350202e-11,2.0558260867437281e-11
