Physical Time (s),enth_flux_viscous_top Monitor (kg-m/s^3): top_cv1,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv2,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv3,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv4,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv5,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv6,enth_flux_viscous_top Monitor (kg-m/s^3): top_cv7
0.2925,1.2922634031149182e-08,1.0346598682658674e-08,3.8431908126284817e-09,-6.7114619371172328e-11,-1.92792715993728e-09,-3.5057237749221964e-09,-4.1909263345012449e-09
0.295,1.3093340195758596e-08,1.0529376866621405e-08,3.9920523582480243e-09,5.7715369735327573e-11,-1.8073840915132358e-09,-3.3713095826308635e-09,-4.0405774843039986e-09
0.2975,1.3261000429778627e-08,1.0710554021734817e-08,4.1404513443861718e-09,1.8106887671369182e-10,-1.6909078971729862e-09,-3.2469541876690767e-09,-3.8979799501898088e-09
0.3,1.3419923011319555e-08,1.0883601749263804e-08,4.2803255659678545e-09,2.9343554100825537e-10,-1.5894132482091432e-09,-3.1475330513491104e-09,-3.7845947845913171e-09
0.3025,1.3563965956179719e-08,1.1040957325738349e-08,4.4024337799194193e-09,3.8421231843881184e-10,-1.5145388474937499e-09,-3.0873508868065858e-09,-3.7215910332155406e-09
0.305,1.3688545083741384e-08,1.1176672642961438e-08,4.4994935409723167e-09,4.4526965307164085e-10,-1.474898219489842e-09,-3.0759342756067186e-09,-3.7241749251762357e-09
0.3075,1.3791739851030302e-08,1.1287934650999146e-08,4.5680300119941995e-09,4.7299985113339385e-10,-1.473993132032912e-09,-3.1161664325315375e-09,-3.7993429074618151e-09
0.31,1.3873732692793045e-08,1.137443330472184e-08,4.607708943925129e-09,4.677176134169422e-10,-1.5106622202495213e-09,-3.2047962767721397e-09,-3.9457177382993148e-09
0.3125,1.3936562773464808e-08,1.1437991879585845e-08,4.6203770935434356e-09,4.3213788531054439e-10,-1.5808118999434678e-09,-3.3344490404922896e-09,-4.1550938535677044e-09
0.315,1.3983321682037517e-08,1.1481613375266546e-08,4.6088819142972119e-09,3.6981286907544322e-10,-1.6793928793251384e-09,-3.496209951197412e-09,-4.415029320533032e-09
0.3175,1.4017088769541914e-08,1.1508469833067469e-08,4.5764450773530062e-09,2.8453995610034578e-10,-1.8012440937148666e-09,-3.6809898739260512e-09,-4.7103403503975436e-09
0.32,1.4040968431759613e-08,1.1522088038082215e-08,4.5270140644645038e-09,1.8078101724013036e-10,-1.9408756772684943e-09,-3.8798555870129874e-09,-5.0245036370375009e-09
0.3225,1.4058317563540201e-08,1.1526385176448847e-08,4.465039984295331e-09,6.342426527302466e-11,-2.0927473871609813e-09,-4.0845535803938639e-09,-5.3408386138843841e-09
0.325,1.4072271349856502e-08,1.1525195621400769e-08,4.3950959552104477e-09,-6.2514729040782029e-11,-2.2514786676988524e-09,-4.2878524443896742e-09,-5.6440803197365401e-09
0.3275,1.4085653770292763e-08,1.1522119897919354e-08,4.3215599300217023e-09,-1.9228686508873379e-10,-2.412160511510058e-09,-4.4838651823084512e-09,-5.9214923521182626e-09
0.33,1.4100620792095115e-08,1.152002227589096e-08,4.2480468277921811e-09,-3.2196466491330247e-10,-2.5708706570800507e-09,-4.668524819975268e-09,-6.1639370614041848e-09
0.3325,1.4118617058532193e-08,1.1521042159575786e-08,4.1775759096919726e-09,-4.48168407727147e-10,-2.7243320314784323e-09,-4.8391955780014011e-09,-6.3658980116499194e-09
0.335,1.4140858521580681e-08,1.1527086489347852e-08,4.1130007666371246e-09,-5.6759504649241233e-10,-2.8693417437144494e-09,-4.9936912799660362e-09,-6.5238948135627244e-09
0.3375,1.4168396078850815e-08,1.1539958299677867e-08,4.0570679829022211e-09,-6.7708493920349723e-10,-3.0028320098841713e-09,-5.1303473291885826e-09,-6.6376698395238116e-09
0.34,1.4202222349712844e-08,1.1561262034205494e-08,4.0121075008311918e-09,-7.7401610653408513e-10,-3.1222788459028542e-09,-5.2483945539188493e-09,-6.7111510926083156e-09
0.3425,1.424365870449938e-08,1.1592860799897455e-08,3.9807669217589094e-09,-8.5534284284579268e-10,-3.2247088649537014e-09,-5.3467395538896203e-09,-6.7498349832739427e-09
0.345,1.4294170347139695e-08,1.1636916042807277e-08,3.9662861239536492e-09,-9.1719818438121677e-10,-3.3062238074452725e-09,-5.4232792750345324e-09,-6.759226245520858e-09
0.3475,1.4354751863231035e-08,1.1694951456504725e-08,3.9710795307002047e-09,-9.5661573886622013e-10,-3.3637228682028829e-09,-5.4763202315082492e-09,-6.7448179728120217e-09
0.35,1.4427828818557387e-08,1.177006375824717e-08,3.999065651398756e-09,-9.6905863795030859e-10,-3.3923393390042572e-09,-5.5015797286618027e-09,-6.7074113242683473e-09
