Physical Time (s),enth_flux_viscous_left Monitor (kg-m/s^3)
1.4375,4.3397646987473441e-08
1.44,4.3283890903418042e-08
1.4425,4.3163771321902522e-08
1.445,4.3038327705249498e-08
1.4475,4.2908626185468819e-08
1.45,4.2775764206509818e-08
1.4525,4.2640855701059016e-08
1.455,4.2505042695190978e-08
1.4575,4.2369478762671821e-08
1.46,4.223530955649204e-08
1.4625,4.2103661168857493e-08
1.465,4.1975640497170656e-08
1.4675,4.1852333469073426e-08
1.47,4.1734773041353479e-08
1.4725,4.1623928886340298e-08
1.475,4.1520675308831955e-08
1.4775,4.1425805011514669e-08
1.48,4.1340003446954215e-08
1.4825,4.1263847969696572e-08
1.485,4.1197795542926924e-08
1.4875,4.1142190259360774e-08
1.49,4.1097264671642909e-08
1.4925,4.1063142333835935e-08
1.495,4.1039833410293156e-08
1.4975,4.1027228685386901e-08
1.5,4.1025095221917423e-08
1.5025,4.1033076130944364e-08
1.505,4.1050686398779109e-08
1.5075,4.1077314990242196e-08
1.51,4.1112227389844632e-08
1.5125,4.1154590964770178e-08
1.515,4.120346843326109e-08
1.5175,4.125784448356712e-08
1.52,4.1316634961355523e-08
1.5225,4.1378704528134447e-08
1.525,4.1442872753594488e-08
1.5275,4.1507918769178255e-08
1.53,4.157258805841865e-08
1.5325,4.1635618833686799e-08
1.535,4.1695775129787751e-08
1.5375,4.1751866223023291e-08
1.54,4.1802749503917539e-08
1.5425,4.1847341596966021e-08
1.545,4.1884636628475879e-08
1.5475,4.1913698230583865e-08
1.55,4.1933713511260691e-08
1.5525,4.1943991105579946e-08
1.555,4.1943989610170634e-08
1.5575,4.1933316518530731e-08
1.56,4.1911739559486945e-08
1.5625,4.1879167093120239e-08
1.565,4.1835639647321305e-08
1.5675,4.1781315602086504e-08
1.57,4.1716474832564969e-08
1.5725,4.164152052081384e-08
1.575,4.1556979516816163e-08
1.5775,4.1463484583833818e-08
1.58,4.1361781746279778e-08
1.5825,4.1252729560611981e-08
1.585,4.1137288702164709e-08
1.5875,4.1016500627951603e-08
1.59,4.0891470339956597e-08
1.5925,4.0763323552026141e-08
1.595,4.0633177836064219e-08
1.5975,4.050213368817035e-08
1.6,4.0371268120343706e-08
1.6025,4.0241622971233351e-08
1.605,4.0114191325258901e-08
1.6075,3.998989464523846e-08
1.61,3.9869561632075621e-08
1.6125,3.9753932053527127e-08
1.615,3.9643656466705893e-08
1.6175,3.9539274718158495e-08
1.62,3.9441212310828789e-08
1.6225,3.9349767930977109e-08
1.625,3.9265103411788374e-08
1.6275,3.9187257325586777e-08
1.63,3.9116151850834573e-08
1.6325,3.9051596195806861e-08
1.635,3.8993291815170791e-08
1.6375,3.8940842573963098e-08
1.64,3.8893772524774615e-08
1.6425,3.8851545028145641e-08
1.645,3.8813571116860674e-08
1.6475,3.8779213697586919e-08
1.65,3.8747783649071048e-08
1.6525,3.8718553935889804e-08
1.655,3.8690788008069277e-08
1.6575,3.8663760138143382e-08
1.66,3.8636772991538479e-08
1.6625,3.8609159160080869e-08
1.665,3.8580276446920862e-08
1.6675,3.8549514822561075e-08
1.67,3.8516314802344746e-08
1.6725,3.8480184988730101e-08
1.675,3.8440705697500208e-08
1.6775,3.839751865718332e-08
1.68,3.8350313668324209e-08
1.6825,3.8298827807602146e-08
1.685,3.8242867424747611e-08
1.6875,3.8182326605370042e-08
1.69,3.8117190961600252e-08
1.6925,3.8047528885478773e-08
1.695,3.7973479119489637e-08
1.6975,3.7895237474190096e-08
1.7,3.7813044900714001e-08
1.7025,3.7727177472634059e-08
1.705,3.7637936678104431e-08
1.7075,3.7545636139992253e-08
1.71,3.7450593538176586e-08
1.7125,3.7353124817164127e-08
1.715,3.7253527630914332e-08
1.7175,3.7152107688957665e-08
1.72,3.7049216653477679e-08
1.7225,3.6945209300524307e-08
1.725,3.6840406348552537e-08
1.7275,3.6735092385078629e-08
1.73,3.6629503231621452e-08
1.7325,3.6523812778831677e-08
1.735,3.6418126202830128e-08
1.7375,3.6312486900298989e-08
1.74,3.6206914285289564e-08
1.7425,3.6101411892991534e-08
1.745,3.599591674878678e-08
1.7475,3.5890270089096781e-08
1.75,3.578427513867093e-08
1.7525,3.5677751443042708e-08
1.755,3.5570524558049865e-08
1.7575,3.5462366224831516e-08
1.76,3.535297871025431e-08
1.7625,3.5242005448158009e-08
1.765,3.5129045996420463e-08
1.7675,3.5013683506136927e-08
1.77,3.4895497941828347e-08
1.7725,3.4774063094066815e-08
1.775,3.4648947917330926e-08
1.7775,3.4519735637446965e-08
1.78,3.4386041266705937e-08
1.7825,3.4247539371859109e-08
1.785,3.4103971104004488e-08
1.7875,3.3955168780891509e-08
1.79,3.3801027296630533e-08
1.7925,3.3641477972243025e-08
1.795,3.347648841964751e-08
1.7975,3.3306072026825193e-08
1.8,3.3130301387048813e-08
1.8025,3.2949314175410551e-08
1.805,3.2763308182651246e-08
1.8075,3.2572280160172334e-08
1.81,3.2376725497255424e-08
1.8125,3.2177015442289754e-08
1.815,3.1973582823900151e-08
1.8175,3.1766925526455873e-08
1.82,3.1557596540776711e-08
1.8225,3.1346190817072349e-08
1.825,3.1133325003056385e-08
1.8275,3.0919613596443439e-08
1.83,3.0705681241732375e-08
1.8325,3.0492154700853181e-08
1.835,3.0279653631672421e-08
1.8375,3.0068778920395733e-08
1.84,2.9860111872604822e-08
1.8425,2.9654210614631528e-08
1.845,2.9451604519912983e-08
1.8475,2.9252785928286613e-08
1.85,2.9058223456931026e-08
1.8525,2.8868349225809229e-08
1.855,2.8683553285996109e-08
1.8575,2.8504160207764579e-08
1.86,2.8330428871277016e-08
1.8625,2.8162552003527017e-08
1.865,2.8000659952690475e-08
1.8675,2.7844829483637295e-08
1.87,2.7695085415267162e-08
1.8725,2.7551403772827917e-08
1.875,2.7413716977990228e-08
1.8775,2.728191876862265e-08
1.88,2.7155858703578292e-08
1.8825,2.7035336707083422e-08
1.885,2.6920107924034757e-08
1.8875,2.6809887488674827e-08
1.89,2.6704356711440217e-08
1.8925,2.6603175554144577e-08
1.895,2.6505987535087215e-08
1.8975,2.641241923220581e-08
1.9,2.63220729365763e-08
1.9025,2.6234541566380666e-08
1.905,2.6149413238690772e-08
1.9075,2.6066289495234981e-08
1.91,2.598478076263244e-08
1.9125,2.5904507995804482e-08
1.915,2.5825105785560714e-08
1.9175,2.5746222948332631e-08
1.92,2.5667510893889418e-08
1.9225,2.5588626154102741e-08
1.925,2.5509236612336049e-08
1.9275,2.5429027142319856e-08
1.93,2.5347724641194797e-08
1.9325,2.5265100966740838e-08
1.935,2.5180965333123458e-08
1.9375,2.5095158770145555e-08
1.94,2.5007535271673574e-08
1.9425,2.4917970272416952e-08
1.945,2.482636476955045e-08
1.9475,2.4732666565739341e-08
1.95,2.4636883969444577e-08
1.9525,2.4539062690203449e-08
1.955,2.4439288224509541e-08
1.9575,2.4337669919910934e-08
1.96,2.4234328406791976e-08
1.9625,2.4129403808277554e-08
1.965,2.402306787368531e-08
1.9675,2.3915532959667614e-08
1.97,2.3807042305626748e-08
1.9725,2.3697849752299326e-08
1.975,2.3588211217057093e-08
1.9775,2.3478387612203774e-08
1.98,2.3368637007642933e-08
1.9825,2.3259242245475503e-08
1.985,2.3150516535260337e-08
1.9875,2.3042781664204409e-08
1.99,2.2936342091380599e-08
