Physical Time (s),ep_right Monitor (kg-m/s^3): right_cv1,ep_right Monitor (kg-m/s^3): right_cv2,ep_right Monitor (kg-m/s^3): right_cv3,ep_right Monitor (kg-m/s^3): right_cv4,ep_right Monitor (kg-m/s^3): right_cv5,ep_right Monitor (kg-m/s^3): right_cv6,ep_right Monitor (kg-m/s^3): right_cv7
0.1925,-7.0625111863907624e-07,-3.6147642151287561e-07,-1.1849819937714202e-07,-7.6208364267174706e-08,-3.654889449804651e-08,2.0476320114725941e-08,1.1468275997442129e-09
0.195,-3.1396196870215048e-07,-3.2738659758308087e-07,-1.0017817632841989e-07,-7.3078455995917778e-08,-4.0065653243413269e-08,2.0021615764419715e-08,1.3131191078143118e-10
0.1975,1.2081815413648585e-07,-2.8276774014222529e-07,-7.4408968650791816e-08,-6.4834897562813684e-08,-4.1755505983621713e-08,1.6599242738876183e-08,1.1471003638062886e-08
0.2,5.8059549009300173e-07,-2.3416114487600149e-07,-4.2318461020053949e-08,-5.0764993546601994e-08,-4.0189680924900211e-08,1.0709590498947424e-08,2.8986907366442428e-08
0.2025,1.0531637345087005e-06,-1.881388722033549e-07,-6.0090440479125421e-09,-3.0920896589425177e-08,-3.4066072040722921e-08,3.4668443758588721e-09,4.6875284178278795e-08
0.205,1.5340690830609911e-06,-1.4961843751912199e-07,3.1706611607598279e-08,-6.3214025647686184e-09,-2.2622717917674571e-08,-3.4669040572537843e-09,6.0622153781080048e-08
0.2075,2.026731009903736e-06,-1.2109181273316725e-07,6.7642402504143892e-08,2.0991011140580321e-08,-6.0527514512915621e-09,-8.1301305030556954e-09,6.7437475725402615e-08
0.21,2.5421558453830179e-06,-1.0218158678548053e-07,9.8786178857679522e-08,4.8215287309265382e-08,1.4288687140906102e-08,-8.7148453300586972e-09,6.6377855607353213e-08
0.2125,3.0957624769609406e-06,-9.0054575832355072e-08,1.2287463413819953e-07,7.2333039260591922e-08,3.602292214810733e-08,-4.1153871791378136e-09,5.8208751688639002e-08
0.215,3.7035128759304907e-06,-8.0669519002964095e-08,1.3877093823527587e-07,9.0748431367616708e-08,5.6225905991579798e-08,5.6292716241207273e-09,4.5038976639288061e-08
0.2175,4.3771130184422058e-06,-7.0101337049307858e-08,1.4650545873987359e-07,1.0179606939831129e-07,7.2073895451194245e-08,1.9173495920742718e-08,2.9795457683854197e-08
0.22,5.120677073785181e-06,-5.5816456666558656e-08,1.4706361021596493e-07,1.0502411649118607e-07,8.1507875972753006e-08,3.4097463927844367e-08,1.5603252043865423e-08
0.2225,5.9286583198483227e-06,-3.7275713756236442e-08,1.4200424099077865e-07,1.0114115007870946e-07,8.3672642779563368e-08,4.7484061624382978e-08,5.1611065361635041e-09
0.225,6.7858661355614661e-06,-1.624684723126362e-08,1.3306346512086789e-07,9.16948112787917e-08,7.901415010035028e-08,5.6671558349426559e-08,2.1271752456770913e-10
0.2275,7.6699764014406576e-06,3.6505333590111964e-09,1.218512265804605e-07,7.8621166748067755e-08,6.9030896905608873e-08,5.9950826325526709e-08,1.2154812230544133e-09
0.23,8.5564574174025466e-06,1.7522818865272851e-08,1.0966808425720874e-07,6.3801495053373596e-08,5.5769644898388338e-08,5.6977965328359007e-08,7.2954408017341461e-09
0.2325,9.4218264460177866e-06,2.0107500216558442e-08,9.7453416458298802e-08,4.8773521287158377e-08,4.1266685230457803e-08,4.8758202577854993e-08,1.6510372463835182e-08
0.235,1.0247262967842211e-05,6.7629333922507613e-09,8.5827799083053253e-08,3.4663664613063254e-08,2.7149565706429705e-08,3.7259039309122039e-08,2.6336944178054486e-08
0.2375,1.1021969622803931e-05,-2.5815742384077476e-08,7.5145518252998473e-08,2.2256726225013178e-08,1.4472704976667482e-08,2.4802210177252894e-08,3.427023466993241e-08
0.24,1.1759792983798148e-05,-8.1725623145871563e-08,6.5023692478186529e-08,1.1537567884976708e-08,3.2554694249433774e-09,1.3052223464405287e-08,3.8455404204743579e-08
0.2425,1.242241146645082e-05,-1.5942437203200483e-07,5.6049954014658191e-08,3.7289753869273156e-09,-5.5688183756311774e-09,3.8432973023384964e-09,3.7775283312312046e-08
0.245,1.3064882020611647e-05,-2.5335414224440735e-07,4.7320760468464959e-08,-1.0808355475880811e-09,-1.2041960508229218e-08,-2.6177443894896225e-09,3.2518987633993514e-08
0.2475,1.3680038649837834e-05,-3.5461327584568441e-07,3.8452156753597751e-08,-2.8229672957489672e-09,-1.5807684856859919e-08,-6.6466392328188026e-09,2.41808868205212e-08
0.25,1.4309277203814182e-05,-4.5209762575046314e-07,2.9052727428588167e-08,-2.081486590348719e-09,-1.6735592882886655e-08,-9.0519669374599245e-09,1.4995974795731625e-08
