Physical Time (s),phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.22,1.0274714787408815e-09,9.5178447361389901e-10,8.6460987991518592e-10,6.9369243591561687e-10,6.234908675763263e-10,6.096459873272571e-10,6.2626033573160797e-10
0.2225,1.0128629001222201e-09,9.332563531060659e-10,8.4302702675685326e-10,6.6266109220704967e-10,5.8338721693434541e-10,5.6212957846727133e-10,5.7763622564186808e-10
0.225,9.9424069984702896e-10,9.1015415674493079e-10,8.1642309561975452e-10,6.2576063129994869e-10,5.3634032237866353e-10,5.0605986369855158e-10,5.187451716567044e-10
0.2275,9.7383765655160969e-10,8.848383572269789e-10,7.8733604730163425e-10,5.8610082394965984e-10,4.8606281557052436e-10,4.4574875713110871e-10,4.5407360033886397e-10
0.23,9.5413237065175639e-10,8.5996069935276055e-10,7.5862033462628947e-10,5.4714168713616622e-10,4.366519032710902e-10,3.8596571143058321e-10,3.8869051586745485e-10
0.2325,9.3755505308358632e-10,8.3815036592453917e-10,7.3310987627212316e-10,5.1230705205452717e-10,3.9215060842981264e-10,3.3144420038096588e-10,3.2773396710664151e-10
0.235,9.2619848503059952e-10,8.217032599386686e-10,7.1328372623827655e-10,4.8459571131642887e-10,3.5610993914641663e-10,2.8638783810418959e-10,2.7588028487621822e-10
0.2375,9.2154356192458722e-10,8.1230387338541848e-10,7.0100096832204059e-10,4.6628366403292832e-10,3.3124953767912511e-10,2.540847192973613e-10,2.3692090770847464e-10
0.24,9.2445979913464828e-10,8.109258488609533e-10,6.9732025587022733e-10,4.5872970859203259e-10,3.1927057275844296e-10,2.3670097986619003e-10,2.1352776571562906e-10
0.2425,9.350472706980228e-10,8.1784116650301381e-10,7.0258158891761981e-10,4.6234222678564261e-10,3.2067525538981655e-10,2.3499154893855916e-10,2.06882674172627e-10
0.245,9.5266794364612312e-10,8.324473418700528e-10,7.1615929542303609e-10,4.7636228454291989e-10,3.346088716988111e-10,2.4813148055256877e-10,2.1648117514206447e-10
0.2475,9.7593569511496962e-10,8.5333185542856753e-10,7.3655095584708208e-10,4.9894562067045651e-10,3.5890259205485021e-10,2.7373244351463237e-10,2.4009401388709553e-10
0.25,1.0028926080889773e-09,8.7843257350780653e-10,7.6153017677404166e-10,5.2736231587997748e-10,3.9032001700474182e-10,3.0811169238603511e-10,2.7400795575129574e-10
0.2525,1.0314525709858097e-09,9.0542784476884392e-10,7.8852974217156846e-10,5.584493299123604e-10,4.2510654003718568e-10,3.4692785103848545e-10,3.1367927732751271e-10
0.255,1.0596054016355652e-09,9.3217369658841954e-10,8.1535327404144935e-10,5.8953736412493634e-10,4.6006500700648175e-10,3.8642626255698998e-10,3.5513743978733036e-10
0.2575,1.085736520115083e-09,9.5685243458861584e-10,8.3999162033120973e-10,6.1811999391577695e-10,4.921718858483801e-10,4.2300564970927334e-10,3.9443861274091429e-10
0.26,1.1087182374140017e-09,9.7818051538307018e-10,8.6105520663527958e-10,6.4244451062148327e-10,5.192716441717519e-10,4.5402380756775085e-10,4.286038845070295e-10
0.2625,1.1278990164522089e-09,9.953319255272502e-10,8.7762148749039103e-10,6.6137482676393727e-10,5.3998120064394088e-10,4.7774415806918785e-10,4.555670101271503e-10
0.265,1.1432052020684666e-09,1.008189247498588e-09,8.8957764505604552e-10,6.7477014124078264e-10,5.5407894956438362e-10,4.9374956342428876e-10,4.7461571249335075e-10
0.2675,1.1550496131868866e-09,1.0170713094507013e-09,8.972119917954401e-10,6.8298568798500309e-10,5.619899179892996e-10,5.0244206311056994e-10,4.8591226520972894e-10
0.27,1.1641599988374076e-09,1.0227077201370258e-09,9.0128800547724517e-10,6.869622397718542e-10,5.6484630200050635e-10,5.0508297303687334e-10,4.9056306517439792e-10
0.2725,1.1714172613294311e-09,1.0260658248914771e-09,9.0285173352953076e-10,6.8797138674443646e-10,5.6418597427954983e-10,5.0345662321248958e-10,4.9030560053439546e-10
0.275,1.1778125414122976e-09,1.0282794246430001e-09,9.0313579829684344e-10,6.8750792571207491e-10,5.6179499882792945e-10,4.9966553693025249e-10,4.8729192309724313e-10
0.2775,1.184260701795356e-09,1.0304104001816973e-09,9.0327069799476441e-10,6.8691435501920364e-10,5.5926277766357177e-10,4.9560270514309333e-10,4.8353660791048797e-10
0.28,1.1915516631434961e-09,1.0332838991499234e-09,9.0411185284784322e-10,6.8720411860780397e-10,5.5778971805616008e-10,4.9272273561420685e-10,4.806373244548802e-10
0.2825,1.2001831007380697e-09,1.0375146072823135e-09,9.0630480929845239e-10,6.8911539036215821e-10,5.5822671380040488e-10,4.920544652631061e-10,4.7977241650284096e-10
0.285,1.2104896442512009e-09,1.0434643624872298e-09,9.1020644388857292e-10,6.9303614305501394e-10,5.6100458518466743e-10,4.9412673982733058e-10,4.8159920721898804e-10
0.2875,1.2224264215873133e-09,1.0511796878150332e-09,9.1587547286389618e-10,6.9900821140059362e-10,5.661292550119365e-10,4.9894372797268269e-10,4.8622809643338838e-10
0.29,1.2357233168386483e-09,1.0604222147387532e-09,9.2306387954259376e-10,7.067317161374729e-10,5.7320652284691396e-10,5.060173503051838e-10,4.9323925479966713e-10
0.2925,1.2498346110647869e-09,1.0706763105574788e-09,9.3123188996464872e-10,7.1559213918647544e-10,5.8149591913007589e-10,5.1444640458911667e-10,5.0174676827534324e-10
0.295,1.2641529462928591e-09,1.0813056537716825e-09,9.3970540169211089e-10,7.2483110279544345e-10,5.9010903493565453e-10,5.2315663455747676e-10,5.1064135273828818e-10
0.2975,1.2779916125484787e-09,1.0915624660567588e-09,9.4772797000440623e-10,7.3362660383555609e-10,5.9811479046796291e-10,5.3104649082532682e-10,5.1874785336890256e-10
0.3,1.2907747671164968e-09,1.1007630199228402e-09,9.5456097431956532e-10,7.4114541307439159e-10,6.0456853452550904e-10,5.3701113172846736e-10,5.2485869925369644e-10
0.3025,1.3018440856246777e-09,1.1082024288637579e-09,9.5949481649658025e-10,7.4662404316662239e-10,6.0863568480721645e-10,5.4011245170940344e-10,5.2793039263463874e-10
0.305,1.3107392946427306e-09,1.113360646910766e-09,9.6197811241787569e-10,7.494687559650759e-10,6.0967900235707339e-10,5.3966391241048953e-10,5.2718231505970456e-10
0.3075,1.3172967569196011e-09,1.1160279156271264e-09,9.617685477733934e-10,7.494320160461941e-10,6.0744566603822844e-10,5.3541770021372619e-10,5.2229601972649221e-10
0.31,1.3215627929856372e-09,1.1162273149394199e-09,9.5888322302067042e-10,7.4657731795011034e-10,6.0206004674721357e-10,5.2757165037799608e-10,5.1343917015602783e-10
0.3125,1.3238150431305979e-09,1.1142104002835581e-09,9.5354926828252048e-10,7.4117047099855978e-10,5.9387828582327211e-10,5.165958943517227e-10,5.0109665615148726e-10
0.315,1.3243978343407551e-09,1.1103039518307786e-09,9.4607051471423365e-10,7.3355774418019358e-10,5.833510311120614e-10,5.0308396813266933e-10,4.8592381499514771e-10
0.3175,1.3236750373177953e-09,1.1048781865823172e-09,9.3679824416775399e-10,7.2411701183930619e-10,5.7094932098457659e-10,4.8765347916912702e-10,4.6863842894318969e-10
0.32,1.3219773503112292e-09,1.098315374476102e-09,9.2611461698447981e-10,7.1325599169385693e-10,5.5715368052994033e-10,4.709174516626328e-10,4.499744542979335e-10
0.3225,1.3196502677690578e-09,1.0909573834898854e-09,9.1434493521707115e-10,7.0131912480103488e-10,5.4235449511268936e-10,4.5337039094903687e-10,4.3055488444574171e-10
0.325,1.3169953307876498e-09,1.0831392365285736e-09,9.0182084655059104e-10,6.8865671845004163e-10,5.2692969440716249e-10,4.3546561987594956e-10,4.1095427188241286e-10
0.3275,1.3142733408118594e-09,1.0751632841034168e-09,8.8884323668337421e-10,6.7558128343332312e-10,5.1120448683873407e-10,4.1757182367129937e-10,3.9164439535050676e-10
0.33,1.3116377941472765e-09,1.0672380745357767e-09,8.7565225020718885e-10,6.623604217726592e-10,4.9545611636149537e-10,3.9998777020789528e-10,3.7300712600846753e-10
0.3325,1.309239653840203e-09,1.0595586929208601e-09,8.6244344730051575e-10,6.4919668460926739e-10,4.7988253615827488e-10,3.8289083238419042e-10,3.5526375482965275e-10
0.335,1.3071797711355228e-09,1.0522725087049403e-09,8.493927079227285e-10,6.3629951073544696e-10,4.6469835472837164e-10,3.664718686616004e-10,3.386316300705e-10
0.3375,1.3055743705505785e-09,1.045606640172847e-09,8.3676898864135713e-10,6.239642491057126e-10,4.5020421848715256e-10,3.5099307656026343e-10,3.2335626951136543e-10
0.34,1.3044802531818783e-09,1.0396713688068282e-09,8.2472957770460833e-10,6.1236564037716297e-10,4.3657352862487218e-10,3.3656571131935279e-10,3.0948046452033394e-10
0.3425,1.3039961058426639e-09,1.0346181670671722e-09,8.1347339573726919e-10,6.0172914325085356e-10,4.2403591742570685e-10,3.2335224268773623e-10,2.9706657435301875e-10
0.345,1.3042601239379477e-09,1.0305941031882681e-09,8.0315495573080819e-10,5.9221666320201931e-10,4.1275232710082851e-10,3.1144326978470246e-10,2.8608598731404799e-10
0.3475,1.3054054207568132e-09,1.027806498568837e-09,7.9400369855085379e-10,5.8406465133960751e-10,4.0297074294002499e-10,3.010359233170793e-10,2.7662366625588528e-10
0.35,1.3076546459425874e-09,1.0265512077944426e-09,7.8636963366594521e-10,5.7765749661819498e-10,3.951162817660409e-10,2.925516267005668e-10,2.6902034388323685e-10
0.3525,1.3112841385663751e-09,1.0271663334329256e-09,7.8061823494802331e-10,5.7337333196193634e-10,3.8960930801812032e-10,2.8643146804628371e-10,2.6366088055397308e-10
0.355,1.3165555801273453e-09,1.0299726220642503e-09,7.7711358223858208e-10,5.7159390364214788e-10,3.8688297062056021e-10,2.8315407396182139e-10,2.6099094647579725e-10
0.3575,1.3237356175468048e-09,1.0352782961030194e-09,7.7619394148320573e-10,5.726589530086131e-10,3.8731594773592572e-10,2.8314411407028213e-10,2.6141440803458695e-10
0.36,1.3330233893838299e-09,1.0433258826635696e-09,7.7814233975716174e-10,5.7685467826854822e-10,3.9122221798422825e-10,2.8675648960327904e-10,2.6528185833835013e-10
0.3625,1.3445328043099174e-09,1.0542614990770084e-09,7.8313895956990596e-10,5.8435571917887435e-10,3.9878801356396118e-10,2.9420649666102175e-10,2.7282345488507988e-10
0.365,1.3582417714931184e-09,1.0680758002068909e-09,7.9120660810186833e-10,5.9517270371175478e-10,4.1002421301385493e-10,3.0552533263668459e-10,2.8410586818119172e-10
0.3675,1.3739944902242229e-09,1.0845902456931232e-09,8.0217507144332333e-10,6.0910279943523474e-10,4.2470515992369013e-10,3.2049123850575803e-10,2.9895420294485395e-10
0.37,1.3915070834012065e-09,1.1034606983163922e-09,8.1567996840445368e-10,6.2572454864016076e-10,4.4236242608768714e-10,3.3861950274107457e-10,3.1693184620659906e-10
