Physical Time (s),ev_right Monitor (kg-m/s^3): right_cv1,ev_right Monitor (kg-m/s^3): right_cv2,ev_right Monitor (kg-m/s^3): right_cv3,ev_right Monitor (kg-m/s^3): right_cv4,ev_right Monitor (kg-m/s^3): right_cv5,ev_right Monitor (kg-m/s^3): right_cv6,ev_right Monitor (kg-m/s^3): right_cv7
0.245,1.051243999189749e-05,1.1276319202689624e-06,2.3516654337322725e-08,2.0746155561146964e-09,8.1817894370727533e-10,2.3251164954571537e-10,1.2752726779209227e-11
0.2475,1.0448482277363343e-05,1.1440358125646333e-06,2.3986093969724598e-08,2.0288858703687762e-09,7.7904690462334866e-10,2.2675987783375432e-10,2.2211035484920223e-11
0.25,1.0370656748983979e-05,1.156146588036522e-06,2.4325854577838973e-08,1.9563026621626441e-09,7.2241740843376299e-10,2.0831188844198691e-10,3.0415894122565424e-11
0.2525,1.0280073763783023e-05,1.164435582481938e-06,2.458216885381591e-08,1.8713764941634185e-09,6.5809771260029123e-10,1.8198691759046169e-10,3.5721018562241474e-11
0.255,1.0178130164799593e-05,1.1695625041551346e-06,2.4808507608879528e-08,1.7873613750700737e-09,5.9476659901304506e-10,1.527324086438621e-10,3.7283146791219627e-11
0.2575,1.0066060977359783e-05,1.1721210489606672e-06,2.5053266178746105e-08,1.7149301404297793e-09,5.3903407951468965e-10,1.2474662869533867e-10,3.5270266500147697e-11
0.26,9.9455990081158943e-06,1.1727816209398481e-06,2.5357069233802235e-08,1.6615513496167913e-09,4.9506768130062388e-10,1.0096187036861796e-10,3.0512973226171785e-11
0.2625,9.8180624355073239e-06,1.1721896607074783e-06,2.5745148324681854e-08,1.6306851646110811e-09,4.6449859420762451e-10,8.2689508356762974e-11,2.4346041589531643e-11
0.265,9.6848362084204249e-06,1.1709578658846192e-06,2.6232132367246899e-08,1.6225533361471283e-09,4.4711421834323364e-10,7.0065226357889871e-11,1.8069905737581196e-11
0.2675,9.5469108300891262e-06,1.1695821927384382e-06,2.6820087342028949e-08,1.6345409756174671e-09,4.4126631524875223e-10,6.2403398326724809e-11,1.2647280116106444e-11
0.27,9.4052361437783332e-06,1.1684061480584406e-06,2.7502543658551879e-08,1.662441156250007e-09,4.4442518545807617e-10,5.875131650770273e-11,8.5294686034367953e-12
0.2725,9.260269559593828e-06,1.1676017894161681e-06,2.8260690294796878e-08,1.7010344779923522e-09,4.5347513976673727e-10,5.8084682207813551e-11,5.6784895238952063e-12
0.275,9.1125039205741581e-06,1.1672127419043362e-06,2.9073710528657138e-08,1.7452553132327681e-09,4.6526388883228486e-10,5.9472162945242857e-11,3.8144369588031403e-12
0.2775,8.9622863128859008e-06,1.1671558087307957e-06,2.9919867479532906e-08,1.7907077395544987e-09,4.7696942498467625e-10,6.2034148561073541e-11,2.6123318131683723e-12
0.28,8.8099497353241492e-06,1.1672497630567809e-06,3.0786064635784005e-08,1.833978207250766e-09,4.862742689380765e-10,6.4843162026087333e-11,1.8644462076466575e-12
0.2825,8.6556825351209943e-06,1.1672516832876905e-06,3.165542454043587e-08,1.8729429503782305e-09,4.9175530813293834e-10,6.7064310176747034e-11,1.3919510327268675e-12
0.285,8.4999988139574892e-06,1.1668846839316251e-06,3.2518341001056336e-08,1.9068286618050445e-09,4.9291165508651507e-10,6.7999059718668065e-11,1.0835082907028927e-12
0.2875,8.343004492192203e-06,1.1659309315199006e-06,3.3362229592333867e-08,1.9362777226145182e-09,4.9033810166828733e-10,6.7474451512198266e-11,8.270739643223329e-13
0.29,8.1850557675747338e-06,1.1642437917400425e-06,3.4182616910434944e-08,1.9628438745212057e-09,4.8538619931679177e-10,6.5776868721089432e-11,5.6440588769944107e-13
0.2925,8.0263089249120668e-06,1.1617776250965837e-06,3.4979066867707274e-08,1.988445231815559e-09,4.7969902312888468e-10,6.3485482266537234e-11,3.0735024069586055e-13
0.295,7.8670804259679868e-06,1.1584952510589698e-06,3.5760399132872552e-08,2.0150333910790797e-09,4.7484939469836607e-10,6.1206016153491598e-11,1.1240519330351965e-13
0.2975,7.707549156243934e-06,1.1543397663645102e-06,3.6539397592480744e-08,2.0445831860337996e-09,4.7222308812531535e-10,5.9487458778280757e-11,2.2407503795923947e-14
