Physical Time (s),etp_bot Monitor (kg-m/s^3): bot_cv1,etp_bot Monitor (kg-m/s^3): bot_cv2,etp_bot Monitor (kg-m/s^3): bot_cv3,etp_bot Monitor (kg-m/s^3): bot_cv4,etp_bot Monitor (kg-m/s^3): bot_cv5,etp_bot Monitor (kg-m/s^3): bot_cv6,etp_bot Monitor (kg-m/s^3): bot_cv7
0.3,5.2806258590733912e-08,5.8134817156652406e-08,6.4423517830208256e-08,6.3687090225677677e-08,6.1639704428538426e-08,5.7716993932915769e-08,5.5120911755848867e-08
0.3025,4.5157095698338556e-08,5.0832448660914482e-08,5.771472687915639e-08,5.7648238991651592e-08,5.6150894407726208e-08,5.2682550140229896e-08,4.9772456240345305e-08
0.305,3.758404057333896e-08,4.3520947326450266e-08,5.0371668655874766e-08,5.0374436487936193e-08,4.9095645061573619e-08,4.5870829264555266e-08,4.2618756698779677e-08
0.3075,3.0274263751329141e-08,3.6432418949127522e-08,4.2776701930119475e-08,4.2254197447227079e-08,4.0828595572784181e-08,3.7547508212715478e-08,3.384150129466321e-08
0.31,2.3718012619357537e-08,3.0051202941751811e-08,3.5496592078730514e-08,3.3887040722368309e-08,3.1922449717198123e-08,2.8209947005220399e-08,2.3865555122263201e-08
0.3125,1.8305749969943511e-08,2.4813130283293128e-08,2.914907330232505e-08,2.6005821259985818e-08,2.3124409508463489e-08,1.8562166998418141e-08,1.3336308330455826e-08
0.315,1.4133524164627803e-08,2.0852793907786811e-08,2.4028616208807273e-08,1.9009962519539564e-08,1.4853986436433131e-08,8.9860530905427321e-09,2.5928020805950081e-09
0.3175,1.1380870759021912e-08,1.8350036473244561e-08,2.0443391096174667e-08,1.3377662452654912e-08,7.6801240775128847e-09,8.6789756705272653e-11,-7.7387411064559751e-09
0.32,1.009255143626752e-08,1.7325543398587774e-08,1.8465886118224433e-08,9.3586999312154255e-09,1.9907346556257513e-09,-7.6310573132020746e-09,-1.7074757518103959e-08
0.3225,1.0264881495137311e-08,1.7711121261995471e-08,1.7892350902524767e-08,6.6981741268701903e-09,-2.4496590908355743e-09,-1.43566899838896e-08,-2.551549457040851e-08
0.325,1.199585112086632e-08,1.9486560483942573e-08,1.8530207487720583e-08,5.2176699904900847e-09,-5.7420105015428617e-09,-2.0050207966450697e-08,-3.2876445570968494e-08
0.3275,1.5389800070622672e-08,2.2640377710772217e-08,2.0187548648975951e-08,4.716530974380014e-09,-8.0243635097403243e-09,-2.4693430743954642e-08,-3.8975312714265738e-08
0.33,2.053477439964182e-08,2.7155694671744439e-08,2.264993472136829e-08,4.9453903701243217e-09,-9.5000948929783925e-09,-2.8339483549769314e-08,-4.3701784978655449e-08
