Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
1.0275,-4.101936856379445e-08
1.03,-4.1773531554672379e-08
1.0325,-4.2523175529553487e-08
1.035,-4.3266877946465725e-08
1.0375,-4.4005665164901505e-08
1.04,-4.4732266578150728e-08
1.0425,-4.5447829161115883e-08
1.045,-4.6154300699730087e-08
1.0475,-4.6850417993289653e-08
1.05,-4.7534701936781259e-08
1.0525,-4.8199541624579938e-08
1.055,-4.8843903537478982e-08
1.0575,-4.9476019942832686e-08
1.06,-5.008756734717065e-08
1.0625,-5.0678276170233883e-08
1.065,-5.1250934945863705e-08
1.0675,-5.1809375914210543e-08
1.07,-5.2345564833420695e-08
1.0725,-5.2863258976388932e-08
1.075,-5.3361100967668792e-08
1.0775,-5.3833120633133744e-08
1.08,-5.4291164918284511e-08
1.0825,-5.4729175343476988e-08
1.085,-5.5153679647000325e-08
1.0875,-5.5559459255517599e-08
1.09,-5.5947116734060115e-08
1.0925,-5.6317415702115679e-08
1.095,-5.6677465486913916e-08
1.0975,-5.7018105522810227e-08
1.1,-5.7342853416566445e-08
1.1025,-5.7651844744888988e-08
1.105,-5.7951259142447411e-08
1.1075,-5.8232839110445659e-08
1.11,-5.8505805070239435e-08
1.1125,-5.8763835116630527e-08
1.115,-5.9012705055711708e-08
1.1175,-5.9250106249184393e-08
1.12,-5.9470178409081377e-08
1.1225,-5.9683249733471103e-08
1.125,-5.9877759320174961e-08
1.1275,-6.0061400777550086e-08
1.13,-6.0231140508870009e-08
1.1325,-6.0389565892024277e-08
1.135,-6.0535823923658181e-08
1.1375,-6.0663740249544538e-08
1.14,-6.0775082411999188e-08
1.1425,-6.0869729815604251e-08
1.145,-6.0950198981104925e-08
1.1475,-6.1004020355551292e-08
1.15,-6.1042439736838397e-08
1.1525,-6.1062870512361667e-08
1.155,-6.1058389461032964e-08
1.1575,-6.1040996088985982e-08
1.16,-6.1001906317951455e-08
1.1625,-6.094097565282005e-08
1.165,-6.086444029895242e-08
1.1675,-6.076331066689306e-08
1.17,-6.064626311536778e-08
1.1725,-6.0505640307239725e-08
1.175,-6.0344453483974869e-08
1.1775,-6.0168577807767149e-08
1.18,-5.9973010679169427e-08
1.1825,-5.9758018363549675e-08
1.185,-5.9523874361897206e-08
1.1875,-5.9274490330599761e-08
1.19,-5.9003929751841761e-08
1.1925,-5.8718933255453497e-08
1.195,-5.8417108246408893e-08
1.1975,-5.8104829311082834e-08
1.2,-5.7776692636752574e-08
1.2025,-5.7433879776150882e-08
1.205,-5.7079324097596329e-08
1.2075,-5.6710964932982776e-08
1.21,-5.633527259586391e-08
1.2125,-5.5946683054613852e-08
1.215,-5.5549331193080882e-08
1.2175,-5.5143404715236271e-08
1.22,-5.472658645717541e-08
1.2225,-5.4308685691189952e-08
1.225,-5.3875077907169797e-08
1.2275,-5.3434846928770322e-08
1.23,-5.2988218816664911e-08
1.2325,-5.2535953622698372e-08
1.235,-5.2080791293406076e-08
1.2375,-5.1617547785780333e-08
1.24,-5.1152582217692471e-08
1.2425,-5.067687755804203e-08
1.245,-5.0196915929305541e-08
1.2475,-4.9713059434256533e-08
1.25,-4.922823442301569e-08
1.2525,-4.873691772155596e-08
1.255,-4.8239239111891047e-08
1.2575,-4.7738009033459859e-08
1.26,-4.7230771026038571e-08
1.2625,-4.6723427814548401e-08
1.265,-4.6213188688707083e-08
1.2675,-4.5693783359181402e-08
1.27,-4.5177684256848806e-08
1.2725,-4.4656096776931723e-08
1.275,-4.4129283744819356e-08
1.2775,-4.360340834726463e-08
1.28,-4.3075985177272091e-08
1.2825,-4.2543567420605994e-08
1.285,-4.2012932911619367e-08
1.2875,-4.1474881486760411e-08
1.29,-4.0938590445331465e-08
1.2925,-4.0398205903366632e-08
1.295,-3.9854230462368692e-08
1.2975,-3.9307287512863816e-08
1.3,-3.8760697240266545e-08
1.3025,-3.8211156030636554e-08
1.305,-3.7662078151686874e-08
1.3075,-3.7113753235279642e-08
1.31,-3.6566780211102112e-08
1.3125,-3.6020916997728872e-08
1.315,-3.547432331108642e-08
1.3175,-3.4926979624332284e-08
1.32,-3.4381852821860176e-08
1.3225,-3.3839992221831697e-08
1.325,-3.3307429967592711e-08
1.3275,-3.2775801947515263e-08
1.33,-3.2248427404386551e-08
1.3325,-3.172247920228444e-08
1.335,-3.1204239985663454e-08
1.3375,-3.0688721941065382e-08
1.34,-3.0178924148421048e-08
1.3425,-2.967476966287087e-08
1.345,-2.9179881012396419e-08
