Physical Time (s),aphi_alt_vol Monitor (kg-m/s^3): cv1,aphi_alt_vol Monitor (kg-m/s^3): cv2,aphi_alt_vol Monitor (kg-m/s^3): cv3,aphi_alt_vol Monitor (kg-m/s^3): cv4,aphi_alt_vol Monitor (kg-m/s^3): cv5,aphi_alt_vol Monitor (kg-m/s^3): cv6,aphi_alt_vol Monitor (kg-m/s^3): cv7
0.205,5.3886525386852214e-05,0.00010463066543466213,0.00011460480597659081,0.00011506005149447703,0.00011526075189007654,0.00011541133272692129,0.00011547880761845159
0.2075,5.3739429858411204e-05,0.00010440451434349202,0.00011482962521152713,0.00011528985385015513,0.00011549215331779822,0.00011564378324196303,0.00011571181233684504
0.21,5.3600854434285235e-05,0.00010416816479040593,0.00011505246861389997,0.00011551783361450921,0.00011572178333226089,0.00011587455059645262,0.00011594328961538865
0.2125,5.3469751637764676e-05,0.00010392171615989178,0.00011527311073479204,0.0001157436957047037,0.00011594927429785266,0.00011610312026499201,0.00011617243264089956
0.215,5.3345392233000303e-05,0.00010366536724627242,0.00011549177376512951,0.00011596770770444994,0.00011617493620477861,0.00011632988746778514,0.00011639980348801378
0.2175,5.3226962526495168e-05,0.00010339889494354879,0.00011570840418895116,0.00011618979725446315,0.00011639867503130804,0.00011655471395603747,0.00011662517343994283
0.22,5.3113863587282703e-05,0.00010312204294062928,0.00011592322533629973,0.00011641024697178191,0.00011662082935019109,0.00011677805179326886,0.00011684921497620206
0.2225,5.3005400676976052e-05,0.00010283416031910859,0.00011613622124755553,0.00011662905003419739,0.00011684139780703338,0.00011699991162706859,0.00011707195831914019
0.225,5.2900880441429227e-05,0.00010253436356888931,0.00011634726057942294,0.00011684606423103255,0.00011706022366969031,0.00011722010878949104,0.00011729315874109234
0.2275,5.2799681841836559e-05,0.00010222166329258977,0.00011655620026666294,0.0001170611398417905,0.00011727714711895663,0.00011743846558454605,0.00011751259770510185
0.23,5.2701169037276468e-05,0.0001018948961386443,0.00011676288815096509,0.00011727411908786373,0.00011749199964201217,0.00011765479525932378,0.00011773005101915633
0.2325,5.2604659180485241e-05,0.00010155272732431219,0.00011696719910603444,0.00011748487471484917,0.00011770464373649221,0.00011786894228730286,0.00011794533280971213
0.235,5.2509494327493118e-05,0.00010119377208175943,0.00011716905737054709,0.00011769333320780847,0.00011791499776978586,0.00011808080941190588,0.00011815832473618354
