Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.1875,1.4280592804394366e-11,9.1617470198137425e-13,-2.3246440861448084e-12,-2.3379776767427023e-12,-2.341889555917705e-12,-2.3570146876977355e-12,-2.4052943887918601e-12
0.19,1.4675842429691039e-11,1.3290918753235361e-12,-1.748081279926932e-12,-1.7695124128914281e-12,-1.7780352710502966e-12,-1.7922768690291796e-12,-1.8366786592192242e-12
0.1925,1.5318305550019786e-11,2.0396908118748767e-12,-8.6272778650076485e-13,-9.0130485445709166e-13,-9.1819160315514662e-13,-9.2903756004357656e-13,-9.8656194563423292e-13
0.195,1.6211914096714265e-11,2.9959894401860636e-12,2.5114008605128871e-13,1.8605126979683405e-13,1.5656712231532142e-13,1.4926805560418451e-13,7.4158068114943045e-14
0.1975,1.7338056086558516e-11,4.1314209274931917e-12,1.5067652975738051e-12,1.4078235312550505e-12,1.3621588678241838e-12,1.356240923477194e-12,1.2709281395668617e-12
0.2,1.8656169980987615e-11,5.3700641706186495e-12,2.8164353029530164e-12,2.679877842910994e-12,2.6160690858219592e-12,2.6083371708108251e-12,2.5265815731445018e-12
0.2025,2.0102424074609375e-11,6.6253298513892203e-12,4.0882687187400583e-12,3.9143110959367838e-12,3.8322957742813926e-12,3.8204088682454043e-12,3.7552676798633772e-12
0.205,2.158782350182087e-11,7.7959041744178182e-12,5.2197383369099758e-12,5.0120279737619409e-12,4.9130750237973192e-12,4.8969588757107197e-12,4.855446340569417e-12
0.2075,2.299864076866347e-11,8.7632063446939709e-12,6.0931961393923894e-12,5.8578156306506538e-12,5.7434201009253665e-12,5.7252584854611041e-12,5.7067988154867549e-12
0.21,2.420388398846077e-11,9.396736807238809e-12,6.5803571527717441e-12,6.3248348108410143e-12,6.1957266673290796e-12,6.178279279179861e-12,6.1769811885683814e-12
0.2125,2.5071741296023592e-11,9.5688343570623419e-12,6.5569675046308409e-12,6.2895066091929796e-12,6.1454000586250737e-12,6.1293959977776147e-12,6.1383349659550759e-12
0.215,2.549286529769543e-11,9.1777133547322041e-12,5.9262806724307528e-12,5.655145592220097e-12,5.4954474538518935e-12,5.4775498905808032e-12,5.492437693523521e-12
0.2175,2.5404243277256502e-11,8.172187113402024e-12,4.6445996789097132e-12,4.3774552287696493e-12,4.2025624412666934e-12,4.1753423000873532e-12,4.1955817252569571e-12
0.22,2.4806778930869406e-11,6.5703874868814749e-12,2.7408335750151988e-12,2.4839122860883211e-12,2.2963084405601287e-12,2.2506779230864443e-12,2.2774746076285615e-12
0.2225,2.3770888944005241e-11,4.4664841786303816e-12,3.2366022997513872e-13,8.0842450068695156e-14,-1.1475440434646698e-13,-1.8563329608082752e-13,-1.5265281430383027e-13
0.225,2.2428046214941929e-11,2.02211232480233e-12,-2.4275408454811083e-12,-2.6554803149216505e-12,-2.853161283151551e-12,-2.9504700553705873e-12,-2.9158101441351872e-12
0.2275,2.0950533881862589e-11,-5.5583069915414932e-13,-5.2867208819897998e-12,-5.5024705180200092e-12,-5.6969554501223005e-12,-5.8151548813365641e-12,-5.7873984618105931e-12
0.23,1.9525486115878473e-11,-3.0450150156202943e-12,-8.0140634272760253e-12,-8.2237315399718429e-12,-8.4121484817901061e-12,-8.5408439834484e-12,-8.5298188059039958e-12
0.2325,1.8330883873125257e-11,-5.2362380339481862e-12,-1.038813815116643e-11,-1.0601028196891042e-11,-1.078398327395732e-11,-1.0911724994815453e-11,-1.0924369137195115e-11
0.235,1.7518057333381346e-11,-6.9549226733015413e-12,-1.2230468602869947e-11,-1.2458864002621116e-11,-1.2640581046080169e-11,-1.275868977882093e-11,-1.2795826519097103e-11
