Physical Time (s),FreestreamTemperature Monitor (K)
2.13,299.99999999998988
2.1325,299.99999999998971
2.135,299.99999999998954
2.1375,299.99999999998943
2.14,299.99999999998937
2.1425,299.99999999998931
2.145,299.9999999999892
2.1475,299.99999999998914
2.15,299.99999999998909
2.1525,299.99999999998903
2.155,299.99999999998897
2.1575,299.99999999998903
2.16,299.99999999998909
2.1625,299.99999999998914
2.165,299.9999999999892
2.1675,299.99999999998926
2.17,299.99999999998931
2.1725,299.99999999998937
2.175,299.99999999998937
2.1775,299.99999999998926
2.18,299.99999999998931
2.1825,299.99999999998943
2.185,299.99999999998948
2.1875,299.99999999998954
2.19,299.99999999998971
2.1925,299.99999999998988
2.195,299.99999999999
2.1975,299.99999999999017
2.2,299.99999999999028
2.2025,299.99999999999039
2.205,299.99999999999062
2.2075,299.99999999999079
2.21,299.99999999999102
2.2125,299.99999999999113
2.215,299.99999999999125
2.2175,299.99999999999142
2.22,299.99999999999153
2.2225,299.99999999999176
2.225,299.99999999999199
2.2275,299.99999999999216
2.23,299.99999999999238
2.2325,299.99999999999255
2.235,299.99999999999272
2.2375,299.99999999999289
2.24,299.99999999999312
2.2425,299.99999999999335
2.245,299.99999999999358
2.2475,299.9999999999938
2.25,299.99999999999397
2.2525,299.9999999999942
2.255,299.99999999999443
2.2575,299.99999999999471
2.26,299.99999999999488
2.2625,299.99999999999505
2.265,299.99999999999517
2.2675,299.99999999999534
2.27,299.99999999999551
2.2725,299.99999999999568
2.275,299.99999999999591
2.2775,299.99999999999602
2.28,299.99999999999619
2.2825,299.99999999999631
2.285,299.99999999999642
2.2875,299.99999999999653
2.29,299.99999999999676
2.2925,299.99999999999693
2.295,299.9999999999971
2.2975,299.99999999999727
2.3,299.99999999999739
2.3025,299.9999999999975
2.305,299.99999999999761
2.3075,299.99999999999773
2.31,299.99999999999778
2.3125,299.9999999999979
2.315,299.99999999999801
2.3175,299.99999999999812
2.32,299.99999999999818
2.3225,299.99999999999829
2.325,299.99999999999835
2.3275,299.99999999999835
2.33,299.99999999999835
2.3325,299.99999999999835
2.335,299.99999999999835
2.3375,299.99999999999835
2.34,299.99999999999829
2.3425,299.99999999999824
2.345,299.99999999999824
2.3475,299.99999999999812
2.35,299.99999999999807
2.3525,299.99999999999801
2.355,299.9999999999979
2.3575,299.99999999999784
2.36,299.99999999999778
2.3625,299.99999999999773
