Physical Time (s),ep_left Monitor (kg-m/s^3)
1.4175,2.0184236864681985e-07
1.42,2.1066169627061164e-07
1.4225,2.19144216898961e-07
1.425,2.2724342986684842e-07
1.4275,2.3492408815231539e-07
1.43,2.4215960340784513e-07
1.4325,2.4893043215987384e-07
1.435,2.552230265438879e-07
1.4375,2.6102919978783515e-07
1.44,2.6635162507730469e-07
1.4425,2.7120062177234505e-07
1.445,2.7559108863026411e-07
1.4475,2.7953977628577961e-07
1.45,2.8306447185909561e-07
1.4525,2.8618505179249566e-07
1.455,2.8892307856505766e-07
1.4575,2.9130062262288304e-07
1.46,2.9333773801087464e-07
1.4625,2.9505502348064175e-07
1.465,2.9647540743957503e-07
1.4675,2.9762653757749979e-07
1.47,2.9854071788099302e-07
1.4725,2.9924961849918285e-07
1.475,2.997846629665561e-07
1.4775,3.0017714285773996e-07
1.48,3.0045683376412963e-07
1.4825,3.0065191699424547e-07
1.485,3.007893146697169e-07
1.4875,3.0089743578856926e-07
1.49,3.0100515969489321e-07
1.4925,3.0114017653913998e-07
1.495,3.0132944720193177e-07
1.4975,3.0159754085388552e-07
1.5,3.0196569001360841e-07
1.5025,3.0245074131505925e-07
1.505,3.0306409574828229e-07
1.5075,3.0380988593736533e-07
1.51,3.0468648297872958e-07
1.5125,3.0568537495284296e-07
1.515,3.0679235926406452e-07
1.5175,3.0798735112650661e-07
1.52,3.092458938500708e-07
1.5225,3.1054012405686153e-07
1.525,3.1183795920529995e-07
1.5275,3.1310135199827073e-07
1.53,3.1428683324657906e-07
1.5325,3.1534858910632714e-07
1.535,3.1624329073567284e-07
1.5375,3.169326526540158e-07
1.54,3.1738057161731698e-07
1.5425,3.1755226161427028e-07
1.545,3.1741509742075366e-07
1.5475,3.1694082453191435e-07
1.55,3.1611170738171618e-07
1.5525,3.149217041165789e-07
1.555,3.1337747815988427e-07
1.5575,3.1149702058973377e-07
1.56,3.0931880477284607e-07
1.5625,3.0687103545497633e-07
1.565,3.0419272879763073e-07
1.5675,3.0132854999686989e-07
1.57,2.9832172532364271e-07
1.5725,2.9521198039054465e-07
1.575,2.9203440436883514e-07
1.5775,2.8883559993450541e-07
1.58,2.8565794056111515e-07
1.5825,2.8254453534036381e-07
1.585,2.7953866864734277e-07
1.5875,2.7667987583463507e-07
1.59,2.740014248834988e-07
1.5925,2.7152627734504971e-07
1.595,2.6926399991010854e-07
1.5975,2.6721312624627687e-07
1.6,2.6536468560487739e-07
1.6025,2.6370368180981985e-07
1.605,2.622085639188544e-07
1.6075,2.6085008566986012e-07
1.61,2.5959068919793447e-07
1.6125,2.5838718675696167e-07
1.615,2.5719207387711341e-07
1.6175,2.5595991941980186e-07
1.62,2.5464017996438526e-07
1.6225,2.5317931287090381e-07
1.625,2.5152295479216203e-07
1.6275,2.4961988249873197e-07
1.63,2.4742333801729071e-07
1.6325,2.4489115358444788e-07
1.635,2.4198445325185504e-07
1.6375,2.3866892592428836e-07
1.64,2.3491695862796745e-07
1.6425,2.3071001148944737e-07
1.645,2.2603789226587497e-07
1.6475,2.2089938906465337e-07
1.65,2.1529794048211937e-07
1.6525,2.0924352096815167e-07
1.655,2.0275572819611654e-07
1.6575,1.9586664155688563e-07
1.66,1.886224665791303e-07
1.6625,1.8107907160877888e-07
1.665,1.7329904406201993e-07
1.6675,1.6535150172428189e-07
1.67,1.5731139750646708e-07
1.6725,1.492617122749039e-07
1.675,1.4129171688090057e-07
1.6775,1.3349257111026762e-07
1.68,1.2595133218662412e-07
1.6825,1.1875180221196131e-07
1.685,1.1197687528116231e-07
1.6875,1.0571076488807114e-07
1.69,1.0003839916670088e-07
1.6925,9.5042003752904236e-08
1.695,9.0798115071992186e-08
1.6975,8.7372547888931348e-08
1.7,8.4824738660818189e-08
1.7025,8.3201991672708749e-08
1.705,8.2538161016111251e-08
1.7075,8.2852720372567029e-08
1.71,8.415037375327528e-08
1.7125,8.6431008221701084e-08
1.715,8.9674136842265558e-08
1.7175,9.3853327436543558e-08
1.72,9.8942483408520621e-08
1.7225,1.0491470531509795e-07
1.725,1.1173261745451449e-07
1.7275,1.1935162172886973e-07
1.73,1.2768393605402683e-07
1.7325,1.3670415148309838e-07
1.735,1.4633533648202151e-07
1.7375,1.5649794125082374e-07
1.74,1.6711663114302139e-07
1.7425,1.7812010969170956e-07
1.745,1.8943356191777356e-07
1.7475,2.0097172383758843e-07
1.75,2.1264764304393223e-07
1.7525,2.2439113072180506e-07
1.755,2.3614790264260959e-07
1.7575,2.4786606239357271e-07
1.76,2.5947784820667495e-07
1.7625,2.7091507651022827e-07
1.765,2.8211311106707997e-07
1.7675,2.9301369337641165e-07
1.77,3.0356559006356135e-07
1.7725,3.1372151133349779e-07
1.775,3.2343669004276675e-07
1.7775,3.3266793987436391e-07
1.78,3.4137847714637728e-07
1.7825,3.4954535762608911e-07
1.785,3.5715048336961648e-07
1.7875,3.6418454181160291e-07
1.79,3.7064747277833433e-07
1.7925,3.7653809843817802e-07
1.795,3.8185459472433285e-07
1.7975,3.865928469047003e-07
1.8,3.9075018791594053e-07
1.8025,3.9432803794139267e-07
1.805,3.9733080672825525e-07
1.8075,3.9976227102741894e-07
1.81,4.0162529260850354e-07
1.8125,4.0292535248292646e-07
1.815,4.0367103331989205e-07
1.8175,4.0387876215577751e-07
1.82,4.0357245587622887e-07
1.8225,4.0277891305114632e-07
1.825,4.015238259651327e-07
1.8275,3.9983088209531871e-07
1.83,3.9772353134239225e-07
1.8325,3.9522564579419414e-07
1.835,3.923616805520487e-07
1.8375,3.8915596948918293e-07
1.84,3.8563391167147387e-07
1.8425,3.8182181271083409e-07
1.845,3.7774587042074673e-07
1.8475,3.7343275358634279e-07
1.85,3.6891207696704296e-07
1.8525,3.642157506963559e-07
1.855,3.5937518759768825e-07
1.8575,3.5441359397766239e-07
1.86,3.4935470964115404e-07
1.8625,3.4421936515188017e-07
1.865,3.390247500351065e-07
