Physical Time (s),anabla_vol Monitor (kg-m/s^3): cv1,anabla_vol Monitor (kg-m/s^3): cv2,anabla_vol Monitor (kg-m/s^3): cv3,anabla_vol Monitor (kg-m/s^3): cv4,anabla_vol Monitor (kg-m/s^3): cv5,anabla_vol Monitor (kg-m/s^3): cv6,anabla_vol Monitor (kg-m/s^3): cv7
0.185,1.520257295987689e-08,1.7415122149161255e-08,1.7454252085653291e-08,1.7454252691100888e-08,1.7454252742840602e-08,1.7454252754750143e-08,1.7454252755892754e-08
0.1875,1.4981288418697789e-08,1.7229522361758728e-08,1.7273535427554505e-08,1.7273536057545014e-08,1.7273536110037687e-08,1.7273536122114865e-08,1.7273536123265245e-08
0.19,1.4767596439945039e-08,1.7051841083688022e-08,1.7101124184061274e-08,1.7101124840051293e-08,1.7101124893305492e-08,1.7101124905553784e-08,1.7101124906705322e-08
0.1925,1.4561342351148027e-08,1.6881699313245548e-08,1.6936634093643503e-08,1.6936634777203403e-08,1.6936634831227604e-08,1.693663484364967e-08,1.6936634844797168e-08
0.195,1.4362409005082953e-08,1.6718766827174601e-08,1.6779723796345404e-08,1.6779724509173051e-08,1.6779724563975762e-08,1.6779724576573438e-08,1.6779724577713789e-08
0.1975,1.4170731897908926e-08,1.6562766060426496e-08,1.6630113265681112e-08,1.6630114009610066e-08,1.6630114065199915e-08,1.6630114077974274e-08,1.6630114079106641e-08
0.2,1.3986091843345075e-08,1.6413259799586641e-08,1.6487375257108531e-08,1.6487376034124123e-08,1.6487376090509717e-08,1.6487376103461039e-08,1.648737610458663e-08
0.2025,1.3807834073191475e-08,1.6269374949846013e-08,1.635065051583558e-08,1.635065132810794e-08,1.6350651385297159e-08,1.6350651398425134e-08,1.6350651399546639e-08
0.205,1.3635134307670903e-08,1.6130079719277041e-08,1.621891490696037e-08,1.6218915756883251e-08,1.6218915814883663e-08,1.6218915828188136e-08,1.6218915829308969e-08
0.2075,1.3467537983405483e-08,1.599471938512739e-08,1.6091517540543814e-08,1.6091518430756195e-08,1.609151848957545e-08,1.6091518503056862e-08,1.6091518504180782e-08
0.21,1.3304921761446793e-08,1.5862983192967227e-08,1.5968142625844124e-08,1.5968143559243674e-08,1.5968143618889547e-08,1.5968143632548674e-08,1.5968143633679619e-08
0.2125,1.3147281846895283e-08,1.5734692848183648e-08,1.5848600600407986e-08,1.5848601580168673e-08,1.5848601640650488e-08,1.5848601654488121e-08,1.5848601655629842e-08
0.215,1.2994535337019122e-08,1.5609609973380405e-08,1.5732633933928421e-08,1.573263496353031e-08,1.5732635024858748e-08,1.5732635038875747e-08,1.5732635040031223e-08
0.2175,1.2846651102847833e-08,1.5487568392995197e-08,1.5620051150377667e-08,1.5620052233637578e-08,1.5620052295824368e-08,1.5620052310021719e-08,1.5620052311192477e-08
0.22,1.2703562210180445e-08,1.536838863262231e-08,1.5510643411160875e-08,1.5510644552271154e-08,1.5510644615329415e-08,1.5510644629708895e-08,1.5510644630894678e-08
0.2225,1.2565180970381462e-08,1.525189598701875e-08,1.5404202396859376e-08,1.5404203600431026e-08,1.5404203664375456e-08,1.5404203678940234e-08,1.5404203680139053e-08
0.225,1.2431457287006441e-08,1.5137976227116428e-08,1.5300578801315906e-08,1.5300580072426073e-08,1.5300580137273019e-08,1.5300580152027939e-08,1.5300580153236606e-08
0.2275,1.2302381099478607e-08,1.5026576482564183e-08,1.5199687185856833e-08,1.5199688530092697e-08,1.519968859586019e-08,1.5199688610811694e-08,1.519968861202679e-08
0.23,1.2177791280496216e-08,1.491751492724778e-08,1.51013163371395e-08,1.5101317760671548e-08,1.5101317827379175e-08,1.5101317842534821e-08,1.5101317843753973e-08
0.2325,1.2057336258811937e-08,1.4810441153056321e-08,1.5005089567851076e-08,1.5005091077538687e-08,1.5005091145207408e-08,1.5005091160574908e-08,1.5005091161797428e-08
0.235,1.1940646369047327e-08,1.4705003413221441e-08,1.4910633741580627e-08,1.4910635345074105e-08,1.4910635413726089e-08,1.4910635429312336e-08,1.4910635430539303e-08
0.2375,1.1827404503271717e-08,1.4600919111877925e-08,1.4817649021629059e-08,1.4817650727504361e-08,1.4817650797162824e-08,1.4817650812973223e-08,1.4817650814207079e-08
0.24,1.1710149060905542e-08,1.4490796500646569e-08,1.4718730116640139e-08,1.4718731936117594e-08,1.4718732006791604e-08,1.471873202282507e-08,1.4718732024069907e-08
0.2425,1.1596456685409867e-08,1.438226599822014e-08,1.4621496190068904e-08,1.4621498134753662e-08,1.4621498206463999e-08,1.4621498222721312e-08,1.462149822398016e-08
0.245,1.1483133869684154e-08,1.4272204256418784e-08,1.4522812243838247e-08,1.45228143273309e-08,1.4522814400094389e-08,1.4522814416575231e-08,1.4522814417850438e-08
0.2475,1.1373186850706471e-08,1.4163690423688985e-08,1.442575465682308e-08,1.4425756893962637e-08,1.4425756967804016e-08,1.4425756984509627e-08,1.4425756985802242e-08
0.25,1.1269672208271069e-08,1.4059857470782109e-08,1.4333460859078718e-08,1.4333463265411306e-08,1.4333463340368514e-08,1.4333463357303042e-08,1.4333463358612637e-08
0.2525,1.1172478815912377e-08,1.3960674124262344e-08,1.4245907248819994e-08,1.4245909841006935e-08,1.4245909917120554e-08,1.4245909934289507e-08,1.4245909935612693e-08
