Physical Time (s),enth_flux_enthalpy_left Monitor (kg-m/s^3)
1.275,-1.1958125786741544e-05
1.2775,-1.1104918151538935e-05
1.28,-1.0356600998899192e-05
1.2825,-9.723647151275583e-06
1.285,-9.2151732746037334e-06
1.2875,-8.8387410754257558e-06
1.29,-8.6001492614933754e-06
1.2925,-8.5039153063653281e-06
1.295,-8.5533013757279278e-06
1.2975,-8.7501846843865338e-06
1.3,-9.0949950487835072e-06
1.3025,-9.5863767941338809e-06
1.305,-1.022093241524095e-05
1.3075,-1.0993300234811298e-05
1.31,-1.1896335414507013e-05
1.3125,-1.2921462549671346e-05
1.315,-1.4058706613859003e-05
1.3175,-1.5296854147790813e-05
1.32,-1.6623437214070449e-05
1.3225,-1.8024935590279961e-05
1.325,-1.9487198830038088e-05
1.3275,-2.0995276697365474e-05
1.33,-2.2533650446611492e-05
1.3325,-2.4086747808080653e-05
1.335,-2.5635940792255722e-05
1.3375,-2.716771880644219e-05
1.34,-2.866733384012561e-05
1.3425,-3.0119768946840088e-05
1.345,-3.1511878415234882e-05
1.3475,-3.2829793031652221e-05
1.35,-3.4062390535950021e-05
1.3525,-3.5196122497167452e-05
1.355,-3.622044536102676e-05
1.3575,-3.7126895406880934e-05
1.36,-3.7908679412945564e-05
1.3625,-3.8560703234058778e-05
1.365,-3.907942172991802e-05
1.3675,-3.946203063484489e-05
1.37,-3.9706719379694258e-05
1.3725,-3.9812450928451186e-05
1.375,-3.9779039961186053e-05
1.3775,-3.9607194525306435e-05
1.38,-3.9298390686608311e-05
1.3825,-3.8854766335667664e-05
1.385,-3.8279098255005698e-05
1.3875,-3.7574835492684317e-05
1.39,-3.6746109128481795e-05
1.3925,-3.579789671463642e-05
1.395,-3.4736108865598544e-05
1.3975,-3.3567516499425043e-05
1.4,-3.2300463750854835e-05
1.4025,-3.094298992437464e-05
1.405,-2.950464976586201e-05
1.4075,-2.7997067994614811e-05
1.41,-2.6432243356855667e-05
1.4125,-2.4823367152706827e-05
1.415,-2.3184505908025633e-05
1.4175,-2.1530167007665393e-05
1.42,-1.9876510325198397e-05
1.4225,-1.8240272069261585e-05
1.425,-1.6638441546749032e-05
1.4275,-1.5087574196236216e-05
1.43,-1.3604400867400854e-05
1.4325,-1.2204946750077932e-05
1.435,-1.0903924262399565e-05
1.4375,-9.7144257185986185e-06
1.44,-8.6487983895220671e-06
1.4425,-7.7178059239741705e-06
1.445,-6.9305913538879553e-06
1.4475,-6.2945807079985725e-06
1.45,-5.8156308481578835e-06
1.4525,-5.4982703978579093e-06
1.455,-5.3455315475431252e-06
1.4575,-5.3586110010652624e-06
1.46,-5.5363989696581624e-06
