Physical Time (s),aphi_alt_flux_right Monitor (kg-m/s^3): right_cv1,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv2,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv3,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv4,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv5,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv6,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.27,0.00012323508068943674,0.00034126184993408094,5.9520608367578962e-06,1.5204709381083791e-06,7.2763436124284959e-07,2.1531196816224676e-07,3.4011907889410926e-08
0.2725,0.00012321676719128101,0.00034484521572858363,6.1322319387568578e-06,1.5326857825360241e-06,7.3363783314272121e-07,2.1680442884563532e-07,3.4712535916620723e-08
0.275,0.00012321561545816661,0.00034752069191255268,6.3206124153898248e-06,1.5450115084329275e-06,7.3968771225066816e-07,2.1825679904167773e-07,3.537357892279767e-08
0.2775,0.00012322853082041041,0.00034927761620207574,6.5169201057334846e-06,1.5574207584859761e-06,7.4577374724991832e-07,2.1969052301307053e-07,3.5995451947244172e-08
0.28,0.00012325126519342359,0.00035011387481252238,6.7256723001358392e-06,1.570051186492567e-06,7.5192514111292896e-07,2.2111619482878092e-07,3.6576704195556107e-08
0.2825,0.0001232775164429627,0.00035004647137281244,6.9467288496987521e-06,1.5828829829953891e-06,7.5813325308222193e-07,2.2253887019601789e-07,3.7124818906095461e-08
0.285,0.0001233030420383324,0.00034909451646825612,7.1849681308419737e-06,1.5960479625550645e-06,7.6442830685903945e-07,2.2396714162536148e-07,3.764850372786224e-08
0.2875,0.00012332440557082317,0.00034730829343411083,7.4385611371155135e-06,1.609479428563223e-06,7.7079570634069474e-07,2.2540449780455493e-07,3.8149097696445459e-08
0.29,0.0001233405858853617,0.00034474611678940486,7.7077443445194038e-06,1.6231705999044607e-06,7.7723606016753665e-07,2.2685473553074329e-07,3.8631084029501573e-08
0.2925,0.00012335031381532018,0.00034148895966403274,7.9884773027002615e-06,1.6370083895029593e-06,7.8372401139462479e-07,2.2831809951397468e-07,3.9106739413761315e-08
0.295,0.00012335348682050427,0.0003376089728822235,8.2817655309591422e-06,1.6510178465352716e-06,7.9027409049047666e-07,2.297967676016344e-07,3.9583038109880353e-08
0.2975,0.00012334769343409912,0.00033316751243106209,8.5914006403704171e-06,1.6652704225355934e-06,7.9689364775601807e-07,2.3127339976762692e-07,4.0036730160663717e-08
0.3,0.00012332830098220527,0.00032821193416293561,8.9252556532535024e-06,1.6799543399158206e-06,8.0364526687270546e-07,2.3277089352426389e-07,4.0472993267509716e-08
0.3025,0.00012328809307369775,0.00032281634408300142,9.283636516016719e-06,1.6950194673979482e-06,8.1048711887835504e-07,2.3425618509337867e-07,4.0865239858671149e-08
0.305,0.00012322445971648489,0.00031705541106081734,9.6650115033491594e-06,1.7103964290797065e-06,8.1739777324796632e-07,2.3572352165670309e-07,4.1216409516273561e-08
0.3075,0.00012313817223511938,0.00031098958753976349,1.0072483625171633e-05,1.7261259062298628e-06,8.2439966974231052e-07,2.3719381633437006e-07,4.1539509769757952e-08
0.31,0.00012302913436528607,0.0003046808753650343,1.0506079274060873e-05,1.7421705808133164e-06,8.3146405190410003e-07,2.386419337747481e-07,4.1834506445033935e-08
0.3125,0.0001228977069869625,0.00029818731464002833,1.0964489944296556e-05,1.7584932694991637e-06,8.3858745249502672e-07,2.4007032100942542e-07,4.2118136386476944e-08
0.315,0.00012274591397271891,0.00029155258529166771,1.1451216114851762e-05,1.7751328134392637e-06,8.4577881084157511e-07,2.414904004478882e-07,4.2395674134582868e-08
0.3175,0.00012257474660603055,0.00028482187749568277,1.1965478487799568e-05,1.7920598566174566e-06,8.530432008077837e-07,2.4291782997552442e-07,4.2676569377157967e-08
0.32,0.00012238591562886464,0.0002780429563001962,1.2501677398984666e-05,1.8091578289553959e-06,8.6035609181027978e-07,2.4435637921078869e-07,4.2965167250548969e-08
0.3225,0.00012218251089148518,0.00027123518039015972,1.3067609636361707e-05,1.8265505853973438e-06,8.6774528140844501e-07,2.4582118594012422e-07,4.3269484481714616e-08
0.325,0.00012196405858868582,0.00026442394004275757,1.366690793146939e-05,1.8442759716360174e-06,8.7521940600539305e-07,2.4732072293518901e-07,4.3593946517454892e-08
0.3275,0.0001217302606510214,0.00025763260402559689,1.4302114766275825e-05,1.8623516425442156e-06,8.8278045949646019e-07,2.4886056746613881e-07,4.3944376149331869e-08
0.33,0.00012148152793200672,0.00025088060339236795,1.4975734126427849e-05,1.8807726674979807e-06,8.9040892041381344e-07,2.504242699785343e-07,4.4306176276111528e-08
0.3325,0.00012121878205505618,0.00024418549192488934,1.569079264124875e-05,1.899560954975325e-06,8.9810944998465251e-07,2.5201913405387192e-07,4.4688002240813786e-08
0.335,0.00012094285870113957,0.00023754737511744124,1.6465983172364111e-05,1.9189168276450801e-06,9.058995281100972e-07,2.5362952776230102e-07,4.5074714441959259e-08
0.3375,0.00012065112030953667,0.00023098460087143859,1.7307556052743779e-05,1.9388526965415362e-06,9.1376842702294842e-07,2.5524020157842889e-07,4.5457228697579663e-08
0.34,0.00012034272466149086,0.00022451947926008275,1.8208811949500147e-05,1.9592349898336748e-06,9.2168904138044057e-07,2.568517992667872e-07,4.5831384637171494e-08
0.3425,0.00012002023200349312,0.0002181659359061721,1.9171753143517657e-05,1.9800374657967691e-06,9.2964836769247291e-07,2.5846266397161087e-07,4.6188802524720401e-08
0.345,0.00011968568132039529,0.00021193822779423324,2.01929722853115e-05,2.0011980316411147e-06,9.3763987732121814e-07,2.6007388233800302e-07,4.6530328024418424e-08
0.3475,0.00011934064513657431,0.00020585933813205645,2.1250305040786814e-05,2.0224628977658441e-06,9.4561805817088441e-07,2.6168821777125632e-07,4.6862295741038524e-08
0.35,0.00011898918898137796,0.0001999243710072572,2.2366906060842679e-05,2.0440523394220978e-06,9.5361262937797112e-07,2.633000638023752e-07,4.7175834158754381e-08
0.3525,0.00011863092216920151,0.00019413756599115153,2.3552390157114147e-05,2.066043442132332e-06,9.6164194642934336e-07,2.649195617269004e-07,4.7480503373606431e-08
0.355,0.00011826457533724444,0.00018850527385751113,2.4812862208404596e-05,2.088457465972696e-06,9.6970352525155797e-07,2.6654477743846715e-07,4.7773597079642414e-08
0.3575,0.00011788994739940853,0.00018303410744676573,2.6153702941624781e-05,2.1113155919188104e-06,9.778003992901406e-07,2.6818240425182511e-07,4.8063336562040956e-08
0.36,0.00011750799549195583,0.00017772965813371751,2.7580251229015425e-05,2.1346342168273973e-06,9.8593340612410961e-07,2.6983535478692142e-07,4.8352082581271848e-08
0.3625,0.0001171199287881883,0.00017259596414911479,2.9098066909249654e-05,2.158432306983869e-06,9.9410411876000523e-07,2.7150846011953249e-07,4.8638655397528254e-08
0.365,0.00011672663612373514,0.00016763558791535682,3.07127880682042e-05,2.1827153110762461e-06,1.0023050590684006e-06,2.7319833890126523e-07,4.8931392798003513e-08
0.3675,0.00011632877558315944,0.00016284972328818833,3.2430401450823071e-05,2.2074927237159732e-06,1.0105306955816384e-06,2.749024105734221e-07,4.9229707695181851e-08
0.37,0.00011592699754279702,0.00015823842787942761,3.4257339536386536e-05,2.2327747884321766e-06,1.0187815624450007e-06,2.7662642151286331e-07,4.953535638228338e-08
0.3725,0.00011552249703643776,0.0001537932989648787,3.6239637971110825e-05,2.2588303079072009e-06,1.0270934017612969e-06,2.7837156268307852e-07,4.9846862112240348e-08
0.375,0.00011511333107436278,0.0001495256515457975,3.8318986227857743e-05,2.2851912929616021e-06,1.0353772300583439e-06,2.8011985230341778e-07,5.0153761199247858e-08
0.3775,0.00011470264249456386,0.00014542918989448808,4.052170904665923e-05,2.3120120665388561e-06,1.0436596053199925e-06,2.8188004083599348e-07,5.0466696086391776e-08
0.38,0.000114291703845003,0.00014149989084569499,4.2860834982130197e-05,2.3393373009743809e-06,1.0519379839685723e-06,2.8364595692607687e-07,5.0781513625891588e-08
0.3825,0.00011388058048585634,0.00013773408350130299,4.5349198477200701e-05,2.3671858324537795e-06,1.0602056993523963e-06,2.8541032152896314e-07,5.1094132520868031e-08
