Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.1875,1.0729818931398954e-16,6.0056633655994439e-17,8.6437299526502658e-17,1.4288961823566376e-16,1.7388572087676657e-16,9.6840489444414383e-17,1.3826154337030662e-16
0.19,-5.6909116508043904e-17,-2.5824717651190315e-17,2.8716264780229511e-17,4.8822748056733199e-17,9.3185698197523905e-17,5.5603393126566024e-17,3.4154578913566136e-17
0.1925,-3.3481883148075089e-16,-2.8259097798644446e-16,-2.7913353579629051e-16,-1.8118991198486319e-16,-1.676607365017841e-16,-1.536027522752235e-16,-1.3212422504260617e-16
0.195,2.8258115261136373e-16,2.6143329968778699e-16,3.3908794668186558e-16,4.3015651955833863e-16,4.5255648457373185e-16,4.3642110810251519e-16,4.5737589595951794e-16
0.1975,-3.5476842445349514e-16,-2.5195876504489184e-16,-3.8897194437739176e-16,-3.5524111482335282e-16,-3.6503205454785472e-16,-3.5879773034691612e-16,-3.6522139740989541e-16
0.2,-8.3139134039102819e-17,-1.5246789912917741e-16,-1.8954684986126709e-16,-7.407240412022502e-17,-7.1194492469422133e-17,-7.9792993274030199e-17,-7.9452209199110406e-17
0.2025,-1.4646819794829528e-16,-1.4642623982591164e-16,-1.2114278305981978e-16,-1.1633013034566587e-16,-1.1895406897717301e-16,-1.2356562251885541e-16,-1.0562284479709364e-16
0.205,-2.5670292636251787e-17,-6.1834964493686334e-18,6.3009527441200599e-17,9.4041047507958773e-17,1.1280776436049328e-16,1.1890065200833337e-16,1.0134677429590867e-16
0.2075,-7.4548053502383887e-17,-6.9148146438362519e-17,-4.671632114172144e-17,-1.0271957413784119e-17,-9.9163497030031264e-18,-1.6014754605913661e-17,-4.0604368260399749e-18
0.21,8.0883791073608424e-17,1.4203236198229409e-16,1.3000816973255956e-16,2.0591492643690817e-16,2.0211113716185121e-16,2.0666260146110449e-16,2.145133209586219e-16
0.2125,-2.2088781791354007e-16,-1.7333424056543321e-16,-1.8512630796440124e-16,-2.178634222363973e-16,-2.0056508451266261e-16,-1.983461046693258e-16,-1.8591947266036408e-16
0.215,-9.6539874111532571e-17,-3.3299440240700563e-17,-1.0262185715841452e-16,-1.651029527712636e-16,-1.4208569734813244e-16,-1.4291681721988998e-16,-1.1773102216987791e-16
0.2175,-2.3229101619032522e-16,-2.515079512077915e-16,-2.4270303271488386e-16,-3.2419750179226518e-16,-3.2173135505653653e-16,-3.1787281122525039e-16,-3.3224922733760097e-16
0.22,-6.5851838660913213e-17,-5.7045936112120231e-17,1.8418150381999422e-17,1.3383468460562996e-17,-1.2065734306337635e-17,-1.8805734930063464e-17,-4.9684030817419299e-17
0.2225,-2.9737589403613899e-16,-2.181963797470829e-16,-1.0107442391375002e-16,-6.9569455177050612e-17,-8.5602887941295371e-17,-6.5749678825402793e-17,-7.8327173050564859e-17
0.225,1.1412720872852251e-19,1.7199800789429754e-18,-1.0191770746499069e-16,-9.1994196473364043e-18,-2.1413990089933769e-17,-2.4716859051050309e-18,2.3632363944724593e-17
0.2275,1.6227488790504456e-16,1.2425534194832314e-16,2.2488517462304294e-16,3.1229871023352502e-16,2.7677435026458401e-16,2.711782101004769e-16,2.7270850264574311e-16
0.23,9.8659797425430676e-17,1.3278428401956238e-16,9.3016256003196597e-17,1.5001213427226051e-16,1.6357574888236249e-16,1.815423293577209e-16,1.6945531996496758e-16
0.2325,-4.999805779295314e-17,-1.2783233890150544e-16,-2.2415844634341401e-16,-3.4473979527684614e-16,-3.4483261699581192e-16,-3.0469311571475823e-16,-2.9259509368037598e-16
0.235,-1.1229858792219698e-16,-4.8826509652735599e-17,1.8478724002884834e-17,8.7305181906952219e-17,1.2420838232436305e-16,1.2625877368643554e-16,1.0795196264116003e-16
0.2375,1.4218315049067427e-16,2.3288744617341885e-16,1.7548939076757752e-16,1.6236473615361727e-16,1.8502512997468509e-16,2.2579546818585931e-16,2.0210473848895213e-16
0.24,-2.3064090833077912e-16,-2.6465154411715563e-16,-3.0584264661652546e-16,-2.3689505723567782e-16,-1.8240448727332015e-16,-1.2548695201304114e-16,-1.2596950016929891e-16
0.2425,-3.7071875184837359e-16,-3.2146413595595244e-16,-4.2663866445335022e-16,-2.4898354426516587e-16,-3.1263461461115963e-16,-2.5785738208249304e-16,-2.3621614910406274e-16
0.245,2.8223494836893039e-16,2.980314734931575e-16,2.9292850269051339e-16,3.5723766611205893e-16,3.4738354547464379e-16,4.4900073827160967e-16,4.5829861399823522e-16
0.2475,3.1835546290051069e-16,3.4197329430797883e-16,2.7125890341870356e-16,1.7376821580535203e-16,1.9928252342312103e-16,2.236651782354585e-16,2.1690497764542335e-16
0.25,5.5398756867777769e-17,-1.6135243429957536e-17,1.0723420063594984e-16,2.1760976129334958e-16,2.8440862308990587e-16,3.5637129383400676e-16,3.3834219398764182e-16
