Physical Time (s),phi_alt_vol Monitor (N): cv1,phi_alt_vol Monitor (N): cv2,phi_alt_vol Monitor (N): cv3,phi_alt_vol Monitor (N): cv4,phi_alt_vol Monitor (N): cv5,phi_alt_vol Monitor (N): cv6,phi_alt_vol Monitor (N): cv7
0.1375,6.578719118196628e-05,0.00010514536968032017,0.0001076591011721542,0.0001080028647876786,0.00010815695877155715,0.0001082689682129152,0.00010829905091671637
0.14,6.4958783344484816e-05,0.00010531903210230868,0.00010795178389046161,0.00010829925074556178,0.00010845523930741289,0.0001085691472901718,0.00010860182408135173
0.1425,6.4152695539047695e-05,0.00010547799533939953,0.00010823804462367904,0.00010858927095421107,0.00010874718231915334,0.00010886300230393922,0.00010889828529279283
0.145,6.337457999801387e-05,0.00010562330986768678,0.0001085192675256375,0.00010887424376691522,0.00010903404169047819,0.00010915165045194841,0.00010918929572581989
0.1475,6.2628720017113122e-05,0.00010575576654546211,0.00010879667483619404,0.00010915536190048043,0.00010931698302806479,0.00010943620805539885,0.00010947585734449391
0.15,6.1917850911221919e-05,0.00010587570910604355,0.00010907120438407462,0.00010943355667556558,0.00010959693242973276,0.00010971761092747867,0.00010975889511992241
0.1525,6.1243428231984889e-05,0.00010598310513982442,0.00010934355109295558,0.00010970953350631226,0.00010987460370367457,0.00010999661244761263,0.00011003922587939008
0.155,6.0605970113622965e-05,0.00010607766972652,0.00010961425149704285,0.00010998386181075906,0.00011015059319718891,0.00011027388110965168,0.00011031766614328822
0.1575,6.0005519008934712e-05,0.00010615907857193708,0.00010988378469135142,0.00011025708101789305,0.00011042549293060246,0.00011055012277970817,0.0001105951578264335
0.16,5.9441534722953899e-05,0.0001062266366117252,0.0001101520221358654,0.00011052901225912502,0.00011069906848033477,0.00011082499167704917,0.00011087113477599622
0.1625,5.8913388295844625e-05,0.00010627985047819274,0.00011041898936656033,0.00011079971243954847,0.00011097140522299182,0.00011109862944218282,0.00011114584738901639
0.165,5.8419892047967609e-05,0.00010631795269897015,0.0001106844251801227,0.00011106893386821297,0.00011124226536476155,0.00011137081425126426,0.0001114191138876072
0.1675,5.7959306654937993e-05,0.00010633992749375297,0.0001109479127094595,0.00011133626618016941,0.00011151123955462067,0.00011164112779492182,0.00011169052086774394
0.17,5.752975486814132e-05,0.00010634483206808239,0.00011120908527308772,0.00011160134984318322,0.00011177797074235392,0.00011190920574940738,0.00011195970734535978
0.1725,5.7129363610002623e-05,0.00010633190214527933,0.00011146765323720307,0.00011186389517082879,0.00011204216614686463,0.00011217473938338151,0.00011222633893733624
0.175,5.6756387775303855e-05,0.00010630067034462323,0.00011172346397821384,0.00011212374959666603,0.00011230367195644357,0.00011243756707133445,0.00011249023533593255
0.1775,5.6409209278281182e-05,0.00010625097043226728,0.00011197647813884475,0.00011238087058076979,0.00011256244194523107,0.00011269763405325155,0.00011275131897698121
0.18,5.6086343181927732e-05,0.00010618294774947229,0.00011222677580914055,0.00011263534029549276,0.00011281856008218488,0.00011295502933604618,0.00011300969622581889
0.1825,5.5786351735330522e-05,0.00010609697613136799,0.00011247453233508852,0.00011288734825973957,0.00011307222937858177,0.00011320998491391396,0.00011326565983879521
0.185,5.5507849414380388e-05,0.00010599363386526963,0.00011271999266500525,0.00011313716724895103,0.0001133237492970874,0.00011346285624927071,0.00011351967785273874
0.1875,5.5249414271481762e-05,0.00010587355897289853,0.00011296329942392041,0.00011338494577927706,0.00011357327261006983,0.00011371380647087423,0.00011377193216343231
0.19,5.5009627658094981e-05,0.0001057374618061258,0.00011320450153508605,0.00011363072377968149,0.00011382082842525575,0.0001139628445675143,0.00011402239043686079
0.1925,5.4787033897798619e-05,0.00010558605158089364,0.00011344349769453175,0.00011387436569376265,0.00011406624486054772,0.00011420972698539893,0.00011427066546406764
0.195,5.4580393420918933e-05,0.0001054203358968569,0.00011368043502696491,0.0001141160569274388,0.00011430974320650206,0.00011445474899262228,0.00011451719784152993
0.1975,5.4388354076001085e-05,0.00010524116998802015,0.00011391513368529939,0.0001143555814484325,0.00011455106875410601,0.0001146975787594658,0.00011476150248342841
0.2,5.4209611812090677e-05,0.00010504940606921374,0.00011414745996350008,0.00011459278520609478,0.00011479004387649832,0.00011493799041811338,0.00011500325780746176
0.2025,5.4042785989989601e-05,0.00010484571850731441,0.00011437732777157226,0.00011482757424706679,0.00011502656143112119,0.00011517584743053302,0.00011524226637934471
0.205,5.3886552790605681e-05,0.00010463070615484294,0.00011460484724584683,0.00011506009276382322,0.00011526079315943686,0.00011541137399628584,0.00011547884888781674
0.2075,5.3739457173354378e-05,0.00010440455493208956,0.00011482966640385271,0.0001152898950425734,0.00011549219451023081,0.00011564382443439993,0.00011571185352928255
