Physical Time (s),FreestreamAbsolutePressure Monitor (Pa)
2.025,101325.00022999072
2.0275,101325.00021399227
2.03,101325.00019831065
2.0325,101325.00018318408
2.035,101325.00016885497
2.0375,101325.00015555652
2.04,101325.00014351567
2.0425,101325.00013294695
2.045,101325.00012405845
2.0475,101325.00011703015
2.05,101325.00011203482
2.0525,101325.00010922317
2.055,101325.00010872167
2.0575,101325.00011062948
2.06,101325.00011501387
2.0625,101325.00012191846
2.065,101325.0001313613
2.0675,101325.00014332712
2.07,101325.00015777427
2.0725,101325.00017464311
2.075,101325.00019385287
2.0775,101325.00021530646
2.08,101325.00023887478
2.0825,101325.00026441952
2.085,101325.0002917808
2.0875,101325.00032078008
2.09,101325.00035121803
2.0925,101325.00038287579
2.095,101325.00041552652
2.0975,101325.00044893162
2.1,101325.0004828362
2.1025,101325.00051698188
2.105,101325.00055110993
2.1075,101325.00058496243
2.11,101325.00061827672
2.1125,101325.00065081228
2.115,101325.00068232775
2.1175,101325.00071259026
2.12,101325.00074138444
2.1225,101325.00076848466
2.125,101325.00079369119
2.1275,101325.00081681379
2.13,101325.0008376832
2.1325,101325.000856144
2.135,101325.00087206819
2.1375,101325.00088534776
2.14,101325.00089590046
2.1425,101325.00090367348
2.145,101325.00090863154
2.1475,101325.00091076584
2.15,101325.00091009191
2.1525,101325.00090664858
2.155,101325.0009004946
2.1575,101325.00089171194
2.16,101325.00088034161
2.1625,101325.00086654506
2.165,101325.00085045447
2.1675,101325.00083221564
2.17,101325.00081198578
2.1725,101325.00078993458
2.175,101325.00076623357
2.1775,101325.00074105854
2.18,101325.00071460442
2.1825,101325.00068702645
2.185,101325.00065848907
2.1875,101325.00062915475
2.19,101325.00059917812
2.1925,101325.00056871529
2.195,101325.00053791776
2.1975,101325.00050702252
2.2,101325.00047605134
2.2025,101325.00044512986
2.205,101325.0004143863
2.2075,101325.00038392683
2.21,101325.00035385092
2.2125,101325.00032424935
2.215,101325.00029519522
2.2175,101325.00026675846
2.22,101325.00023900639
2.2225,101325.00021199328
2.225,101325.00018577
2.2275,101325.00016037496
2.23,101325.00013584508
2.2325,101325.00011221248
2.235,101325.00008949399
2.2375,101325.00006770054
2.24,101325.00004683946
2.2425,101325.0000269122
2.245,101325.00000792138
2.2475,101324.99998983908
2.25,101324.99997268629
2.2525,101324.99995647547
2.255,101324.99994122786
2.2575,101324.99992697222
2.26,101324.99991374262
2.2625,101324.99990157963
2.265,101324.99989052299
2.2675,101324.9998806099
2.27,101324.9998718773
2.2725,101324.99986435726
2.275,101324.99985808169
2.2775,101324.99985308293
2.28,101324.99984939501
2.2825,101324.99984705486
2.285,101324.9998461014
2.2875,101324.99984658153
2.29,101324.99984852152
2.2925,101324.99985196287
2.295,101324.99985693184
2.2975,101324.99986344956
2.3,101324.99987152495
2.3025,101324.99988116146
2.305,101324.99989235206
2.3075,101324.99990507896
2.31,101324.99991931384
2.3125,101324.99993501908
2.315,101324.99995214168
2.3175,101324.99997061615
2.32,101324.99999035642
