Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.16,5.7193784192302865e-10,5.2262089380784616e-10,4.1426874263433867e-10,2.2497567889529809e-10,1.3529318784447853e-10,9.4863114246756711e-11,9.2529997914491601e-11
0.1625,6.3646454918014872e-10,5.8843593207847818e-10,4.8620912654409148e-10,3.0440309459141635e-10,2.1666390721899257e-10,1.7461670698303748e-10,1.7103322453099611e-10
0.165,6.9388231046140521e-10,6.4674384304035624e-10,5.4964027812030338e-10,3.7442683286809808e-10,2.8880981772888503e-10,2.4545580577173612e-10,2.4024997206833125e-10
0.1675,7.4167168846833537e-10,6.9486196449296422e-10,6.0158685613072854e-10,4.311541371313673e-10,3.4724286852516493e-10,3.0271699194976841e-10,2.9554005762237087e-10
0.17,7.7890042186486502e-10,7.3179360337081582e-10,6.4099188742315022e-10,4.7303262146249447e-10,3.8996241752717989e-10,3.4421423293714632e-10,3.3477198471901597e-10
0.1725,8.0594376313199925e-10,7.5796108734668556e-10,6.684410176280686e-10,5.0062623092282628e-10,4.1731750312646829e-10,3.7015697655971662e-10,3.5823526236217872e-10
0.175,8.241370205528694e-10,7.748206057148704e-10,6.8569545131436675e-10,5.1609365676017362e-10,4.3150852747003967e-10,3.8268717394932969e-10,3.6816795429455915e-10
0.1775,8.3540966131745009e-10,7.8447285605117748e-10,6.9524615404227683e-10,5.2264668152684218e-10,4.3604419079866193e-10,3.8538039822397694e-10,3.6825956483737102e-10
0.18,8.4197868803966154e-10,7.89311609822517e-10,6.9985732571825455e-10,5.2392628629227983e-10,4.350498547839325e-10,3.8255434705861624e-10,3.6294889792737716e-10
0.1825,8.4614906279239855e-10,7.9177388934410523e-10,7.0223008578201224e-10,5.2348094279063161e-10,4.3264431443784548e-10,3.7861793320786645e-10,3.5675843068239656e-10
0.185,8.5011867232766559e-10,7.9411676543496176e-10,7.0472407993941502e-10,5.2432886992033426e-10,4.3238835574446349e-10,3.7746871267061334e-10,3.5368047009412885e-10
0.1875,8.5565339653095339e-10,7.9816424648782015e-10,7.0923646934725205e-10,5.2881334531934514e-10,4.3708511544287968e-10,3.8229521177032489e-10,3.570646234568306e-10
0.19,8.6403688480664708e-10,8.0524529265426479e-10,7.1711964194987972e-10,5.3845356692836004e-10,4.4853887722035598e-10,3.952500166951794e-10,3.6928267860386149e-10
0.1925,8.7592816211601638e-10,8.1608185789369815e-10,7.2913498292042722e-10,5.5392672573189422e-10,4.6749778945440487e-10,4.173306342524764e-10,3.916206380323286e-10
0.195,8.9195218672774126e-10,8.3115524675621918e-10,7.4545608808075971e-10,5.7488952221506012e-10,4.9334102701717266e-10,4.4785371172762652e-10,4.2347664925021577e-10
0.1975,9.1169111465333821e-10,8.5006206540776412e-10,7.6564392309006929e-10,6.0038721308360815e-10,5.2471212344654116e-10,4.8530174952763945e-10,4.6351745699744881e-10
0.2,9.3425041277369678e-10,8.7187248499749769e-10,7.8867549986106036e-10,6.2876332699813152e-10,5.5936908198235523e-10,5.2702225976893769e-10,5.0910866090490192e-10
