Physical Time (s),phi_alt_flux_top Monitor (kg-m/s^3): top_cv1,phi_alt_flux_top Monitor (kg-m/s^3): top_cv2,phi_alt_flux_top Monitor (kg-m/s^3): top_cv3,phi_alt_flux_top Monitor (kg-m/s^3): top_cv4,phi_alt_flux_top Monitor (kg-m/s^3): top_cv5,phi_alt_flux_top Monitor (kg-m/s^3): top_cv6,phi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.2175,1.0041772027969382e-09,9.2568685678150166e-10,8.4152090936569353e-10,6.6771300128933065e-10,5.9704924378025639e-10,5.8991255754824278e-10,6.0641452686294409e-10
0.22,9.9597070833405564e-10,9.1390806613783311e-10,8.270144770510969e-10,6.4503299428924475e-10,5.6588768646241368e-10,5.5343683599261712e-10,5.7054926144285835e-10
0.2225,9.8205810255774526e-10,8.9571300768455765e-10,8.0546136270481297e-10,6.1384754355526581e-10,5.2434884531251739e-10,5.0443541303411926e-10,5.2036374019908869e-10
0.225,9.6404083276006812e-10,8.7279317695700854e-10,7.7871478671995707e-10,5.7658378475529939e-10,4.7544213528354414e-10,4.4640273065511323e-10,4.5939339887383325e-10
0.2275,9.4411541916460684e-10,8.4748090352306793e-10,7.4928350960809366e-10,5.3638489397470658e-10,4.2298286111330791e-10,3.8376299003159851e-10,3.9224255810087708e-10
0.23,9.2475345568355354e-10,8.2243459539027645e-10,7.2003178433899473e-10,4.9678104721889412e-10,3.7122364130996175e-10,3.2145605155306658e-10,3.241589313780087e-10
0.2325,9.0840971248324978e-10,8.0032941438004762e-10,6.9384587295406488e-10,4.6130392323994459e-10,3.2441075764686668e-10,2.644359291268059e-10,2.6051331803240529e-10
0.235,8.9721750843718978e-10,7.835270056661763e-10,6.7327912411337944e-10,4.3306832833487125e-10,2.8630499936546104e-10,2.1713383750179662e-10,2.0622322944150844e-10
0.2375,8.927010248490734e-10,7.7378361930768352e-10,6.6027204803545273e-10,4.1445483870357813e-10,2.5981439848374011e-10,1.8304041794471837e-10,1.6529640074424177e-10
0.24,8.9583517290305402e-10,7.7220742937776382e-10,6.5602356309881235e-10,4.0696749132757916e-10,2.4685706580716384e-10,1.6455387760601361e-10,1.4065062246842895e-10
0.2425,9.0665959918852737e-10,7.7902984141615653e-10,6.6084594976178408e-10,4.1096728163994415e-10,2.4792750072108402e-10,1.6242041421679456e-10,1.3346698452643669e-10
0.245,9.2448959367088654e-10,7.9360329194767472e-10,6.7407395652429904e-10,4.2561166041791051e-10,2.6208773669928485e-10,1.7573338319869645e-10,1.4316698780393584e-10
0.2475,9.4786664267442472e-10,8.1443598531152422e-10,6.9412657846466534e-10,4.4892035579491609e-10,2.8699844973149471e-10,2.0193254311240477e-10,1.6735248772263505e-10
0.25,9.7478059525290973e-10,8.3939608064002937e-10,7.1870704862359781e-10,4.780311871494752e-10,3.1922330727098549e-10,2.3713045416633579e-10,2.0210398611690597e-10
0.2525,1.003149568500909e-09,8.6615574394032611e-10,7.4523478884980573e-10,5.0971406860198528e-10,3.5485243751809894e-10,2.7682095407243243e-10,2.4270792600944913e-10
0.255,1.0310193101889986e-09,8.9259451714683341e-10,7.7153886621571346e-10,5.4128944552920638e-10,3.9058648759935453e-10,3.1713683979352826e-10,2.8506599214855005e-10
0.2575,1.0568158514032069e-09,9.1691055364505012e-10,7.9562435725942456e-10,5.7024641633173114e-10,4.2331638774996977e-10,3.5437854789972713e-10,3.2512745707043052e-10
0.26,1.0794510526526712e-09,9.3781657508488808e-10,8.1609969846379802e-10,5.9482508061515158e-10,4.5081199742107102e-10,3.8581920188372028e-10,3.598159902899897e-10
0.2625,1.0983237574718782e-09,9.5454401731842812e-10,8.3209755708424049e-10,6.139547312766168e-10,4.7171508078132224e-10,4.0973984211919887e-10,3.870743037570192e-10
0.265,1.113403784287888e-09,9.6698434794940959e-10,8.4351503017605804e-10,6.2752172283434195e-10,4.8581905249295196e-10,4.2573407598777276e-10,4.0618888151887281e-10
0.2675,1.1251464936926667e-09,9.7554385741573634e-10,8.5072149843975621e-10,6.3598886150126693e-10,4.936760234265429e-10,4.3432994406686122e-10,4.1744113631502227e-10
0.27,1.134297492482328e-09,9.8099196276154577e-10,8.5451712997791314e-10,6.4035380333674478e-10,4.9651403265035838e-10,4.3688877941609742e-10,4.2203449240293671e-10
0.2725,1.1417097432571017e-09,9.8428631318817579e-10,8.5594416482722439e-10,6.418964289002507e-10,4.9592789830871428e-10,4.3526206627243498e-10,4.2177427367895911e-10
0.275,1.1483023175872819e-09,9.8647902271457585e-10,8.5615350956189228e-10,6.4202807241917572e-10,4.9366236548388972e-10,4.3151882105998857e-10,4.1878784929857255e-10
0.2775,1.1549207091971975e-09,9.8855894728228054e-10,8.5619645291501478e-10,6.4200571126188249e-10,4.912551712423983e-10,4.2750691339151371e-10,4.1505682809307831e-10
0.28,1.1623275153073636e-09,9.9133562389138407e-10,8.5690785655152205e-10,6.4281111880347487e-10,4.8989876888446116e-10,4.2467467590354586e-10,4.1218660509361304e-10
0.2825,1.1709852434540593e-09,9.9539092111340886e-10,8.5889415517398433e-10,6.4513463488624312e-10,4.90408475770749e-10,4.2401293800336403e-10,4.1132239556958913e-10
0.285,1.1812305669349454e-09,1.00110483644633e-09,8.6252172585091043e-10,6.4936383290827824e-10,4.9321463087005901e-10,4.2604495579578627e-10,4.1311891155065415e-10
0.2875,1.1929872414132502e-09,1.0084894788071281e-09,8.678139007988495e-10,6.5549740016071464e-10,4.9826797800721858e-10,4.3071170611210985e-10,4.1761974824168893e-10
