Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.235,2.8380483845412999e-11,1.0724899688340124e-11,-2.5853480776042464e-11,-3.4073795589428204e-11,-3.529915468226909e-11,-3.5656545219467766e-11,-3.567492400280317e-11
0.2375,2.805585296597636e-11,9.3002052459197831e-12,-2.9830930117571558e-11,-3.8768831189107036e-11,-4.0166042177470209e-11,-4.0631593576523304e-11,-4.0674302662078906e-11
0.24,2.8348530940413117e-11,8.7625112845916765e-12,-3.2429838998859352e-11,-4.1903543612493454e-11,-4.3419073435760807e-11,-4.3970778204547427e-11,-4.4046595713911577e-11
0.2425,2.9265284961351089e-11,9.1828253244038121e-12,-3.3465581108921363e-11,-4.325852587618443e-11,-4.4826109169248842e-11,-4.5424870709205189e-11,-4.5537522547780136e-11
0.245,3.0771609847803723e-11,1.0540428019510029e-11,-3.2926043937966586e-11,-4.2817932894519405e-11,-4.4370611965359197e-11,-4.4969862915930105e-11,-4.5113860995864581e-11
0.2475,3.2784575004616017e-11,1.2717339527030719e-11,-3.0987575539007505e-11,-4.0788677824535445e-11,-4.227158605486502e-11,-4.2829720428569457e-11,-4.2990770339205434e-11
0.25,3.5170978519658509e-11,1.5503843046592008e-11,-2.7996292032955269e-11,-3.7572847133630493e-11,-3.895140940599528e-11,-3.944117696353918e-11,-3.9601060119744677e-11
0.2525,3.7763190197544916e-11,1.8636862633009232e-11,-2.438916285921737e-11,-3.3672381539791943e-11,-3.4933497318442924e-11,-3.5344653651288328e-11,-3.5487350091973036e-11
0.255,4.038922538885559e-11,2.1858463092026778e-11,-2.0597891108887021e-11,-2.957942134600316e-11,-3.0727652992002594e-11,-3.1063844552448233e-11,-3.1179471283143821e-11
0.2575,4.288432683349036e-11,2.4921981979329774e-11,-1.7028452078771308e-11,-2.5749684138186434e-11,-2.680176267724103e-11,-2.7075094940426514e-11,-2.7160949241874039e-11
0.26,4.511981281046937e-11,2.7634020274551856e-11,-1.4006052210647987e-11,-2.2544792134331011e-11,-2.3524372629465001e-11,-2.3750293071733477e-11,-2.3809285787983658e-11
0.2625,4.701639826191616e-11,2.9874748976538144e-11,-1.1731849448519813e-11,-2.0185158216287584e-11,-2.1118066951121958e-11,-2.1311718398405896e-11,-2.1349781002825428e-11
0.265,4.855772763256975e-11,3.1610586676422645e-11,-1.0278338362630939e-11,-1.8748591464947654e-11,-1.9659785507430155e-11,-1.9834280686080945e-11,-1.9857978698926177e-11
0.2675,4.9781405219196431e-11,3.2881152645926225e-11,-9.6034398955727513e-12,-1.8185848535518811e-11,-1.9097041091214827e-11,-1.926290806206199e-11,-1.927784866002238e-11
0.27,5.076642176639766e-11,3.378022297777781e-11,-9.5854528267519658e-12,-1.8360669268244818e-11,-1.9289041254158724e-11,-1.9454298215212282e-11,-1.9464522766417718e-11
0.2725,5.1613283516588754e-11,3.443489637016176e-11,-1.0043495123078995e-11,-1.9071826757745821e-11,-2.0029000302859562e-11,-2.0199191703393212e-11,-2.0207261973354522e-11
0.275,5.2430282349214201e-11,3.498531767738944e-11,-1.0772994293686446e-11,-2.0093168751521981e-11,-2.1085246315617788e-11,-2.1263532539113319e-11,-2.1270931226473278e-11
0.2775,5.3315862470696922e-11,3.5564196188916455e-11,-1.1571832800500299e-11,-2.1202089697717918e-11,-2.2230235044927986e-11,-2.2417535618095407e-11,-2.2425053295230274e-11
