Physical Time (s),lift Monitor (N)
1.235,-1.6181090141566164e-05
1.2375,-1.6265380333318107e-05
1.24,-1.6309518022883221e-05
1.2425,-1.6311954126199977e-05
1.245,-1.6272080623133515e-05
1.2475,-1.6190373352936233e-05
1.25,-1.6066646762249478e-05
1.2525,-1.5900348346347265e-05
1.255,-1.5690884643897769e-05
1.2575,-1.5438559418535794e-05
1.26,-1.5143517854240696e-05
1.2625,-1.4805211001323596e-05
1.265,-1.4423219085768647e-05
1.2675,-1.3997183730604947e-05
1.27,-1.3527322859773934e-05
1.2725,-1.301523175318191e-05
1.275,-1.246289159676279e-05
1.2775,-1.187148835321792e-05
1.28,-1.1241598102989652e-05
1.2825,-1.0573720552093696e-05
1.285,-9.8697839794140106e-06
1.2875,-9.1307638467196953e-06
1.29,-8.3575833485467509e-06
1.2925,-7.5510557618470333e-06
1.295,-6.7133781618343493e-06
1.2975,-5.8465456865648598e-06
1.3,-4.9524102749487269e-06
1.3025,-4.0334923174089369e-06
1.305,-3.0917109176021384e-06
1.3075,-2.1296274356766993e-06
1.31,-1.1491115721784296e-06
1.3125,-1.5271178458821124e-07
1.315,8.5777153601498078e-07
1.3175,1.8803216235060967e-06
1.32,2.9117412645866438e-06
1.3225,3.9485793991855401e-06
1.325,4.9877834690526507e-06
1.3275,6.0258772198416253e-06
1.33,7.0605701652342096e-06
1.3325,8.0889983796991708e-06
1.335,9.1071736310240832e-06
1.3375,1.0112036541169593e-05
1.34,1.1100945694525882e-05
1.3425,1.2071281086929642e-05
1.345,1.3020550940580159e-05
1.3475,1.3946193277362149e-05
1.35,1.4844750596601643e-05
1.3525,1.5713058753044541e-05
1.355,1.6548485082146144e-05
1.3575,1.7347342593888952e-05
1.36,1.8106564342354246e-05
1.3625,1.8824660154153136e-05
1.365,1.9499841191096611e-05
1.3675,2.0129564315171364e-05
1.37,2.0711323214015575e-05
1.3725,2.1242874846341157e-05
1.375,2.1721768661786362e-05
1.3775,2.21448672090869e-05
1.38,2.2509564802445276e-05
1.3825,2.2813556486111318e-05
1.385,2.3054845714544866e-05
1.3875,2.3230916676940351e-05
1.39,2.3341058286871449e-05
1.3925,2.338560298939697e-05
1.395,2.3364061593127024e-05
1.3975,2.3275762131067602e-05
1.4,2.3120147540523465e-05
1.4025,2.2896517053197908e-05
1.405,2.260527881637823e-05
1.4075,2.2245337751192843e-05
1.41,2.1816820710344722e-05
1.4125,2.1320582217544933e-05
1.415,2.0757704920641246e-05
1.4175,2.0128703081814476e-05
1.42,1.9434240420777109e-05
1.4225,1.8675043433889968e-05
1.425,1.7852664088806564e-05
1.4275,1.696938544317684e-05
1.43,1.602691353166938e-05
1.4325,1.5026781616109905e-05
1.435,1.3970948855911262e-05
1.4375,1.2862795008600401e-05
1.44,1.1704789512476448e-05
1.4425,1.0499994647568804e-05
1.445,9.249563644230377e-06
1.4475,7.9550164062505994e-06
1.45,6.6210477916730228e-06
1.4525,5.2532629526128373e-06
1.455,3.8551886800304072e-06
1.4575,2.4291288377994179e-06
1.46,9.7942105186451075e-07
1.4625,-4.8862574665392286e-07
1.465,-1.9694115357135022e-06
1.4675,-3.4604655988468573e-06
1.47,-4.9570226392778537e-06
1.4725,-6.454885209116837e-06
1.475,-7.9496795016021358e-06
1.4775,-9.4360818874740888e-06
1.48,-1.0910494101814772e-05
