Physical Time (s),ev_left Monitor (kg-m/s^3)
1.16,-5.8849066638853836e-08
1.1625,-5.8845700304576921e-08
1.165,-5.8839567202943053e-08
1.1675,-5.8831512793848381e-08
1.17,-5.8822354504326496e-08
1.1725,-5.8812874178593878e-08
1.175,-5.8803813245479173e-08
1.1775,-5.8795868597321576e-08
1.18,-5.8789688269020065e-08
1.1825,-5.8785869277062143e-08
1.185,-5.8784958416445211e-08
1.1875,-5.8787448503344987e-08
1.19,-5.8793765310231705e-08
1.1925,-5.8804251583644094e-08
1.195,-5.8819157266001716e-08
1.1975,-5.8838641427735111e-08
1.2,-5.8862783737568334e-08
1.2025,-5.8891593775486087e-08
1.205,-5.8925003653445021e-08
1.2075,-5.8962841256075354e-08
1.21,-5.9004800506561298e-08
1.2125,-5.9050431046644971e-08
1.215,-5.9099155869655363e-08
1.2175,-5.9150314151513301e-08
1.22,-5.9203219887528948e-08
1.2225,-5.9257210033840296e-08
1.225,-5.9311666053763552e-08
1.2275,-5.9366005289088793e-08
1.23,-5.9419657185587419e-08
1.2325,-5.9472046693574373e-08
1.235,-5.9522593807530523e-08
1.2375,-5.9570723131229708e-08
1.24,-5.9615877260120615e-08
1.2425,-5.9657531748196071e-08
1.245,-5.9695216864794059e-08
1.2475,-5.972855250133087e-08
1.25,-5.9757269398087109e-08
1.2525,-5.9781204277953964e-08
1.255,-5.9800281273571822e-08
1.2575,-5.9814500967847397e-08
1.26,-5.9823945487648189e-08
1.2625,-5.9828785035214574e-08
1.265,-5.9829271081294572e-08
1.2675,-5.9825704216097607e-08
1.27,-5.9818410048348394e-08
1.2725,-5.9807718159953276e-08
1.275,-5.9793973643218325e-08
1.2775,-5.9777554249206878e-08
1.28,-5.9758874814850915e-08
1.2825,-5.9738362514514882e-08
1.285,-5.9716415867283123e-08
1.2875,-5.9693385201540264e-08
1.29,-5.9669566066136311e-08
1.2925,-5.9645208879231703e-08
1.295,-5.9620536342471289e-08
1.2975,-5.9595754141444206e-08
1.3,-5.9571048174427179e-08
1.3025,-5.9546571467973722e-08
1.305,-5.9522432657892794e-08
1.3075,-5.9498681704982097e-08
1.31,-5.9475312175222405e-08
1.3125,-5.9452276123796873e-08
1.315,-5.9429499235379874e-08
1.3175,-5.9406890532144825e-08
1.32,-5.9384344844702529e-08
1.3225,-5.9361742928879984e-08
1.325,-5.9338955077315104e-08
1.3275,-5.9315850291467867e-08
