Physical Time (s),FreestreamDensity Monitor (kg/m^3)
2.5425,1.18415
2.545,1.18415
2.5475,1.18415
2.55,1.18415
2.5525,1.18415
2.555,1.18415
2.5575,1.18415
2.56,1.18415
2.5625,1.18415
2.565,1.18415
2.5675,1.18415
2.57,1.18415
2.5725,1.18415
2.575,1.18415
2.5775,1.18415
2.58,1.18415
2.5825,1.18415
2.585,1.18415
2.5875,1.18415
2.59,1.18415
2.5925,1.18415
2.595,1.18415
2.5975,1.18415
2.6,1.18415
2.6025,1.18415
2.605,1.18415
2.6075,1.18415
2.61,1.18415
2.6125,1.18415
2.615,1.18415
2.6175,1.18415
2.62,1.18415
2.6225,1.18415
2.625,1.18415
2.6275,1.18415
2.63,1.18415
2.6325,1.18415
2.635,1.18415
2.6375,1.18415
2.64,1.18415
2.6425,1.18415
2.645,1.18415
2.6475,1.18415
2.65,1.18415
2.6525,1.18415
2.655,1.18415
2.6575,1.18415
2.66,1.18415
2.6625,1.18415
2.665,1.18415
2.6675,1.18415
2.67,1.18415
2.6725,1.18415
2.675,1.18415
2.6775,1.18415
2.68,1.18415
2.6825,1.18415
2.685,1.18415
2.6875,1.18415
2.69,1.18415
2.6925,1.18415
2.695,1.18415
2.6975,1.18415
2.7,1.18415
2.7025,1.18415
2.705,1.18415
2.7075,1.18415
2.71,1.18415
2.7125,1.18415
2.715,1.18415
2.7175,1.18415
2.72,1.18415
2.7225,1.18415
2.725,1.18415
2.7275,1.18415
2.73,1.18415
2.7325,1.18415
2.735,1.18415
2.7375,1.18415
2.74,1.18415
2.7425,1.18415
2.745,1.18415
2.7475,1.18415
2.75,1.18415
2.7525,1.18415
2.755,1.18415
2.7575,1.18415
2.76,1.18415
2.7625,1.18415
2.765,1.18415
2.7675,1.18415
2.77,1.18415
2.7725,1.18415
2.775,1.18415
2.7775,1.18415
2.78,1.18415
2.7825,1.18415
2.785,1.18415
2.7875,1.18415
2.79,1.18415
2.7925,1.18415
2.795,1.18415
2.7975,1.18415
2.8,1.18415
2.8025,1.18415
2.805,1.18415
2.8075,1.18415
2.81,1.18415
2.8125,1.18415
2.815,1.18415
2.8175,1.18415
2.82,1.18415
2.8225,1.18415
2.825,1.18415
2.8275,1.18415
2.83,1.18415
2.8325,1.18415
2.835,1.18415
2.8375,1.18415
2.84,1.18415
2.8425,1.18415
2.845,1.18415
2.8475,1.18415
2.85,1.18415
2.8525,1.18415
2.855,1.18415
2.8575,1.18415
2.86,1.18415
2.8625,1.18415
2.865,1.18415
2.8675,1.18415
2.87,1.18415
2.8725,1.18415
2.875,1.18415
2.8775,1.18415
2.88,1.18415
2.8825,1.18415
2.885,1.18415
2.8875,1.18415
2.89,1.18415
2.8925,1.18415
2.895,1.18415
2.8975,1.18415
2.9,1.18415
2.9025,1.18415
2.905,1.18415
2.9075,1.18415
2.91,1.18415
2.9125,1.18415
2.915,1.18415
2.9175,1.18415
2.92,1.18415
2.9225,1.18415
2.925,1.18415
2.9275,1.18415
2.93,1.18415
2.9325,1.18415
2.935,1.18415
2.9375,1.18415
2.94,1.18415
2.9425,1.18415
2.945,1.18415
2.9475,1.18415
2.95,1.18415
2.9525,1.18415
2.955,1.18415
2.9575,1.18415
2.96,1.18415
2.9625,1.18415
2.965,1.18415
2.9675,1.18415
2.97,1.18415
2.9725,1.18415
2.975,1.18415
2.9775,1.18415
2.98,1.18415
2.9825,1.18415
2.985,1.18415
2.9875,1.18415
2.99,1.18415
2.9925,1.18415
2.995,1.18415
2.9975,1.18415
3.0,1.18415
3.0025,1.18415
3.005,1.18415
3.0075,1.18415
3.01,1.18415
3.0125,1.18415
3.015,1.18415
3.0175,1.18415
3.02,1.18415
3.0225,1.18415
3.025,1.18415
3.0275,1.18415
3.03,1.18415
3.0325,1.18415
3.035,1.18415
3.0375,1.18415
3.04,1.18415
3.0425,1.18415
3.045,1.18415
3.0475,1.18415
3.05,1.18415
3.0525,1.18415
3.055,1.18415
3.0575,1.18415
3.06,1.18415
3.0625,1.18415
3.065,1.18415
3.0675,1.18415
3.07,1.18415
3.0725,1.18415
3.075,1.18415
3.0775,1.18415
3.08,1.18415
3.0825,1.18415
3.085,1.18415
3.0875,1.18415
3.09,1.18415
3.0925,1.18415
3.095,1.18415
3.0975,1.18415
3.1,1.18415
3.1025,1.18415
