Physical Time (s),ep_top Monitor (kg-m/s^3): top_cv1,ep_top Monitor (kg-m/s^3): top_cv2,ep_top Monitor (kg-m/s^3): top_cv3,ep_top Monitor (kg-m/s^3): top_cv4,ep_top Monitor (kg-m/s^3): top_cv5,ep_top Monitor (kg-m/s^3): top_cv6,ep_top Monitor (kg-m/s^3): top_cv7
0.2,2.2147860810207696e-08,3.0374559169739851e-08,3.7440820057895277e-08,3.293299933747818e-08,2.6274864314746129e-08,1.3751479625053993e-08,-1.9618000131477596e-08
0.2025,2.0206554315598852e-08,3.1685192696967538e-08,4.7312782744293381e-08,4.9093409465309188e-08,4.6084134940564821e-08,3.9165844374642657e-08,1.4506215926276714e-08
0.205,1.6817987036932544e-08,3.0986183782701277e-08,5.3989455786199468e-08,6.1338632643518756e-08,6.1360252349376317e-08,5.8632243661120465e-08,4.4179532422678836e-08
0.2075,1.1316958582014747e-08,2.7634809176036542e-08,5.6658862117515293e-08,6.8755113175813939e-08,7.1210270754526534e-08,7.0974679437352319e-08,6.6243307479125465e-08
0.21,3.7288676030354689e-09,2.1654515502119707e-08,5.5193798861141769e-08,7.1159410534434922e-08,7.5593289419315822e-08,7.6353702390772748e-08,7.9077998998764799e-08
0.2125,-5.26775023615032e-09,1.372151400816994e-08,5.0172236652917034e-08,6.9085924493833393e-08,7.5224487653521447e-08,7.6089280548202937e-08,8.2848872260187996e-08
0.215,-1.4546570254860203e-08,4.9826272722513373e-09,4.2729154142580078e-08,6.3618123651917694e-08,7.1314390713135102e-08,7.2183007977462923e-08,7.9301261156540527e-08
0.2175,-2.2834662200417075e-08,-3.2255182641284944e-09,3.4304582228866325e-08,5.6136360428659707e-08,6.524977123202192e-08,6.6719818619588341e-08,7.1200096555842138e-08
0.22,-2.9047527284342066e-08,-9.6978326090531922e-09,2.6349682315259375e-08,4.8055557809801129e-08,5.8319910121357785e-08,6.1350854449125209e-08,6.1591013707568251e-08
0.2225,-3.2532044227840041e-08,-1.3603330968012319e-08,2.0091243725052896e-08,4.0637684498583738e-08,5.1574627711726144e-08,5.7028707620261452e-08,5.3116808879198497e-08
