Physical Time (s),xth_right Monitor (kg-m/s^3): right_cv1,xth_right Monitor (kg-m/s^3): right_cv2,xth_right Monitor (kg-m/s^3): right_cv3,xth_right Monitor (kg-m/s^3): right_cv4,xth_right Monitor (kg-m/s^3): right_cv5,xth_right Monitor (kg-m/s^3): right_cv6,xth_right Monitor (kg-m/s^3): right_cv7
0.235,8.8801554973589192e-12,1.8348936111137845e-11,1.0630383043480191e-14,-2.8117623988799951e-15,1.7252469296198363e-13,4.2137626300866799e-14,-5.1181517183849942e-14
0.2375,8.8282652635046529e-12,1.9296432536895984e-11,7.1445930860974646e-14,2.0160927292750974e-14,1.0734541668168029e-13,-1.5095744875263858e-14,2.7597363254522704e-14
0.24,8.6310077701179182e-12,2.0188988873749266e-11,3.4255385452922231e-14,4.8833397759969675e-14,8.6674621592964824e-14,-3.281882285354713e-14,4.6182282915348211e-14
0.2425,8.7243079587534761e-12,2.1229420725199895e-11,-3.4816403234652123e-14,1.0800019739838845e-13,1.1059806144333328e-13,-7.9587436015928906e-14,-3.6226567435610797e-14
0.245,8.8929398069335751e-12,2.2217922963378099e-11,-5.8128145839430588e-14,-1.7751421465501807e-13,-1.3301825078433082e-13,-6.428867562059668e-15,3.1372573669760459e-14
0.2475,8.9706655090911774e-12,2.3223428740632278e-11,-1.3714329973711525e-14,1.6726520528391647e-14,5.2465137434357632e-18,5.8343445844005159e-14,9.5952695557328637e-14
0.25,9.1099803075511909e-12,2.4264130797634585e-11,2.8654008930401435e-14,-1.1252576105473258e-13,-3.2248771617541372e-14,-9.447632957857095e-14,3.9794503798775811e-14
0.2525,9.0328884646550266e-12,2.5471960687595607e-11,1.1921417158346985e-14,-1.3835778025039528e-13,1.9340078263572471e-14,8.5350610172913515e-15,4.1893907089080302e-15
0.255,9.3088220468398694e-12,2.6863287554221136e-11,-3.5586001641407022e-14,9.7532674736467112e-14,6.6147010059793444e-14,-1.4473624137553926e-14,1.2083275096829317e-14
0.2575,9.5575506562348466e-12,2.8052689491810037e-11,7.8318119441014373e-14,4.1376409673851535e-14,-3.9710007360450686e-14,-7.8381247766089343e-14,6.385374646119937e-14
0.26,9.6970749507974062e-12,2.9417435488023979e-11,-1.7140871895279344e-13,-8.6347706304577251e-15,-5.2046215866875534e-14,1.1970679960227567e-13,-4.8178229006357676e-16
0.2625,9.7440180693174909e-12,3.0854435771003084e-11,-6.0993066920898542e-16,-1.2271511543655457e-13,2.9637357719913985e-14,-4.4870484920813912e-14,-6.7011850306123285e-14
0.265,9.9822043059123979e-12,3.1703200832042034e-11,-5.5397476252208067e-14,8.5060222142301701e-14,-2.2366132492516325e-14,-1.9391516451580716e-14,-1.5100099420683074e-13
0.2675,1.0392108743085778e-11,3.3010144453313203e-11,-1.2754889661038825e-13,-1.0210238326869073e-13,6.4366364601315554e-14,7.8292804783240442e-14,-3.243691992799793e-14
0.27,1.0434131009600723e-11,3.420496826936526e-11,-9.393584332335724e-15,-3.3459491782222382e-14,3.3710580445293729e-14,-5.7678642211856275e-14,9.6874322632304983e-14
0.2725,1.0831530051556892e-11,3.5048783972370365e-11,7.094817022615807e-14,5.0900096875036043e-14,7.0492853624425647e-14,-3.7691087740964586e-14,2.26456381682831e-13
0.275,1.0883315294427357e-11,3.5706200728785962e-11,-3.2864932733531022e-14,-2.1633973557705667e-14,2.4543432611316045e-14,-4.5411136772544418e-14,1.6681108638918914e-14
0.2775,1.10274443748194e-11,3.6567043880058988e-11,2.7466918404300619e-14,-7.951253848676342e-15,1.7277816948529519e-14,-5.4712370510441628e-14,-1.0155746543726219e-13
0.28,1.1291082049887636e-11,3.7194102382901821e-11,-5.3729113449818217e-14,1.911581939178094e-14,-1.1528692137270209e-13,7.7237599993053288e-14,-1.168848873721184e-13
0.2825,1.1693923216659124e-11,3.7516267515199719e-11,5.7613071142527352e-14,2.7083654844950331e-14,7.0350061082094312e-14,8.3474207723826672e-14,-1.020330975093762e-14
0.285,1.1738346831045963e-11,3.7930729525161952e-11,-3.4932881188264231e-14,-6.7689323773928149e-14,2.8221156574369334e-14,-5.4672049333017277e-14,-6.5709117497919316e-14
0.2875,1.1865094143048122e-11,3.8054153940050668e-11,8.9290672318703791e-14,-5.0626747295435395e-14,1.0978641534901358e-13,-4.3750541204850062e-14,-1.1139434710350054e-13
0.29,1.2074306284934015e-11,3.8006894466401242e-11,-2.7623358486540157e-14,6.6038797034751933e-14,6.4377352163365618e-14,5.9944902316056234e-14,-7.8263176291874946e-14
0.2925,1.2309479324825962e-11,3.7828190040071694e-11,-5.8128236317525857e-14,1.4876099709879798e-13,5.4059875676436415e-14,-8.0053554042072452e-14,6.2060135791750191e-14
0.295,1.2436375559103967e-11,3.7676041381784981e-11,-1.1373375239154955e-13,-3.6107155048531081e-14,8.9742936900683787e-14,9.4035104605403155e-14,-1.551857452030973e-14
0.2975,1.2610977030222479e-11,3.7334154391170541e-11,-5.8947585173973876e-15,1.9380337245646018e-13,-4.7007863171009418e-14,-1.4546474655145554e-13,-1.5052933457580164e-13
0.3,1.2848995293696796e-11,3.6874574516955392e-11,-9.3345568302608625e-14,9.5756328430562572e-14,6.5695125815657034e-14,8.4297881160577106e-14,4.970761283150171e-15
0.3025,1.303335977463119e-11,3.630398909591184e-11,9.5935345694120886e-14,2.6906461025787291e-15,-1.6103818879717754e-14,-1.0022264242412082e-13,-3.2085758005516869e-14
0.305,1.3136851547446549e-11,3.5805308198094424e-11,-9.9082348359790547e-14,-5.6778421864202649e-14,1.0792124058349264e-13,-2.2208654898898573e-14,6.7215724066041014e-14
0.3075,1.3397917421637289e-11,3.4942392953747921e-11,-1.7989294677557022e-13,-9.6420372609372927e-15,1.130013426064077e-13,-2.6615670640742884e-14,-4.2153809548347645e-14
