Physical Time (s),etp_left Monitor (kg-m/s^3)
1.74,7.2010720281265071e-08
1.7425,8.2931613247719275e-08
1.745,9.4152759068645015e-08
1.7475,1.0558954387447959e-07
1.75,1.1715594780845003e-07
1.7525,1.2878276314478957e-07
1.755,1.4041663447074534e-07
1.7575,1.5200667386058616e-07
1.76,1.6348640831798976e-07
1.7625,1.7478925710801041e-07
1.765,1.8585244032998135e-07
1.7675,1.9661971658796996e-07
1.77,2.070419565161651e-07
1.7725,2.1707402014891749e-07
1.775,2.2667332405598029e-07
1.7775,2.3579885896194368e-07
1.78,2.4441594434993807e-07
1.7825,2.5250355210121079e-07
1.785,2.6004524667200684e-07
1.7875,2.6703305479895932e-07
1.79,2.7346797877192701e-07
1.7925,2.7934971745604445e-07
1.795,2.8467717471858485e-07
1.7975,2.8944681077833139e-07
1.8,2.9365632997638798e-07
1.8025,2.9730726123437738e-07
1.805,3.004038553310638e-07
1.8075,3.0294924319019564e-07
1.81,3.0494590143167398e-07
1.8125,3.0639847155595754e-07
1.815,3.0731436989507299e-07
1.8175,3.0770853030656003e-07
1.82,3.0760305731161638e-07
1.8225,3.0702267739517859e-07
1.825,3.0599085541829005e-07
1.8275,3.0452896603973998e-07
1.83,3.0265809038083299e-07
1.8325,3.0039970305592376e-07
1.835,2.9777585613919304e-07
1.8375,2.9480851425891689e-07
1.84,2.9152075393083382e-07
1.8425,2.8793662628611033e-07
1.845,2.8408015311024956e-07
1.8475,2.7997591458886228e-07
1.85,2.7565150923833626e-07
1.8525,2.711369111827113e-07
1.855,2.6646170308950073e-07
1.8575,2.6164743744955732e-07
1.86,2.5671646340733403e-07
1.8625,2.5168852024771884e-07
1.865,2.4657997790392762e-07
1.8675,2.4140881368562184e-07
1.87,2.3619255300645799e-07
1.8725,2.3094914058211057e-07
1.875,2.257013495823867e-07
1.8775,2.2046589748761316e-07
1.88,2.1525755339975431e-07
1.8825,2.1009602258834602e-07
1.885,2.0498938298481968e-07
1.8875,1.9994807735451394e-07
1.89,1.9498389323554549e-07
1.8925,1.9010987495675899e-07
1.895,1.8534191111939047e-07
1.8975,1.8069733451656369e-07
1.9,1.761921948472124e-07
1.9025,1.7184059639582654e-07
1.905,1.6765603976247244e-07
1.9075,1.6365214118353544e-07
1.91,1.5984342315390208e-07
1.9125,1.5624513012476962e-07
1.915,1.5287088856387135e-07
1.9175,1.4973209877911276e-07
1.92,1.4683629159633608e-07
1.9225,1.4418629446031333e-07
1.925,1.4177949353663418e-07
1.9275,1.3961200320053638e-07
1.93,1.3768116344360956e-07
1.9325,1.359864730568099e-07
1.935,1.3452593281020897e-07
1.9375,1.3329406626659073e-07
1.94,1.3227847812442676e-07
1.9425,1.3146139722576903e-07
1.945,1.3082161766718805e-07
1.9475,1.3033932693836277e-07
1.95,1.29998482332405e-07
1.9525,1.2978725705918389e-07
1.955,1.2968609887547184e-07
1.9575,1.296739249253135e-07
1.96,1.2972339657740768e-07
1.9625,1.2980743300204882e-07
1.965,1.2990271677571735e-07
1.9675,1.2999050560587451e-07
1.97,1.3005870670891142e-07
1.9725,1.3009390229431217e-07
1.975,1.3008070360914405e-07
1.9775,1.2999689548624094e-07
1.98,1.298369368824555e-07
1.9825,1.2959346986942908e-07
1.985,1.2926753215554184e-07
1.9875,1.2886104711512558e-07
1.99,1.2837612680527334e-07
1.9925,1.2781336076276856e-07
1.995,1.2717108969500424e-07
1.9975,1.2644520961461156e-07
2.0,1.2563764366942592e-07
2.0025,1.2476492597023017e-07
2.005,1.2385703623799934e-07
2.0075,1.2294600578062825e-07
2.01,1.2205787531652133e-07
2.0125,1.212001632851275e-07
2.015,1.2039095009862384e-07
2.0175,1.1964082404656252e-07
2.02,1.1896442125605793e-07
2.0225,1.1838319208243964e-07
2.025,1.1792310782872561e-07
2.0275,1.1760957847408831e-07
2.03,1.174630877746145e-07
2.0325,1.1750281715012779e-07
2.035,1.1775770029313315e-07
2.0375,1.1825812877176134e-07
2.04,1.1902913291996443e-07
2.0425,1.2008165724150908e-07
2.045,1.2141281170080449e-07
2.0475,1.2301664445708773e-07
2.05,1.2488571734661848e-07
2.0525,1.2701439384369722e-07
2.055,1.2939865827792904e-07
2.0575,1.3203620873181311e-07
2.06,1.349239680587345e-07
2.0625,1.3805607418472566e-07
2.065,1.4142249858062969e-07
2.0675,1.4500874695311824e-07
2.07,1.4879911541955075e-07
2.0725,1.5277422975717077e-07
2.075,1.5691420050739326e-07
2.0775,1.6119810895825296e-07
2.08,1.6560304462448333e-07
2.0825,1.7010550748945824e-07
2.085,1.7468162151713246e-07
2.0875,1.7931051785207425e-07
2.09,1.8397488386111882e-07
2.0925,1.8865817833219659e-07
2.095,1.9334360400556131e-07
2.0975,1.9801399768330482e-07
2.1,2.026521398961596e-07
2.1025,2.0724209405457893e-07
