Physical Time (s),FreestreamDynamicViscosity Monitor (Pa-s)
0.7525,1.8459666102631776e-05
0.755,1.8459666102631817e-05
0.7575,1.8459666102631851e-05
0.76,1.8459666102631881e-05
0.7625,1.8459666102631918e-05
0.765,1.8459666102631946e-05
0.7675,1.8459666102631969e-05
0.77,1.8459666102632034e-05
0.7725,1.8459666102632061e-05
0.775,1.8459666102632078e-05
0.7775,1.8459666102632088e-05
0.78,1.8459666102632091e-05
0.7825,1.8459666102632095e-05
0.785,1.8459666102632088e-05
0.7875,1.8459666102632088e-05
0.79,1.8459666102632074e-05
0.7925,1.8459666102632054e-05
0.795,1.845966610263204e-05
0.7975,1.8459666102632007e-05
0.8,1.8459666102631983e-05
0.8025,1.8459666102631949e-05
0.805,1.8459666102631905e-05
0.8075,1.8459666102631861e-05
0.81,1.8459666102631803e-05
0.8125,1.8459666102631742e-05
0.815,1.8459666102631671e-05
0.8175,1.84596661026316e-05
0.82,1.8459666102631522e-05
0.8225,1.8459666102631437e-05
0.825,1.8459666102631342e-05
0.8275,1.8459666102631237e-05
0.83,1.8459666102631136e-05
0.8325,1.8459666102631017e-05
0.835,1.8459666102630892e-05
0.8375,1.8459666102630746e-05
0.84,1.84596661026306e-05
0.8425,1.8459666102630451e-05
0.845,1.8459666102630292e-05
0.8475,1.8459666102630119e-05
0.85,1.8459666102629947e-05
0.8525,1.8459666102629777e-05
0.855,1.8459666102629598e-05
0.8575,1.8459666102629404e-05
0.86,1.8459666102629218e-05
0.8625,1.8459666102629022e-05
0.865,1.8459666102628832e-05
0.8675,1.8459666102628629e-05
0.87,1.8459666102628425e-05
0.8725,1.8459666102628215e-05
0.875,1.8459666102628009e-05
0.8775,1.8459666102627798e-05
0.88,1.8459666102627582e-05
0.8825,1.8459666102627372e-05
0.885,1.8459666102627148e-05
0.8875,1.8459666102626918e-05
0.89,1.8459666102626684e-05
0.8925,1.845966610262644e-05
0.895,1.8459666102626206e-05
0.8975,1.8459666102625962e-05
0.9,1.8459666102625715e-05
0.9025,1.8459666102625467e-05
0.905,1.845966610262522e-05
0.9075,1.845966610262498e-05
0.91,1.8459666102624729e-05
0.9125,1.8459666102624485e-05
0.915,1.8459666102624231e-05
0.9175,1.845966610262399e-05
0.92,1.8459666102623743e-05
0.9225,1.8459666102623506e-05
0.925,1.8459666102623265e-05
0.9275,1.8459666102623021e-05
0.93,1.8459666102622791e-05
0.9325,1.8459666102622547e-05
0.935,1.8459666102622313e-05
0.9375,1.8459666102622089e-05
0.94,1.8459666102621859e-05
0.9425,1.8459666102621635e-05
0.945,1.8459666102621412e-05
0.9475,1.8459666102621195e-05
0.95,1.8459666102620982e-05
0.9525,1.8459666102620775e-05
0.955,1.8459666102620558e-05
0.9575,1.8459666102620351e-05
0.96,1.8459666102620151e-05
0.9625,1.8459666102619958e-05
0.965,1.8459666102619748e-05
0.9675,1.8459666102619562e-05
0.97,1.8459666102619369e-05
0.9725,1.8459666102619186e-05
0.975,1.8459666102618996e-05
0.9775,1.8459666102618803e-05
0.98,1.8459666102618627e-05
0.9825,1.8459666102618437e-05
0.985,1.8459666102618251e-05
0.9875,1.8459666102618078e-05
0.99,1.8459666102617898e-05
0.9925,1.8459666102617712e-05
0.995,1.8459666102617536e-05
0.9975,1.8459666102617356e-05
1.0,1.845966610261718e-05
1.0025,1.8459666102617004e-05
1.005,1.8459666102616828e-05
1.0075,1.8459666102616645e-05
1.01,1.8459666102616479e-05
