Physical Time (s),ek_vol Monitor (N): cv1,ek_vol Monitor (N): cv2,ek_vol Monitor (N): cv3,ek_vol Monitor (N): cv4,ek_vol Monitor (N): cv5,ek_vol Monitor (N): cv6,ek_vol Monitor (N): cv7
0.36,9.3526548509444372e-06,1.4007400089022466e-05,1.4286605593391288e-05,1.4296562683422276e-05,1.4298497819373338e-05,1.4299524852129948e-05,1.4299674371219836e-05
0.3625,9.3610087161316006e-06,1.4071254640894917e-05,1.4353486598801367e-05,1.4363462183339417e-05,1.4365342680339597e-05,1.4366285778075064e-05,1.4366422136736163e-05
0.365,9.3693877298015306e-06,1.4134949827443304e-05,1.4420090653525484e-05,1.4430045757528359e-05,1.443185572784262e-05,1.4432708162363517e-05,1.4432832409649202e-05
0.3675,9.377779714223876e-06,1.4198463114592665e-05,1.4486405170563338e-05,1.4496304604301602e-05,1.4498031405433e-05,1.4498791107231218e-05,1.4498903833157512e-05
0.37,9.3861623729560413e-06,1.4261770916444583e-05,1.455242178879914e-05,1.4562236024497957e-05,1.4563870987847095e-05,1.456454016964354e-05,1.4564641722495382e-05
0.3725,9.3945417000711979e-06,1.4324952028421853e-05,1.4618243044695463e-05,1.4627948903965878e-05,1.4629487217635399e-05,1.463007135722132e-05,1.4630161890867923e-05
0.375,9.4028545156216456e-06,1.4387880504495334e-05,1.4683761165668323e-05,1.4693344330864648e-05,1.4694786306575861e-05,1.4695294205525804e-05,1.4695374001069801e-05
0.3775,9.4110396364748903e-06,1.4450539658337471e-05,1.4749000246036289e-05,1.4758455111716337e-05,1.4759804808142478e-05,1.4760246748770953e-05,1.4760316203952461e-05
0.38,9.4190295545687252e-06,1.4512917759152423e-05,1.4813989218044472e-05,1.4823319292430337e-05,1.4824583988366721e-05,1.4824970954430998e-05,1.4825030701806787e-05
0.3825,9.4267814866507425e-06,1.4575029045496665e-05,1.4878787038606855e-05,1.4888005035029882e-05,1.4889194615916628e-05,1.4889537528399041e-05,1.4889588513972763e-05
