Physical Time (s),aphi_vol Monitor (kg-m/s^3): cv1,aphi_vol Monitor (kg-m/s^3): cv2,aphi_vol Monitor (kg-m/s^3): cv3,aphi_vol Monitor (kg-m/s^3): cv4,aphi_vol Monitor (kg-m/s^3): cv5,aphi_vol Monitor (kg-m/s^3): cv6,aphi_vol Monitor (kg-m/s^3): cv7
0.2425,3.8897619337262929e-05,4.5078136388047365e-05,4.5307338396486673e-05,4.5310892476445887e-05,4.5311075653431735e-05,4.5311144916139825e-05,4.5311167586558448e-05
0.245,3.8807232716629214e-05,4.5078309925302474e-05,4.5316631809754448e-05,4.5320256948165957e-05,4.5320447669353606e-05,4.5320519925612302e-05,4.5320544568078036e-05
0.2475,3.871820737840828e-05,4.5077901483622914e-05,4.5325229477838144e-05,4.5328914965395614e-05,4.5329110769314178e-05,4.5329184701976748e-05,4.5329210404360858e-05
0.25,3.8631054509345635e-05,4.5077373414510097e-05,4.5333576653051699e-05,4.5337312225586683e-05,4.5337510742809139e-05,4.5337585107569285e-05,4.5337610753115369e-05
0.2525,3.8545366101868294e-05,4.5076368946403505e-05,4.5341313171166976e-05,4.5345090231954497e-05,4.5345289521212154e-05,4.5345363180977283e-05,4.534538787506851e-05
0.255,3.8457978780394436e-05,4.5072152775098926e-05,4.5345727204167618e-05,4.534953958619917e-05,4.5349738323083527e-05,4.5349810249908755e-05,4.5349833549373502e-05
0.2575,3.8370960136820608e-05,4.5066466232209346e-05,4.5348534062942816e-05,4.5352378343341691e-05,4.535257601059659e-05,4.5352645214557382e-05,4.535266712679987e-05
0.26,3.8283169119841564e-05,4.5058450746223232e-05,4.5348905288719131e-05,4.5352780937489096e-05,4.5352977851285223e-05,4.5353043503936867e-05,4.5353064337035656e-05
0.2625,3.819667850304628e-05,4.5050064630136337e-05,4.5348803067326187e-05,4.5352711776040379e-05,4.5352908939003018e-05,4.5352970514145295e-05,4.5352990672092587e-05
0.265,3.8110419379593633e-05,4.5040457384638819e-05,4.5347406682650566e-05,4.5351352812120759e-05,4.5351551708919909e-05,4.5351609089337526e-05,4.5351628876247864e-05
0.2675,3.8025587691025946e-05,4.5030770443359874e-05,4.5345869044030735e-05,4.5349858674548026e-05,4.5350061044193949e-05,4.535011456868078e-05,4.5350134053265597e-05
0.27,3.7941776415657225e-05,4.5020769989106186e-05,4.5343972368900916e-05,4.534801304119854e-05,4.5348220731660164e-05,4.5348271102893281e-05,4.5348290065969481e-05
0.2725,3.7861353595502646e-05,4.5012696203286904e-05,4.5343949271672718e-05,4.5348047933903747e-05,4.5348262641632001e-05,4.5348310809543379e-05,4.5348328877228145e-05
0.275,3.7783343066215797e-05,4.5005764465427532e-05,4.5345017648339191e-05,4.5349180799564904e-05,4.534940403970549e-05,4.5349450958670738e-05,4.5349467708174438e-05
