Physical Time (s),enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv1,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv2,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv3,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv4,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv5,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv6,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv7
0.1525,0.00038732347986410924,0.00010174610533707783,-1.875250956239865e-05,-7.6899064983742518e-05,-0.00012925287245535555,-0.00016223389552742301,9.3326126717575771e-05
0.155,0.00039336094881512894,0.00012990613223630808,6.4466274560296986e-06,-5.1513100053197382e-05,-0.00010929216521232978,-0.00017460110915979519,5.3218941706259458e-05
0.1575,0.00038905669527363119,0.00014701216659347401,2.2430037453745875e-05,-3.2075198527907743e-05,-9.080711688164557e-05,-0.00018052524090486117,4.0177042272332202e-06
0.16,0.00037636179225397621,0.00015506407414129684,3.0569657584660313e-05,-1.8173489089429896e-05,-7.4073757026442367e-05,-0.00017930347065469839,-5.0156541850876666e-05
0.1625,0.00035794186035000664,0.00015699759816161367,3.319521091211855e-05,-8.4554766786798448e-06,-5.8745004469413325e-05,-0.00017063192938233235,-0.00010410959408092889
0.165,0.00033666368094152361,0.00015608170036779346,3.3069173205062981e-05,-1.006319045244193e-06,-4.40214013017669e-05,-0.00015470313454821769,-0.0001525819651437498
0.1675,0.00031504550401610323,0.00015525253484392223,3.2780082790500917e-05,6.1346653979296378e-06,-2.8955060044035014e-05,-0.00013221187450648483,-0.0001911057577000621
0.17,0.0002946948828734289,0.00015643984316070008,3.4065307952719992e-05,1.4299784248805358e-05,-1.3010574708275631e-05,-0.00010456955147105039,-0.00021668003767573243
0.1725,0.00027630960086291387,0.00016046228814668587,3.7695052647554404e-05,2.4067483122043146e-05,3.8660680317939374e-06,-7.366156423210254e-05,-0.00022795530889714718
0.175,0.00025966207250872176,0.00016694857025777082,4.3350382394199025e-05,3.5108780451882323e-05,2.1097680392775552e-05,-4.1734685636226943e-05,-0.00022534295594322157
0.1775,0.00024397603498544851,0.00017471031818745914,4.9929460990506818e-05,4.6446525034858176e-05,3.7702367329020905e-05,-1.0985197327408402e-05,-0.00021063858514478907
0.18,0.00022830246988551534,0.00018218239134846847,5.5916669356771858e-05,5.6756115809673209e-05,5.2529043433970408e-05,1.6749538485751945e-05,-0.00018650055813455889
0.1825,0.00021182403736316621,0.00018784726283587673,5.9761730177059223e-05,6.466622944835995e-05,6.4476880764658117e-05,4.0182680949449228e-05,-0.00015596019255266507
0.185,0.00019414702792017166,0.00019065092014265109,6.0285368940694953e-05,6.9086598114129007e-05,7.2725898211037739e-05,5.8677919981222144e-05,-0.00012186571269368599
0.1875,0.00017539242620217264,0.00019020444179416101,5.6911019672101666e-05,6.9395243351447279e-05,7.6837490321620582e-05,7.2179672786300861e-05,-8.6578980309454296e-05
0.19,0.00015614606941985067,0.00018681240752382161,4.9741072679648267e-05,6.5513838223521417e-05,7.6767566651885332e-05,8.1045548413540702e-05,-5.1845944627109589e-05
0.1925,0.00013731076328354143,0.00018135451760471316,3.9492012253468416e-05,5.7884804523936339e-05,7.2826452411847009e-05,8.5857726813141655e-05,-1.8814004059157348e-05
0.195,0.00011994074387779375,0.00017510257911609636,2.7361193056788649e-05,4.7401531531494995e-05,6.5635618843283276e-05,8.7275633785559875e-05,1.1859770655877151e-05
0.1975,0.00010497122825916162,0.00016941608369080267,1.4751436979650806e-05,3.520304009468481e-05,5.5986346684254887e-05,8.5858285039607061e-05,3.977123472383753e-05
0.2,9.2985244812810057e-05,0.00016544323451630715,2.9704810044946324e-06,2.2437132727920426e-05,4.4685685240133079e-05,8.1952075382773012e-05,6.4559386579100928e-05
0.2025,8.4072492790497879e-05,0.00016386417131320589,-7.0228348145743207e-06,1.0045833424114711e-05,3.2414883640843526e-05,7.5646899526557774e-05,8.5756085465640814e-05
0.205,7.7805221735214775e-05,0.00016479778085888621,-1.4737321404355126e-05,-1.3409491088348037e-06,1.9668433278619755e-05,6.6816623110934383e-05,0.00010266476465582023
0.2075,7.3333150226226652e-05,0.00016784230929906604,-2.0124750363658215e-05,-1.1379637732169362e-05,6.8107769438871958e-06,5.5280444971307711e-05,0.00011437594700084875
0.21,6.958454327210851e-05,0.00017223597735998677,-2.347098320145941e-05,-1.9923419268346026e-05,-5.8182858596473478e-06,4.1025947404499159e-05,0.0001199902071114181
0.2125,6.540458631449988e-05,0.00017696875524543672,-2.5354970305856657e-05,-2.7026191110010495e-05,-1.7921651905837028e-05,2.4277941722558324e-05,0.00011877484909007033
0.215,5.9736252140673593e-05,0.00018097908006291057,-2.6530371944654043e-05,-3.2889879438562964e-05,-2.9234247465900827e-05,5.5423789407114119e-06,0.00011033712802190437
0.2175,5.1833243207834917e-05,0.00018340456020356341,-2.7727860481492226e-05,-3.7736535998116475e-05,-3.9445296433917532e-05,-1.4326534060094627e-05,9.4814722456698555e-05
0.22,4.13292717329965e-05,0.00018369265426407708,-2.9571698473389084e-05,-4.1801585539164181e-05,-4.8256644024595277e-05,-3.4238159292044988e-05,7.2898753471399279e-05
0.2225,2.8370594359539739e-05,0.00018176927773716061,-3.2405636186206348e-05,-4.5214111899840025e-05,-5.5327802301268323e-05,-5.2892261904413685e-05,4.5906785614152133e-05
0.225,1.3518199500105568e-05,0.00017797050493645867,-3.6333561397826039e-05,-4.8065180455841183e-05,-6.0401402280972714e-05,-6.9002630759224136e-05,1.5614265243783965e-05
0.2275,-2.3217883696784768e-06,0.00017301160594231777,-4.1212960277566351e-05,-5.0401009005993238e-05,-6.3339494651071837e-05,-8.1442375942033821e-05,-1.5888441745303237e-05
0.23,-1.7976962465549725e-05,0.0001679252430789715,-4.6640853767714431e-05,-5.2176403052990109e-05,-6.4097586279150234e-05,-8.9335147928894663e-05,-4.6363397201321025e-05
0.2325,-3.2177000867056542e-05,0.00016389917366623865,-5.2038878604542777e-05,-5.3286423994411328e-05,-6.2745685500602987e-05,-9.2159272007914778e-05,-7.3653084279042019e-05
0.235,-4.3717418716608181e-05,0.00016210825561694596,-5.6754190596762967e-05,-5.3614961236197063e-05,-5.9489254609780415e-05,-8.9814375373606999e-05,-9.5860568531234413e-05
0.2375,-5.16010512776927e-05,0.00016356795150660944,-6.0146103394473677e-05,-5.3065491725987674e-05,-5.4665943070460529e-05,-8.2646531813380871e-05,-0.00011150395140758318
0.24,-5.4878101831894078e-05,0.00016924723250877685,-6.1451480022515597e-05,-5.1177712067000905e-05,-4.8132855194949279e-05,-7.0685830074666953e-05,-0.00011974929118304979
