Physical Time (s),enth_flux_pressure_left Monitor (kg-m/s^3)
1.0975,3.1181452247095152e-05
1.1,3.4008763324785077e-05
1.1025,3.6573879472591125e-05
1.105,3.8832903579765999e-05
1.1075,4.07510193846387e-05
1.11,4.2302516063803638e-05
1.1125,4.3469507397665435e-05
1.115,4.4241984258114348e-05
1.1175,4.4618039246924394e-05
1.12,4.4603556826508906e-05
1.1225,4.4212639953434852e-05
1.125,4.346725660661986e-05
1.1275,4.2395876324740803e-05
1.13,4.1033006070867013e-05
1.1325,3.9418153502272004e-05
1.135,3.7594590434342781e-05
1.1375,3.5608039778599931e-05
1.14,3.3505263877633325e-05
1.1425,3.1334010003383262e-05
1.145,2.9140830923532053e-05
1.1475,2.697049994967767e-05
1.15,2.4865266006276935e-05
1.1525,2.2864067715867747e-05
1.155,2.1001420732756812e-05
1.1575,1.930743758837484e-05
1.16,1.7807922461358331e-05
1.1625,1.6523391311961832e-05
1.165,1.5468788124010008e-05
1.1675,1.4653644470377909e-05
1.17,1.4082043276273592e-05
1.1725,1.3752670821341248e-05
1.175,1.3658992122362519e-05
1.1775,1.3789524666321165e-05
1.18,1.4128578599821024e-05
1.1825,1.465797367149775e-05
1.185,1.5358853845317778e-05
1.1875,1.6210919736281922e-05
1.19,1.7190545860384416e-05
1.1925,1.8270903487173835e-05
1.195,1.9423498914232963e-05
1.1975,2.061899345788502e-05
1.2,2.1828571861281753e-05
1.2025,2.3024795889340572e-05
1.205,2.418186907434283e-05
1.2075,2.5275593158001297e-05
1.21,2.6283458285610154e-05
1.2125,2.7185266784668126e-05
1.215,2.7963055696307134e-05
1.2175,2.86018663373573e-05
1.22,2.9090339130627261e-05
1.2225,2.9420967185111676e-05
1.225,2.959001996823758e-05
1.2275,2.9596991919082766e-05
1.23,2.9444074256479825e-05
1.2325,2.913583881121868e-05
1.235,2.8679058364425314e-05
1.2375,2.8082311791268381e-05
1.24,2.73559212207788e-05
1.2425,2.6511819137927624e-05
1.245,2.5563481246949638e-05
1.2475,2.4525465248317739e-05
1.25,2.341340479941375e-05
1.2525,2.2244403237559269e-05
1.255,2.1035603086852702e-05
1.2575,1.9803983526048425e-05
1.26,1.8566704978511489e-05
1.2625,1.7339804731928143e-05
1.265,1.6139474985961379e-05
1.2675,1.4980728449828651e-05
1.27,1.3877749176461945e-05
1.2725,1.2842652343030885e-05
1.275,1.1889196000112092e-05
1.2775,1.1029960032262484e-05
1.28,1.0276473029473702e-05
1.2825,9.6392874255618774e-06
1.285,9.1275753730805189e-06
1.2875,8.7489565443358997e-06
1.29,8.5092545808345993e-06
1.2925,8.4130167531733782e-06
1.295,8.4635188707818372e-06
1.2975,8.6626408780054762e-06
1.3,9.0108013627161078e-06
1.3025,9.506626833465359e-06
1.305,1.0146680792217004e-05
1.3075,1.092555209700779e-05
