Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.2375,1.7931563902743889e-06,5.5194107927574679e-08,-1.3084209404068172e-08,-7.8536678793200037e-09,-4.7937414493219883e-09,-2.9482861718011685e-09,-2.4487894062136513e-09
0.24,1.7983954586878607e-06,5.338828676563359e-08,-1.3458528170387417e-08,-8.0316597436467751e-09,-4.7299550587371032e-09,-2.5652936977855716e-09,-2.6135080103961612e-09
0.2425,1.8010872653983645e-06,5.1232329170491646e-08,-1.3865401842762587e-08,-8.2932153095841292e-09,-4.7678812197063558e-09,-2.2008012877435032e-09,-2.6265063504262089e-09
0.245,1.8013549758666609e-06,4.8785097172006455e-08,-1.4269523808182292e-08,-8.6162463592609826e-09,-4.9078590456233797e-09,-1.8941019012874405e-09,-2.4902538900994527e-09
0.2475,1.799327961684575e-06,4.6156988834274464e-08,-1.4634975779608156e-08,-8.9689740083428782e-09,-5.1365200642547472e-09,-1.6783103746944985e-09,-2.2198363292460402e-09
0.25,1.7950377565540776e-06,4.3414908871782296e-08,-1.4932407599132068e-08,-9.315336749800178e-09,-5.4280214234578554e-09,-1.5741772284171828e-09,-1.8427475228233893e-09
0.2525,1.7884937527491254e-06,4.0449557074080703e-08,-1.5144226931197174e-08,-9.6219417407277261e-09,-5.7497527680258305e-09,-1.5875095496612597e-09,-1.3942719213187321e-09
0.255,1.7796839225313292e-06,3.7287134029632102e-08,-1.526232787882614e-08,-9.8616267377200871e-09,-6.0686274349246978e-09,-1.7133745676224089e-09,-9.1218797741607515e-10
0.2575,1.7688419110106478e-06,3.4088842679024853e-08,-1.5288144770738645e-08,-1.0016910997984299e-08,-6.3513685818220213e-09,-1.934584124786794e-09,-4.3794481307125933e-10
0.26,1.7553181563355332e-06,3.0895002154985966e-08,-1.5231368454304061e-08,-1.0079952672776002e-08,-6.5703505683463237e-09,-2.2251683701901213e-09,-1.1332627815727745e-11
0.2625,1.739382987298039e-06,2.7761254098326425e-08,-1.5111730169229589e-08,-1.0054291700791394e-08,-6.7068110809743441e-09,-2.5502582737487062e-09,3.3183258868667711e-10
0.265,1.7213820829546232e-06,2.4706093996622611e-08,-1.495536862839662e-08,-9.9517220928615317e-09,-6.7525414816622202e-09,-2.8730872077127846e-09,5.6347996132510822e-10
