Physical Time (s),enth_flux_pressure_right Monitor (W): right_cv1,enth_flux_pressure_right Monitor (W): right_cv2,enth_flux_pressure_right Monitor (W): right_cv3,enth_flux_pressure_right Monitor (W): right_cv4,enth_flux_pressure_right Monitor (W): right_cv5,enth_flux_pressure_right Monitor (W): right_cv6,enth_flux_pressure_right Monitor (W): right_cv7
0.18,4.1587821679278231e-06,3.3990580335972987e-06,2.6930359852014514e-06,3.6705946841828459e-06,6.2363161924101175e-06,9.3689327046529856e-06,4.0371523969888548e-06
0.1825,6.9293441444499786e-06,5.8118239387848211e-06,4.9644825471936029e-06,6.0070588495372245e-06,8.6819742239946321e-06,1.2028920462614229e-05,6.0941415265276294e-06
0.185,9.3875196816055083e-06,8.0754159388931401e-06,7.4780356173122716e-06,8.548820871174074e-06,1.0932549206885586e-05,1.3944238130396103e-05,7.9807969885422209e-06
0.1875,1.1555277682598788e-05,1.0227284586766671e-05,1.016081589165425e-05,1.1184544910960761e-05,1.2926904231826191e-05,1.5056819339041759e-05,9.6168419511811416e-06
0.19,1.3437099506774841e-05,1.2247595391585824e-05,1.2830682105978489e-05,1.3714828675867266e-05,1.4581972868357409e-05,1.5403041152149994e-05,1.0903160786387399e-05
0.1925,1.4998827217118329e-05,1.405111873241153e-05,1.5223119586372126e-05,1.5879937979303212e-05,1.5792562336531734e-05,1.508082675900482e-05,1.1733082917616769e-05
0.195,1.6143659716873616e-05,1.5474062806290257e-05,1.702403887764944e-05,1.7384041210495484e-05,1.6420415649556252e-05,1.4190197781148031e-05,1.1990619105414957e-05
0.1975,1.6729352040373068e-05,1.630543474076491e-05,1.7929445848051709e-05,1.7950905719518342e-05,1.6320928620291217e-05,1.2819991898167101e-05,1.1584394717858408e-05
0.2,1.6588423091255238e-05,1.6315316024682933e-05,1.7694226493423182e-05,1.7372144133351869e-05,1.5374342517329324e-05,1.1048578298367801e-05,1.0477370466061502e-05
0.2025,1.5603208901874592e-05,1.5347045775763013e-05,1.6230670207276316e-05,1.559988290821923e-05,1.3547435540599304e-05,8.9463738261035787e-06,8.7258474784358273e-06
0.205,1.3730328585347374e-05,1.33469880831336e-05,1.3608006805710254e-05,1.2740064112447363e-05,1.0896802893707128e-05,6.5629181525840462e-06,6.4545345693575294e-06
0.2075,1.1017860935945912e-05,1.0376774081727457e-05,1.0028300734813337e-05,9.0263165128893753e-06,7.5678968070868632e-06,3.9549135557209565e-06,3.8421150248964686e-06
0.21,7.6263052500046099e-06,6.6283035411628317e-06,5.8102633851427959e-06,4.7975579706361033e-06,3.8029719771708899e-06,1.2140506318545831e-06,1.1081159740884209e-06
0.2125,3.818757568384968e-06,2.4024553532874085e-06,1.3383308098634775e-06,4.4104923754117552e-07,-9.5684489350552181e-08,-1.5294146654224446e-06,-1.5208786063883579e-06
0.215,-7.4082015504825961e-08,-1.9317400669319382e-06,-2.9986942372314906e-06,-3.670118046515953e-06,-3.8142196846432051e-06,-4.1189027613212794e-06,-3.8489947797213423e-06
0.2175,-3.704276177492986e-06,-5.9953524507512491e-06,-6.865414364333401e-06,-7.2361190262371254e-06,-7.0787148543155498e-06,-6.3957554655414027e-06,-5.7385330467354364e-06
