Physical Time (s),enth_flux_enthalpy_right Monitor (W): right_cv1,enth_flux_enthalpy_right Monitor (W): right_cv2,enth_flux_enthalpy_right Monitor (W): right_cv3,enth_flux_enthalpy_right Monitor (W): right_cv4,enth_flux_enthalpy_right Monitor (W): right_cv5,enth_flux_enthalpy_right Monitor (W): right_cv6,enth_flux_enthalpy_right Monitor (W): right_cv7
0.28,-4.3682793540324528e-06,-1.6770372108189458e-06,-5.2356466912611686e-06,-6.9359871846740589e-06,-8.6089502551436658e-06,-1.0583647011903442e-05,-7.4433212709776029e-06
0.2825,-2.2506709727596476e-06,4.7083413667479844e-07,-3.3832668460913056e-06,-5.3860787646623209e-06,-7.2520028965675795e-06,-9.3655273243078236e-06,-6.1994636915101334e-06
0.285,-3.1446082102049141e-07,2.4250932411972018e-06,-1.6891234691393775e-06,-3.9269918725266885e-06,-5.9271812171779368e-06,-8.0694633383804671e-06,-4.8578031454323597e-06
0.2875,1.3409376948468501e-06,4.0929768167102848e-06,-2.0737610212310008e-07,-2.5910040522237066e-06,-4.6600022752602155e-06,-6.7424141366794734e-06,-3.497204242069256e-06
0.29,2.6525919666253959e-06,5.4201460904514958e-06,1.0371446985851142e-06,-1.3845900224860549e-06,-3.4456119628550498e-06,-5.3927293882684099e-06,-2.1872462477989746e-06
0.2925,3.5901833562968581e-06,6.3851695513540501e-06,2.0434265253500594e-06,-2.977629829593501e-07,-2.2610295937428582e-06,-4.0037910754988546e-06,-9.8262139049841452e-07
0.295,4.1500375830526276e-06,6.9903449372622885e-06,2.8227002586848363e-06,6.8366938482918186e-07,-1.080740739606023e-06,-2.5530500424049148e-06,7.8733043399880792e-08
0.2975,4.3461549047449967e-06,7.2535888228280008e-06,3.3904519787997482e-06,1.5699661796261535e-06,1.0889603290363908e-07,-1.0327728407250297e-06,9.76187340515707e-07
0.3,4.2041009449551001e-06,7.2012937728427299e-06,3.7602082096769314e-06,2.3620911964959535e-06,1.3008757928276124e-06,5.385670197136256e-07,1.7026888689559123e-06
0.3025,3.7545211510071904e-06,6.8632356306052614e-06,3.941710006536088e-06,3.0485134732106755e-06,2.4634525424987688e-06,2.1104813531896849e-06,2.2596751761782779e-06
0.305,3.0322094637168004e-06,6.2721741624593976e-06,3.9415396612593353e-06,3.6078930287445457e-06,3.5423853270181811e-06,3.6035855502524192e-06,2.6499072213198651e-06
0.3075,2.0768888555385066e-06,5.4637095884906205e-06,3.7672968818555489e-06,4.0147298909249901e-06,4.4716257627766671e-06,4.922277227592984e-06,2.8747030042331158e-06
0.31,9.3569216155883384e-07,4.482949885740889e-06,3.4339097855193113e-06,4.2469158448209734e-06,5.1867772003704976e-06,5.969965505505899e-06,2.9332920179724316e-06
0.3125,-3.3309546257648934e-07,3.384176936721727e-06,2.9650740185207141e-06,4.2925581739917485e-06,5.6366629433237035e-06,6.6699905544403588e-06,2.8251016782602913e-06
0.315,-1.6591496793578208e-06,2.2331136990694585e-06,2.3964098515220568e-06,4.1554463390612283e-06,5.7975899765140688e-06,6.9795462461811457e-06,2.5551645090720978e-06
0.3175,-2.9623495692548859e-06,1.1028867007538224e-06,1.7729729054323808e-06,3.8583212560940359e-06,5.6758428988571968e-06,6.898109890617931e-06,2.1378972910863041e-06
0.32,-4.1588207335248051e-06,6.7361483371075071e-08,1.1452558466722121e-06,3.4366228614559799e-06,5.3075528278220166e-06,6.4649955117180038e-06,1.6001120290436697e-06
0.3225,-5.1671938293511864e-06,-8.0407689571531127e-07,5.6347537393144127e-07,2.9362506147092939e-06,4.7520930635727151e-06,5.7530341603009407e-06,9.8180867077862315e-07
0.325,-5.9178709006352252e-06,-1.4541117436321997e-06,7.0400141533586794e-08,2.4054385345237062e-06,4.0806198128338072e-06,4.8551550132546146e-06,3.3346264231217714e-07
0.3275,-6.3598251538938482e-06,-1.8453967294123528e-06,-3.0296563666909305e-07,1.888461777795075e-06,3.3639049878417115e-06,3.8696456022620714e-06,-2.897052829551485e-07
0.33,-6.4678174076520217e-06,-1.9639236230715368e-06,-5.4103287969921165e-07,1.4185537961464998e-06,2.6606837837025786e-06,2.8852644556035652e-06,-8.351913103584476e-07
0.3325,-6.2463290656173791e-06,-1.8217629439514048e-06,-6.4608350241723299e-07,1.0127085635701589e-06,2.0074975175473591e-06,1.9680318844394179e-06,-1.2627439781816565e-06
0.335,-5.7272933353399383e-06,-1.4522890558356885e-06,-6.3518001251222517e-07,6.7115306887151636e-07,1.4164964990008572e-06,1.1534758639289019e-06,-1.5500702088984687e-06
0.3375,-4.9658314724404908e-06,-9.0511594210433756e-07,-5.3639317380321209e-07,3.799055751730653e-07,8.7830592759344328e-07,4.4865338124069963e-07,-1.6948038915814145e-06
0.34,-4.0340734368055688e-06,-2.4114254864282027e-07,-3.8589294294455175e-07,1.1426219648002791e-07,3.6742220292868834e-07,-1.6617520600320215e-07,-1.7159028793043687e-06
0.3425,-3.013520278984515e-06,4.7516345186855134e-07,-2.2146176943682297e-07,-1.5547924545061605e-07,-1.4919989054497246e-07,-7.2711225466030726e-07,-1.6488664541681624e-06
0.345,-1.9861136176840237e-06,1.1823051622940392e-06,-7.9293899046050944e-08,-4.564931594341748e-07,-7.0248111207085593e-07,-1.2778811645204919e-06,-1.5405806987726509e-06
0.3475,-1.0296810531844142e-06,1.8239158224664401e-06,9.4057302652153711e-09,-8.1040738593896366e-07,-1.3142042265625971e-06,-1.8585004243237808e-06,-1.4414253513141908e-06
0.35,-2.0941497479946399e-07,2.35357706434699e-06,2.2878900203881542e-08,-1.2276140493439866e-06,-1.9911135200086158e-06,-2.4971601622003619e-06,-1.3978136878503268e-06
