Physical Time (s),phi_vol Monitor (W): cv1,phi_vol Monitor (W): cv2,phi_vol Monitor (W): cv3,phi_vol Monitor (W): cv4,phi_vol Monitor (W): cv5,phi_vol Monitor (W): cv6,phi_vol Monitor (W): cv7
0.185,8.193133119520727e-07,7.0213638761540356e-08,8.116266161863555e-10,2.5784624768881066e-11,7.5743813411330958e-12,7.0311000038891857e-12,1.2163422766076785e-11
0.1875,8.189982574032053e-07,7.2528942054407734e-08,8.8792952404713013e-10,2.9438579136906835e-11,7.2936174142198154e-12,6.7130064805397286e-12,1.3598854010869025e-11
0.19,8.1790914855091137e-07,7.4819820645226778e-08,9.5648487644903214e-10,3.1578618975466127e-11,6.2797425588445236e-12,7.0966939932040549e-12,1.6523231162470973e-11
0.1925,8.1601516404819009e-07,7.7074746304472516e-08,1.0157526353416473e-09,3.2081500210762706e-11,5.198527133972122e-12,7.7860795908955817e-12,1.9147648536472179e-11
0.195,8.134996002072092e-07,7.9293613544419317e-08,1.0684096450947846e-09,3.154980814260921e-11,4.6757980858927655e-12,8.3084795066156737e-12,1.9564149433563848e-11
0.1975,8.1068838413150264e-07,8.1486178715259267e-08,1.1201938229656374e-09,3.0943318927891572e-11,4.9564957950634028e-12,8.5054245601832962e-12,1.7180766631088888e-11
0.2,8.0797984926128022e-07,8.366508292194222e-08,1.1769668141405851e-09,3.1103092334242278e-11,5.8720344693093437e-12,8.6739488284843819e-12,1.3148654667036145e-11
0.2025,8.0572235828053792e-07,8.5841890249910143e-08,1.2443785017014259e-09,3.2384379772972026e-11,7.0092876446363696e-12,9.1138216741684329e-12,9.2603386298948022e-12
0.205,8.0411815624316755e-07,8.8026698847420903e-08,1.3259791382860475e-09,3.4646028056734986e-11,7.9311589955219194e-12,9.775791392475984e-12,6.979847453073668e-12
0.2075,8.0319337253119002e-07,9.0222982049734189e-08,1.4221096363748282e-09,3.7540170521324579e-11,8.3986806658442123e-12,1.0238531647418611e-11,6.6404001536495628e-12
0.21,8.0279992106970233e-07,9.2425627424852847e-08,1.5299983342128361e-09,4.0711899543166093e-11,8.4095005515970927e-12,9.9962544355903931e-12,7.3805642275991419e-12
0.2125,8.0264860776750987e-07,9.4621910417084466e-08,1.6444445325917761e-09,4.3780152927291439e-11,8.0572387948137793e-12,8.8088500429897509e-12,7.8948817283852409e-12
0.215,8.0237022826791391e-07,9.6796031913859422e-08,1.7583172553320262e-09,4.6257020143711053e-11,7.4232472747070633e-12,6.867530372969819e-12,7.3374756500648713e-12
0.2175,8.0159622795886401e-07,9.8927680206221674e-08,1.8640760870624978e-09,4.7613869489434731e-11,6.5616985381026881e-12,4.695906274432913e-12,5.7637739895462567e-12
0.22,8.000420426616294e-07,1.0100265064358354e-07,1.9558867495315198e-09,4.7480188340658741e-11,5.5731277322466563e-12,2.9071925959913363e-12,3.9542482993606418e-12
0.2225,7.975672551350267e-07,1.030122996316027e-07,2.0311457448576637e-09,4.5852707762040508e-11,4.6468315528218955e-12,1.9497106590747818e-12,2.796409890438016e-12
0.225,7.9419523506143544e-07,1.049535600889504e-07,2.0907068585185888e-09,4.3132697472681572e-11,4.0053954310867371e-12,1.9482710798297339e-12,2.6921409552353566e-12
0.2275,7.9009329848325358e-07,1.0682929456623244e-07,2.138423544430825e-09,3.9942628761281018e-11,3.7724061951144038e-12,2.6766886098116493e-12,3.362279001435401e-12
0.23,7.855217531465949e-07,1.0864709675370224e-07,2.1800399340009632e-09,3.6883086856810905e-11,3.8788501619216799e-12,3.6626086990771301e-12,4.1352929903028356e-12
0.2325,7.8081325341704272e-07,1.1041715760440206e-07,2.221326583983437e-09,3.4423443514194209e-11,4.1239320077309828e-12,4.4821281443775614e-12,4.5380455836647459e-12
0.235,7.7628169770008996e-07,1.1215131974169238e-07,2.2673548504569142e-09,3.2894102503824116e-11,4.3145532712358063e-12,4.845561679896086e-12,4.4200534216711589e-12
0.2375,7.7215540948648408e-07,1.13861357824821e-07,2.3223717369274322e-09,3.2539974230237241e-11,4.3927916889086677e-12,4.6390113103324398e-12,3.939933095840334e-12
0.24,7.6857838948459157e-07,1.1555675746291053e-07,2.3885575795203554e-09,3.3517838016882857e-11,4.4829504392169679e-12,4.0151305098125475e-12,3.4396671202572565e-12
0.2425,7.6560404751837251e-07,1.1724369344366332e-07,2.465705187755287e-09,3.5770284651182879e-11,4.7789854098071577e-12,3.2838440356217073e-12,3.1839902286333676e-12
0.245,7.6320160822658276e-07,1.1892413719896993e-07,2.5518602019574513e-09,3.893543498704509e-11,5.3791680916864105e-12,2.7618626039962982e-12,3.2469222044261176e-12
0.2475,7.6127898395866756e-07,1.2059734716535628e-07,2.6435873138248242e-09,4.2421190526284032e-11,6.2075432906406944e-12,2.6624928135473257e-12,3.5490837800674387e-12
0.25,7.5971161058736619e-07,1.2225864509360603e-07,2.7368741690150914e-09,4.5627519011608741e-11,7.067236565363285e-12,3.0543867565603509e-12,3.9473026024133191e-12
0.2525,7.5837419268204003e-07,1.2390185563327952e-07,2.8279864057287692e-09,4.8181490720666054e-11,7.7753200748905295e-12,3.8747161656573259e-12,4.3056378382420684e-12
0.255,7.5716358001308174e-07,1.2552111715167581e-07,2.9143667312138142e-09,5.0041766597646524e-11,8.2650124906562397e-12,4.9719824856409813e-12,4.5312059502371829e-12
0.2575,7.5601320192784918e-07,1.2711343720394291e-07,2.995065844450152e-09,5.1431517258585927e-11,8.5827982160849672e-12,6.1500566169128997e-12,4.6029474161819922e-12
0.26,7.5489649268580906e-07,1.2867889008625374e-07,3.0707043404904694e-09,5.266405870146514e-11,8.8118878074502904e-12,7.1967397130948306e-12,4.5785021002238735e-12
0.2625,7.5381983713572681e-07,1.3021947856718657e-07,3.1431495571636638e-09,5.3995324800710054e-11,8.9883446943955124e-12,7.9043253783230299e-12,4.5607158021221589e-12
0.265,7.5281096517678603e-07,1.3174039304648603e-07,3.214867453936149e-09,5.555911164541094e-11,9.0822389296136258e-12,8.1015018707249561e-12,4.62275085212111e-12
0.2675,7.5190295971436354e-07,1.332491769592794e-07,3.2881826943561774e-09,5.7404896621517998e-11,9.0483407344770129e-12,7.7129776588314326e-12,4.7383743576146869e-12
0.27,7.5111959733830288e-07,1.3474975378595151e-07,3.3645942987140584e-09,5.9561379460350271e-11,8.8942850106455976e-12,6.8248806323564252e-12,4.78921643198659e-12
0.2725,7.5046132317908145e-07,1.3624645667904694e-07,3.4443768739776894e-09,6.2051424666437308e-11,8.6953442590792091e-12,5.6637196867156262e-12,4.6584410484765965e-12
0.275,7.4989906433298591e-07,1.3774072691325605e-07,3.5264141406902891e-09,6.4860950200230378e-11,8.557813665766037e-12,4.5188388267830172e-12,4.3344333160252976e-12
