Physical Time (s),ew_left Monitor (W)
1.5125,-2.3014949694566364e-18
1.515,-2.4193097912502487e-18
1.5175,-2.5313909819000141e-18
1.52,-2.6360578487602196e-18
1.5225,-2.7310974962228628e-18
1.525,-2.8151025936954873e-18
1.5275,-2.8869500769743939e-18
1.53,-2.9458520794768289e-18
1.5325,-2.9917256289465776e-18
1.535,-3.0247835406074947e-18
1.5375,-3.0456092061535855e-18
1.54,-3.054963027685655e-18
1.5425,-3.0542391822482952e-18
1.545,-3.0446674508422476e-18
1.5475,-3.0277016968927768e-18
1.55,-3.0047158549077463e-18
1.5525,-2.9774818588475702e-18
1.555,-2.9472574372619789e-18
1.5575,-2.9154832346657967e-18
1.56,-2.8839953186805113e-18
1.5625,-2.8547765805053199e-18
1.565,-2.8294660529913452e-18
1.5675,-2.8098201108246316e-18
1.57,-2.7976854330934983e-18
1.5725,-2.7945357200102501e-18
1.575,-2.8017054979412131e-18
1.5775,-2.820729257632644e-18
1.58,-2.8522208557505495e-18
1.5825,-2.8962016327592688e-18
1.585,-2.9517570695923832e-18
1.5875,-3.0180950385532366e-18
1.59,-3.0949118364202426e-18
1.5925,-3.1803510950364468e-18
1.595,-3.2736182379650668e-18
1.5975,-3.3733673671820121e-18
1.6,-3.4780694165350799e-18
1.6025,-3.5844450406255396e-18
1.605,-3.6919481892840019e-18
1.6075,-3.7990660268916548e-18
1.61,-3.9036632052532789e-18
1.6125,-4.0058514957896169e-18
1.615,-4.1031605563228789e-18
1.6175,-4.1938736920523323e-18
1.62,-4.2768837341693263e-18
1.6225,-4.3509436410879917e-18
1.625,-4.4143392828209133e-18
1.6275,-4.4648704376923951e-18
1.63,-4.5013011775518856e-18
1.6325,-4.5224672582147012e-18
1.635,-4.5274638912872226e-18
1.6375,-4.5157407968406342e-18
1.64,-4.4876811580761217e-18
1.6425,-4.444501553694033e-18
1.645,-4.3880253173715244e-18
1.6475,-4.3197941111160695e-18
1.65,-4.2407912926517869e-18
1.6525,-4.1524165487290105e-18
1.655,-4.0561664213631859e-18
1.6575,-3.9538003414051228e-18
1.66,-3.8463740839664805e-18
1.6625,-3.7354523844820925e-18
1.665,-3.6220328955925241e-18
1.6675,-3.5072592407163383e-18
1.67,-3.3925582825468644e-18
1.6725,-3.2793335784183728e-18
1.675,-3.1674741234593839e-18
1.6775,-3.0574668536086028e-18
1.68,-2.9502912186364293e-18
1.6825,-2.8469342867512397e-18
1.685,-2.7474534273312237e-18
1.6875,-2.6524969323605749e-18
1.69,-2.562152504438805e-18
1.6925,-2.4778164192119455e-18
1.695,-2.3987580161065798e-18
1.6975,-2.3260816733734894e-18
1.7,-2.2586537233341495e-18
1.7025,-2.1970352642585924e-18
1.705,-2.1407608206733695e-18
1.7075,-2.089204351222299e-18
1.71,-2.0416849022663982e-18
1.7125,-1.9975438560802824e-18
1.715,-1.9562221528031675e-18
1.7175,-1.9178094968874968e-18
1.72,-1.8811427723907732e-18
1.7225,-1.8455770292137647e-18
1.725,-1.8112270587758412e-18
1.7275,-1.7772053632741885e-18
1.73,-1.7434785821992837e-18
1.7325,-1.7093068331385203e-18
1.735,-1.6741940284911575e-18
1.7375,-1.6379698717509738e-18
1.74,-1.6003595649527336e-18
1.7425,-1.560963280642955e-18
1.745,-1.5194466046656437e-18
1.7475,-1.475716838642611e-18
1.75,-1.4295812330700731e-18
1.7525,-1.3809246579414467e-18
1.755,-1.3296220022626508e-18
1.7575,-1.2758399477768021e-18
1.76,-1.2195757544563249e-18
1.7625,-1.1611989568077393e-18
1.765,-1.1011899400467839e-18
1.7675,-1.0400461926576215e-18
1.77,-9.7777294805770753e-19
1.7725,-9.1503672760399962e-19
1.775,-8.5235295284581128e-19
1.7775,-7.9011713021972973e-19
1.78,-7.2868191230629283e-19
1.7825,-6.6851639199444189e-19
1.785,-6.100336771525235e-19
1.7875,-5.5351380273206926e-19
1.79,-4.9933573472211273e-19
1.7925,-4.479436970719138e-19
1.795,-3.9956861299401526e-19
1.7975,-3.5477562333154887e-19
1.8,-3.1368686853378022e-19
1.8025,-2.7569263405587965e-19
1.805,-2.4167526360993195e-19
