Physical Time (s),xth_top Monitor (W): top_cv1,xth_top Monitor (W): top_cv2,xth_top Monitor (W): top_cv3,xth_top Monitor (W): top_cv4,xth_top Monitor (W): top_cv5,xth_top Monitor (W): top_cv6,xth_top Monitor (W): top_cv7
0.22,-2.2661525817373145e-19,-8.8964661829072994e-20,3.6230033896887878e-19,-2.3782573357388289e-19,6.5915072965521901e-20,-9.6931374251659141e-21,-4.1599786457412531e-20
0.2225,-1.23048221555762e-19,-1.3866811734410166e-19,-2.6385526026939024e-19,6.1421914635329832e-20,-2.9696365852464498e-20,9.7354684480422896e-21,-1.3427423266396465e-20
0.225,-2.6686825956708129e-20,-6.3042919765317091e-20,7.3846579128765062e-19,-3.5524673557239458e-19,-2.0168630482637984e-20,-2.5459721634705817e-21,-1.052588190484519e-20
0.2275,-4.7808656460187327e-19,-6.5705195606457462e-20,-2.6590460288332533e-19,-1.4756856310260097e-19,-2.7615016682711874e-20,-4.6625782801776795e-20,-5.5786289612806495e-20
0.23,6.0656256815414252e-19,-2.009669424564744e-19,5.6016166229400083e-19,2.1287032015453649e-20,-5.7020580712431987e-21,-1.2644186670016518e-20,4.9056175324253989e-20
0.2325,-4.6809260987504995e-19,1.7176697024279162e-19,-5.4333847632508699e-19,-1.4440134215143182e-19,1.5306710299762208e-20,1.2831457534008607e-21,1.6103873338619792e-20
0.235,3.5478119015650043e-19,1.8674319075308388e-19,1.1573304474175909e-19,5.3017510062360637e-21,3.4539950020631069e-21,-1.0107141778348639e-19,2.2797261209210536e-20
0.2375,6.8713127131781266e-19,-2.5648434303299177e-19,-2.1627670080334966e-19,-6.4999298589426301e-20,1.1182274139464581e-19,2.0810553605272176e-19,4.5675878856372734e-20
0.24,4.0568789544234162e-19,4.1071527152442728e-21,-2.7269518801935093e-19,-6.1305847356730993e-20,1.8258818112052335e-19,-5.8804208520753434e-21,-1.0276326889338398e-19
0.2425,5.0285709059289107e-19,-4.2771442454245716e-20,-1.4478724723436908e-20,3.8027045826048471e-20,-9.8523632271006863e-20,-2.4352366647040973e-20,1.6095080697863905e-20
0.245,-7.2830771029531425e-19,7.9008378391565247e-20,-4.7181666314282861e-19,-1.3132481914953005e-19,-8.4209155897772088e-21,-9.0329089594437463e-20,-1.1859049079749662e-20
0.2475,4.0034423117363441e-19,-9.9040522782839825e-20,3.3960340153392886e-19,2.1504412736011688e-19,-4.519730905604832e-20,6.0916628071517845e-21,-3.8681480200474481e-21
0.25,-1.741984419508963e-19,-1.5242561793811295e-20,-3.1336186427235757e-19,2.0700454093187701e-19,-6.3064080810847697e-20,-1.1844044164314014e-21,-3.6272288542217398e-20
0.2525,1.1454297125735311e-18,-1.6489848924846156e-19,-1.1789744180663655e-19,-8.0939544346216622e-20,1.528329126807948e-20,-3.732747669212058e-21,3.960170961499336e-20
