Physical Time (s),ep_right Monitor (W): right_cv1,ep_right Monitor (W): right_cv2,ep_right Monitor (W): right_cv3,ep_right Monitor (W): right_cv4,ep_right Monitor (W): right_cv5,ep_right Monitor (W): right_cv6,ep_right Monitor (W): right_cv7
0.195,8.1499035381442999e-09,2.1877581867920453e-08,1.1108991109256933e-08,-2.1029208340151456e-09,-6.9037390747072311e-09,-5.8450061032104774e-10,4.1342112250746753e-09
0.1975,7.4806374752705898e-09,2.1868392174598114e-08,1.0646156230012363e-08,-1.1877349287235621e-09,-4.4058178838246897e-09,1.2189078131424976e-11,2.4599545141904598e-09
0.2,1.8349701160541942e-08,2.2060491659010428e-08,9.5336384427599091e-09,3.7862046813984979e-10,-1.5520103378819513e-09,1.3382607514722174e-10,-6.9499291656092937e-11
0.2025,3.7877273331114218e-08,2.210780380391969e-08,8.1949565966531968e-09,1.8842696627252614e-09,6.6963766048677934e-10,-4.0770756302003447e-10,-2.4941520541885105e-09
0.205,6.1143198328969184e-08,2.153159497532732e-08,6.8028680793107528e-09,2.6496927835033843e-09,1.6604270477786273e-09,-1.4635099956954528e-09,-3.9651039826247829e-09
0.2075,8.2702955743603135e-08,1.9704980075494988e-08,5.2196467537210237e-09,2.3535459789390737e-09,1.3834831908286296e-09,-2.6168841691104846e-09,-4.1517706730349876e-09
0.21,9.7872591541728356e-08,1.5912743536884299e-08,3.2058693627325823e-09,1.1278438578077703e-09,2.5842919742138227e-10,-3.4098368195205142e-09,-3.3285332639237324e-09
0.2125,1.0392019111294693e-07,9.6078997432178661e-09,6.7869456432589643e-10,-5.7491651003612988e-10,-1.1275202117745183e-09,-3.5776592658771528e-09,-2.1147248695426836e-09
0.215,1.0023260766262629e-07,7.497290179810086e-10,-2.1541492026101058e-09,-2.235034098153378e-09,-2.305717190027504e-09,-3.1540076756451203e-09,-1.0622073634170908e-09
0.2175,8.848345614865436e-08,-1.0046413795055386e-08,-4.8855514578410659e-09,-3.4908719370562957e-09,-3.0681945793727134e-09,-2.4067039997912308e-09,-3.7512288164718838e-10
0.22,7.1770660278338877e-08,-2.1519808219655087e-08,-7.1279853567549162e-09,-4.2342330182407634e-09,-3.4354005940213322e-09,-1.6596502653757762e-09,7.2789826917111874e-11
0.2225,5.4211851813268683e-08,-3.2117488058039868e-08,-8.6931743255486956e-09,-4.5639836741284342e-09,-3.5304121677914252e-09,-1.1375780791898182e-09,4.9181840316544398e-10
0.225,4.069481995586293e-08,-4.0429136493964635e-08,-9.6407376969381769e-09,-4.6619955763946344e-09,-3.4653576645900534e-09,-8.916559868263266e-10,9.3401356239418898e-10
0.2275,3.592589602148237e-08,-4.5559764686121393e-08,-1.0194283569048211e-08,-4.6775656239871428e-09,-3.2829990754816442e-09,-8.2837073878063082e-10,1.2358350483447192e-09
0.23,4.3695385113609858e-08,-4.7184607818537613e-08,-1.06217357727439e-08,-4.6813038143779838e-09,-2.9569910255846095e-09,-7.8978388221991356e-10,1.1645438186724763e-09
0.2325,6.6015859195142658e-08,-4.5483029159214484e-08,-1.1115588226126721e-08,-4.6859716738803327e-09,-2.4337133931621132e-09,-6.311330506548546e-10,6.3835705266318775e-10
0.235,1.0261963393619048e-07,-4.0967177927080055e-08,-1.1711951395172083e-08,-4.7076667540643879e-09,-1.7044234827249058e-09,-2.7844970727659842e-10,-1.7171376238386563e-10
0.2375,1.5078683917301808e-07,-3.4206440816564924e-08,-1.2232028151202874e-08,-4.7838492522280167e-09,-8.6463796239754954e-10,2.5907890679930088e-10,-9.3493606616681914e-10
0.24,2.0584673206295825e-07,-2.5786248496034604e-08,-1.2279101487604088e-08,-4.9244078324967971e-09,-1.2514812829877821e-10,9.0710778003624118e-10,-1.3407876521681309e-09
0.2425,2.6205669668611038e-07,-1.6301919546676275e-08,-1.1342401391297653e-08,-5.0317269408764276e-09,2.6129643830976491e-10,1.5480890617998926e-09,-1.2522349515859946e-09
0.245,3.1404085714929216e-07,-6.4146499016852894e-09,-8.9904422709783154e-09,-4.8625518300199127e-09,1.4515232286476625e-10,2.0472849691545499e-09,-7.4193459108375768e-10
0.2475,3.5773682447504238e-07,3.1987214602830469e-09,-5.0781849590782554e-09,-4.0902407823497942e-09,-3.8452120617235302e-10,2.2791055817023982e-09,-1.7197216592766065e-11
0.25,3.9105221697754404e-07,1.1883679995692642e-08,1.280633270186063e-10,-2.4459217918495586e-09,-9.761917563005653e-10,2.1616046894085382e-09,6.964669888684159e-10
0.2525,4.1408222898232237e-07,1.9097992786522767e-08,5.9904253200747893e-09,1.1716843261458102e-10,-1.1486447755165802e-09,1.6993750407495745e-09,1.2391938355163435e-09
0.255,4.2871128407978053e-07,2.4508214098278608e-08,1.1669458335687462e-08,3.3441988280708056e-09,-5.2153650445172554e-10,1.0139296517032109e-09,1.53744562297724e-09
0.2575,4.3809504818481504e-07,2.7967411455526808e-08,1.6366350466859359e-08,6.7335302277606959e-09,9.8835605675552789e-10,3.33407260109175e-10,1.5771476680309758e-09
0.26,4.4569736025461432e-07,2.9515926491858282e-08,1.9507449187324028e-08,9.6947519482361958e-09,3.1205812451256914e-09,-7.5688921663770685e-11,1.3667196338207754e-09
0.2625,4.5446000392219597e-07,2.928349173532146e-08,2.0829869983688574e-08,1.1743334588564058e-08,5.3941829997002932e-09,-1.3451380934430277e-11,9.1929394660119805e-10
0.265,4.6614856296946161e-07,2.7418524795300337e-08,2.0357259193292394e-08,1.2633958854032062e-08,7.3179337321747882e-09,5.663745070778507e-10,2.6456953408832081e-10
0.2675,4.8099994327356521e-07,2.4005350884187139e-08,1.8333965227913424e-08,1.240019230569496e-08,8.5684583870604566e-09,1.5366547411882066e-09,-5.1812089411191369e-10
0.27,4.9767495992746171e-07,1.9075954617233008e-08,1.5157842727606707e-08,1.1298367008244321e-08,9.0611611533633281e-09,2.6529700206489677e-09,-1.2794069561498793e-09
0.2725,5.1376533964125604e-07,1.2632116917617719e-08,1.1315277222985974e-08,9.693976738352889e-09,8.9050595153780504e-09,3.6563861107971807e-09,-1.8134855588519372e-09
0.275,5.2638620113473814e-07,4.7364645443588443e-09,7.3097466725134112e-09,7.939755162643119e-09,8.2969363126091502e-09,4.365498764507512e-09,-1.9212175599834307e-09
0.2775,5.3306078961434388e-07,-4.4320719154602631e-09,3.5959667589856205e-09,6.2904780192427015e-09,7.418161587166144e-09,4.7131292752122024e-09,-1.4898977904999063e-09
0.28,5.3221471062133113e-07,-1.4495850962739656e-08,5.0626846828423195e-10,4.8708555322371075e-09,6.3831885201787291e-09,4.7292130241418384e-09,-5.5514358116021318e-10
0.2825,5.2376101888199329e-07,-2.4892491255511264e-08,-1.7812913925625763e-09,3.6939658777046512e-09,5.2383149247539173e-09,4.4978707187177557e-09,6.9353378043310129e-10
0.285,5.0928979892594845e-07,-3.4908520075774513e-08,-3.2480479967001275e-09,2.7089011686739377e-09,3.9977371582999594e-09,4.1178707932856875e-09,1.9697714607794992e-09
0.2875,4.9179766028425534e-07,-4.3784226064773122e-08,-3.9999025728465323e-09,1.8556828000206071e-09,2.6907885056829172e-09,3.6744359509628584e-09,2.9840637073363328e-09
0.29,4.7505079807366481e-07,-5.0836381924253929e-08,-4.2010404783597718e-09,1.1101635374850728e-09,1.3989332700708531e-09,3.2200086620761499e-09,3.5289674828332884e-09
0.2925,4.6301084754766452e-07,-5.553671256215746e-08,-4.0329511905360477e-09,5.0341340375458869e-10,2.6735461900601518e-10,2.7620971059376916e-09,3.522276133792178e-09
0.295,4.5906475698637053e-07,-5.7637546749578297e-08,-3.6518429325477139e-09,1.09595551475668e-10,-5.1822311891373539e-10,2.263126485678328e-09,3.0001548559498032e-09
0.2975,4.654956224611082e-07,-5.7131694927847328e-08,-3.177086645344568e-09,5.709884191707238e-12,-7.9004954918610953e-10,1.6624185519602029e-09,2.0745926708781966e-09
0.3,4.8314807134500634e-07,-5.4231562027249889e-08,-2.695557544249424e-09,2.2161245216880822e-10,-4.7437787213941641e-10,9.1467702525432058e-10,8.9037946855031272e-10
0.3025,5.113458322043394e-07,-4.9291544222141335e-08,-2.2711714357382256e-09,7.0056555197829686e-10,3.4850900565310778e-10,2.9333637402560541e-11,-4.0642877381081536e-10
0.305,5.4828511227190742e-07,-4.2735382169741149e-08,-1.9526858135908894e-09,1.2890853503404933e-09,1.4326635327960013e-09,-9.1111159052921839e-10,-1.6691908065149338e-09
0.3075,5.9129466932203408e-07,-3.4996634055344969e-08,-1.7744067288045648e-09,1.7647414103045356e-09,2.4224331752972176e-09,-1.77232744852112e-09,-2.7478950729991577e-09
0.31,6.3730574429118356e-07,-2.651008040719933e-08,-1.7561649536011246e-09,1.8930484623874645e-09,2.9570005123800662e-09,-2.4134111851268288e-09,-3.4871250597416968e-09
0.3125,6.834500211952184e-07,-1.7698959074152466e-08,-1.903096671611e-09,1.4949895407760685e-09,2.7861821378136508e-09,-2.7398254054054775e-09,-3.7494638067773091e-09
0.315,7.272539974326981e-07,-9.0237692665924791e-09,-2.2118797053152942e-09,4.9908852895041073e-10,1.8521698447135596e-09,-2.7315400642402669e-09,-3.4565687028990817e-09
0.3175,7.6686062257804441e-07,-9.6448230647205475e-10,-2.6768669822935508e-09,-1.0366600470729069e-09,2.9833726296823653e-10,-2.4364620999927766e-09,-2.630487106693543e-09
0.32,8.0111255445035445e-07,5.9639372802695813e-09,-3.2961492231591093e-09,-2.9406439505904137e-09,-1.5858617525062903e-09,-1.9389296629586098e-09,-1.4133120292788665e-09
0.3225,8.2936715373553558e-07,1.1248064028701167e-08,-4.0626402745401501e-09,-4.9694211123080926e-09,-3.4619833414334309e-09,-1.3278660896207886e-09,-4.3655256465753139e-11
0.325,8.5130979286047997e-07,1.4439912635774168e-08,-4.949928969229788e-09,-6.8611752164559152e-09,-5.0357752046917559e-09,-6.7901732711287444e-10,1.2052791304806151e-09
0.3275,8.6679751680546395e-07,1.5198400502774809e-08,-5.9033011794299819e-09,-8.3846494066769302e-09,-6.1157225893783864e-09,-5.3857570591154061e-11,2.1037567576821583e-09
0.33,8.7578329758284064e-07,1.3335228861078459e-08,-6.8414421560267695e-09,-9.371869869865717e-09,-6.6262926916092361e-09,4.9322346664604548e-10,2.5275573610160554e-09
0.3325,8.7827697450895153e-07,8.8737438260809253e-09,-7.6625979744678856e-09,-9.7299624935882366e-09,-6.5847726816464283e-09,9.0891360698517055e-10,2.4789800811727287e-09
0.335,8.7441527727547659e-07,2.0229510850640566e-09,-8.2691378884792356e-09,-9.4363169774769169e-09,-6.0626892204181788e-09,1.1463832358923384e-09,2.0610955769343193e-09
0.3375,8.6447806055647267e-07,-6.8195900747212257e-09,-8.5847995138375217e-09,-8.5264717967459372e-09,-5.1536139408655003e-09,1.1733626187583767e-09,1.4272690156713342e-09
0.34,8.4919881605563471e-07,-1.7122874577385025e-08,-8.5690653287722879e-09,-7.0832334560979842e-09,-3.9537480461849009e-09,9.7951717034499589e-10,7.2566787325590775e-10
0.3425,8.2958044522586829e-07,-2.8255042692325656e-08,-8.223277506637922e-09,-5.224976403410131e-09,-2.556791468418752e-09,5.8349177054835296e-10,6.3759116271816385e-11
0.345,8.0711548714513966e-07,-3.9559909031584018e-08,-7.5861115086853005e-09,-3.106135905489808e-09,-1.0609824584484685e-09,3.2200504943146245e-11,-5.0492291216027077e-10
0.3475,7.836212857257314e-07,-5.0380007045627948e-08,-6.7162205468625912e-09,-9.0372610011111066e-10,4.2459299904471993e-10,-6.0245352899547965e-10,-9.7006392115313273e-10
0.35,7.6111973423437266e-07,-6.0084271531120483e-08,-5.6966591068274034e-09,1.1871297532153624e-09,1.7773991340601982e-09,-1.2316918416321157e-09,-1.3456164926510851e-09
0.3525,7.4173044933053528e-07,-6.8121622294281399e-08,-4.6050145464893009e-09,2.9724355275358197e-09,2.8678494992953447e-09,-1.761151020261927e-09,-1.6439819233031514e-09
0.355,7.272947959165937e-07,-7.403264296746614e-08,-3.5185823153399279e-09,4.2844577765992855e-09,3.5775511929685461e-09,-2.1080443003586901e-09,-1.8611590318895018e-09
0.3575,7.1933187706938741e-07,-7.7486454128992228e-08,-2.5041127802099553e-09,5.0064072636271217e-09,3.8223160368857058e-09,-2.2206195250132043e-09,-1.9701165114726687e-09
0.36,7.188265206832954e-07,-7.8315773801965932e-08,-1.6145203950744964e-09,5.1019915706050423e-09,3.5739901351313665e-09,-2.0942252275185034e-09,-1.92610266434852e-09
0.3625,7.2622219186246552e-07,-7.6504714124799588e-08,-8.7787518532307682e-10,4.6229346978801372e-09,2.8767582236504426e-09,-1.7746297462006594e-09,-1.6865311787604949e-09
0.365,7.413719378814685e-07,-7.2181275936872658e-08,-3.0142544063684999e-10,3.7042398705541714e-09,1.847905229506285e-09,-1.3451851181071322e-09,-1.2348431777170638e-09
0.3675,7.6352721595536435e-07,-6.5645377291244637e-08,1.2992434834924279e-10,2.5440548829947209e-09,6.6396915706276386e-10,-9.0334446867248137e-10,-6.0455330435374993e-10
0.37,7.9149534089950547e-07,-5.732296751130311e-08,4.5160963237353817e-10,1.3645367955164748e-09,-4.7000714400496719e-10,-5.3201689522351962e-10,1.1328247692837771e-10
