Physical Time (s),ev_left Monitor (W)
0.8575,-8.5719983496627407e-10
0.86,-8.5524869691039399e-10
0.8625,-8.5216567174201519e-10
0.865,-8.4799989409652895e-10
0.8675,-8.4283484239940769e-10
0.87,-8.3679242404691786e-10
0.8725,-8.3002923078126522e-10
0.875,-8.2273561816909643e-10
0.8775,-8.1513073950265336e-10
0.88,-8.0745136232181295e-10
0.8825,-7.999406851325534e-10
0.885,-7.9283856139000084e-10
0.8875,-7.8637393172671076e-10
0.89,-7.8075539742399794e-10
0.8925,-7.7616314184264476e-10
0.895,-7.7275019890274089e-10
0.8975,-7.7063957841640504e-10
0.9,-7.6992618061981687e-10
0.9025,-7.7066821701517389e-10
0.905,-7.7289267266009054e-10
0.9075,-7.7659829364391012e-10
0.91,-7.8174479742128048e-10
0.9125,-7.8825385684897113e-10
0.915,-7.9601491322546339e-10
0.9175,-8.0488014724652715e-10
0.92,-8.1466270882541907e-10
0.9225,-8.251417909245219e-10
0.925,-8.360624558929156e-10
0.9275,-8.4714113529445998e-10
0.93,-8.5807506213965663e-10
0.9325,-8.6855369424405296e-10
0.935,-8.7827644762275529e-10
0.9375,-8.8696094770076556e-10
0.94,-8.9436477314090234e-10
0.9425,-9.0029431071941466e-10
0.945,-9.0461962393068792e-10
0.9475,-9.0727925569215318e-10
0.95,-9.0828717220116461e-10
0.9525,-9.0772576524721015e-10
0.955,-9.0574394838569203e-10
0.9575,-9.0254506540535385e-10
0.96,-8.9837175808978039e-10
0.9625,-8.9349079116744651e-10
0.965,-8.8817549110379343e-10
0.9675,-8.8269157762639033e-10
0.97,-8.7728239587984525e-10
0.9725,-8.7215597422849265e-10
0.975,-8.6747839254018796e-10
0.9775,-8.6336791412756238e-10
0.98,-8.5989526534146026e-10
0.9825,-8.5709707903545642e-10
0.985,-8.5496804032820164e-10
0.9875,-8.5347695709350895e-10
0.99,-8.5256699532052405e-10
0.9925,-8.521813218211917e-10
0.995,-8.5226861024509745e-10
0.9975,-8.5278769310769663e-10
1.0,-8.5371429690819322e-10
1.0025,-8.5502940773274421e-10
1.005,-8.567262683619992e-10
1.0075,-8.5880945595679238e-10
1.01,-8.6129288133707691e-10
1.0125,-8.6418798801119387e-10
1.015,-8.6749743472578901e-10
1.0175,-8.7121288259350667e-10
1.02,-8.7531693209087251e-10
1.0225,-8.7978411827518344e-10
1.025,-8.8458275313754064e-10
1.0275,-8.8967080504755715e-10
1.03,-8.9500270017203552e-10
1.0325,-9.0052890047521501e-10
1.035,-9.0619605570081051e-10
1.0375,-9.1194869190645413e-10
1.04,-9.177372847349192e-10
1.0425,-9.2349102399395895e-10
1.045,-9.2912711023166798e-10
1.0475,-9.3455274303391118e-10
1.05,-9.3967059541164828e-10
1.0525,-9.4437281533228873e-10
1.055,-9.4853789763912134e-10
1.0575,-9.5203839492004094e-10
1.06,-9.5474514192795855e-10
1.0625,-9.5653581404305104e-10
1.065,-9.5730473227677656e-10
1.0675,-9.5696705438660346e-10
1.07,-9.5547179660398949e-10
1.0725,-9.5280850588812025e-10
1.075,-9.4901103184284886e-10
1.0775,-9.4416292585103182e-10
1.08,-9.384018408407041e-10
1.0825,-9.3191052322131322e-10
1.085,-9.249018121648826e-10
1.0875,-9.1760486621313572e-10
1.09,-9.102558834368071e-10
1.0925,-9.0308876468003238e-10
1.095,-8.9633081211557628e-10
1.0975,-8.9019123119285711e-10
1.1,-8.8485130811185245e-10
1.1025,-8.8047308158294269e-10
1.105,-8.7719041264909918e-10
1.1075,-8.7510140379553834e-10
1.11,-8.7426713268323882e-10
1.1125,-8.7470774965260366e-10
1.115,-8.7640312477238549e-10
1.1175,-8.7929552548012124e-10
1.12,-8.8329604972726648e-10
1.1225,-8.8829170314100741e-10
1.125,-8.9414493084119038e-10
1.1275,-9.0069462701556271e-10
1.13,-9.0776037398424019e-10
1.1325,-9.1514910628443172e-10
1.135,-9.22659342126033e-10
1.1375,-9.3008768360047034e-10
1.14,-9.3723371242417424e-10
1.1425,-9.4390523406566545e-10
1.145,-9.499213999003725e-10
1.1475,-9.5511601043521189e-10
1.15,-9.5934542042433773e-10
1.1525,-9.6249811086547824e-10
1.155,-9.6450475432073905e-10
1.1575,-9.6533657470587095e-10
1.16,-9.6500424547465492e-10
1.1625,-9.6355414965429861e-10
1.165,-9.610629481299383e-10
