Physical Time (s),ev_right Monitor (W): right_cv1,ev_right Monitor (W): right_cv2,ev_right Monitor (W): right_cv3,ev_right Monitor (W): right_cv4,ev_right Monitor (W): right_cv5,ev_right Monitor (W): right_cv6,ev_right Monitor (W): right_cv7
0.3125,1.3702247409471921e-07,1.926458126660893e-08,5.5452828845175889e-10,6.7691794658150742e-11,1.9154868600902343e-11,7.2022757989778393e-12,7.1305077327206869e-13
0.315,1.3403090671635508e-07,1.9627644490164319e-08,5.5787416721233601e-10,6.1192572751664615e-11,1.4018699997469583e-11,4.1250782243454225e-12,4.9830743065583537e-13
0.3175,1.313146033237218e-07,2.0139455652090345e-08,5.7458681531767743e-10,5.6603227122807898e-11,9.6078375700855271e-12,1.494744183025881e-12,2.1912587352016971e-13
0.32,1.2882501429236765e-07,2.0785043274221114e-08,6.0590513883200814e-10,5.4790106138197035e-11,6.5366396650139425e-12,1.505848363437553e-13,2.7852418882865085e-14
0.3225,1.2651280269739339e-07,2.1541956113650644e-08,6.5204219590780189e-10,5.6273670222679317e-11,4.8642816529532736e-12,1.4478713886287775e-13,2.4168632355432362e-14
0.325,1.2433117264437694e-07,2.238177370697663e-08,7.1196201407412668e-10,6.1313863234630963e-11,4.3958876161294322e-12,8.4608834945244666e-13,1.868310658327351e-13
0.3275,1.2223583912657839e-07,2.3271710961554649e-08,7.8319725033537262e-10,6.9900896709843879e-11,4.9945555432639305e-12,1.4290933279583384e-12,3.9043031950989551e-13
0.33,1.2018448446232479e-07,2.4176528347348052e-08,8.6180666217015689e-10,8.1633519055440671e-11,6.682282678529078e-12,1.4068985798991391e-12,4.9477909478789369e-13
0.3325,1.1813660116638303e-07,2.5061151734055753e-08,9.4266812387092724e-10,9.5583020410365936e-11,9.496903207730176e-12,8.6448733155689507e-13,4.3930311757654104e-13
0.335,1.1605322006214963e-07,2.5893034444118882e-08,1.0200504740915234e-09,1.1028722600073803e-10,1.3249118544986943e-11,2.8093500232686922e-13,2.7243963389287804e-13
0.3375,1.1389552759718309e-07,2.6644209439041804e-08,1.0883666813042942e-09,1.2394177559978766e-10,1.7385302840558139e-11,1.163627343831642e-13,1.0275596538365099e-13
0.34,1.1162806082115932e-07,2.7292570977741258e-08,1.1429107072188246e-09,1.3475917480638029e-10,2.1073968034496496e-11,4.7258129122400834e-13,1.540677102104031e-14
0.3425,1.0922063891590428e-07,2.7822579900889147e-08,1.1804620355295401e-09,1.4138095524135168e-10,2.348434856401382e-11,1.0540013355027651e-12,1.8768164851088204e-14
0.345,1.0665130480460918e-07,2.822552961213379e-08,1.1995588190600586e-09,1.4317170700570273e-10,2.4099628246169695e-11,1.4216029281989195e-12,5.6985675886683161e-14
0.3475,1.0391045433170541e-07,2.8499302587160932e-08,1.2005351778597658e-09,1.4031626770180871e-10,2.2902194689633912e-11,1.3232492310766277e-12,6.873191625660172e-14
0.35,1.0100259141247968e-07,2.8648150336046803e-08,1.1852371220918189e-09,1.3369469156233814e-10,2.0342637050942869e-11,8.5341857085686092e-13,3.9519055291423026e-14
0.3525,9.7949405008814052e-08,2.8682718211659368e-08,1.1566786409041538e-09,1.2461410927089391e-10,1.7129972888048801e-11,3.4311983586034886e-13,6.4218773020541881e-15
0.355,9.4786969204117239e-08,2.8620229759884703e-08,1.1185946414217642e-09,1.1449417570796146e-10,1.3968314035833003e-11,9.0244840465394198e-14,1.7252066965692786e-14
0.3575,9.156375219152512e-08,2.8483848378557067e-08,1.0750474676529168e-09,1.0460856570058456e-10,1.1369176783576171e-11,1.459084213169671e-13,8.3019466801689403e-14
0.36,8.8335504917739358e-08,2.8301985525568726e-08,1.0300997869975822e-09,9.5935584252849898e-11,9.5944517765938393e-12,3.1320530061432958e-13,1.6420571354623882e-13
0.3625,8.515978791451164e-08,2.8106930768788983e-08,9.8759100470630738e-10,8.9116279070110047e-11,8.7191205823037871e-12,3.4411898523279652e-13,2.0122922246319529e-13
0.365,8.20909069889423e-08,2.7933536737220636e-08,9.5097889337860285e-10,8.4490514788335187e-11,8.733150687794567e-12,1.7293341547630916e-13,1.632076728681043e-13
0.3675,7.9175331573497979e-08,2.7817010346684114e-08,9.2322616319445084e-10,8.2166313546888804e-11,9.6061829934333814e-12,5.4128742298237629e-15,7.5915268996612221e-14
0.37,7.6449199242388913e-08,2.7790244317937123e-08,9.0671686125414976e-10,8.2083198774511593e-11,1.1284794152715371e-11,1.936679767122194e-13,7.057416185246886e-15
0.3725,7.3936076175084879e-08,2.7881622230639676e-08,9.0323483477337549e-10,8.4066651151119978e-11,1.364052779105816e-11,9.8652529383571775e-13,1.9834704837806002e-14
0.375,7.1646826126180431e-08,2.8112704578996855e-08,9.1396475081175874e-10,8.7850805127488493e-11,1.642110365715103e-11,2.3326630612306457e-12,1.2948260146647228e-13
0.3775,6.9580982837507725e-08,2.8496500136091457e-08,9.3946768307063823e-10,9.3105962974685409e-11,1.9261525859069179e-11,3.8679901714686667e-12,2.9272480200396513e-13
0.38,6.7728095449924588e-08,2.9035814626710234e-08,9.7968636914356213e-10,9.9453097650467809e-11,2.1758557195310208e-11,5.0915259679578721e-12,4.3532677575302413e-13
0.3825,6.6069047289132942e-08,2.9722976977767586e-08,1.033822491719846e-09,1.0650242076570538e-10,2.3582844458270869e-11,5.6167437182174913e-12,4.9600229671420558e-13
