Physical Time (s),ea_top Monitor (W): top_cv1,ea_top Monitor (W): top_cv2,ea_top Monitor (W): top_cv3,ea_top Monitor (W): top_cv4,ea_top Monitor (W): top_cv5,ea_top Monitor (W): top_cv6,ea_top Monitor (W): top_cv7
0.2175,1.7668279217350354e-12,-1.5950257878272494e-12,-9.0950654753067832e-13,-4.9787715195295653e-14,-5.5659038642809991e-16,9.7199354219796551e-15,3.5546655880216779e-14
0.22,1.8312582346461011e-12,-1.5007602264800322e-12,-8.6051387656223505e-13,-4.4150501320020508e-14,-4.2004634158718352e-16,9.7413375885749735e-15,2.9189477854569099e-14
0.2225,1.8377871805839562e-12,-1.350566832373058e-12,-7.8547740518694005e-13,-3.8496404082994583e-14,-3.6949709151698003e-16,5.7054013276060309e-15,1.655453722351168e-14
0.225,1.7780229111245477e-12,-1.1615153626155272e-12,-6.9051025877764151e-13,-3.3026488281073665e-14,-3.8226063393852317e-16,4.9664672285191636e-16,4.2040945198940584e-15
0.2275,1.651834121131164e-12,-9.5586124245228068e-13,-5.8314765520754064e-13,-2.7584421994973372e-14,-3.7267108881834977e-16,-2.6884986724921091e-15,-3.2494096018189205e-15
0.23,1.4697083770554336e-12,-7.5624833689091727e-13,-4.7196993776552661e-13,-2.1933341650297253e-14,-2.7105410108403928e-16,-2.6718465824574071e-15,-5.3562465346623542e-15
0.2325,1.2532828760243743e-12,-5.8105938975207434e-13,-3.661485222056692e-13,-1.6110261465926444e-14,-1.4524095862316253e-16,-9.3505035634416121e-16,-4.4542659196043465e-15
0.235,1.0307984240037299e-12,-4.4060861111993395e-13,-2.7379479053459929e-13,-1.0553016144163696e-14,-1.7961626179546653e-16,-1.2019211660135214e-17,-2.945772750667643e-15
0.2375,8.2916441401977494e-13,-3.3701097928284708e-13,-2.0022931779773779e-13,-5.8996627680723927e-15,-4.4153363678131965e-16,-1.060555474163825e-15,-1.8661983841590212e-15
0.24,6.6709611349732954e-13,-2.6684762498936248e-13,-1.4704100117756124e-13,-2.6322311294678474e-15,-7.1285070029809339e-16,-2.9358114438985226e-15,-1.1986565797739204e-15
0.2425,5.5194406314507092e-13,-2.2441439001927812e-13,-1.1248667106937925e-13,-8.3100656050446816e-16,-6.9087462629125809e-16,-3.6200762518998675e-15,-7.1002964085629696e-16
0.245,4.8091816768777699e-13,-2.0413672501269988e-13,-9.2980046641668399e-14,-2.1937026728945012e-16,-3.746917618615872e-16,-2.4392485429870074e-15,-3.1245527528127468e-16
0.2475,4.4524480214287072e-13,-2.01844962999889e-13,-8.4826434889223035e-14,-4.0082773440545734e-16,-1.0930163161823816e-16,-6.2168630387087087e-16,5.8268730168538224e-17
0.25,4.350972874296866e-13,-2.1498755620736524e-13,-8.5159159102007206e-14,-1.0905367357723624e-15,-1.9203908152459285e-16,3.0038170735401133e-16,5.7043432262647175e-16
0.2525,4.4400531633149395e-13,-2.4216324643575175e-13,-9.2061245073751664e-14,-2.2482910132977615e-15,-6.1454631426299109e-16,2.1892837167250107e-16,1.3687340701406931e-15
0.255,4.7169942298614829e-13,-2.8258373354258835e-13,-1.0422294668402755e-13,-4.1306680428305293e-15,-1.43931576136697e-15,2.1269749551973447e-16,2.348300056836917e-15
