Physical Time (s),enth_flux_enthalpy_bot Monitor (W): bot_cv1,enth_flux_enthalpy_bot Monitor (W): bot_cv2,enth_flux_enthalpy_bot Monitor (W): bot_cv3,enth_flux_enthalpy_bot Monitor (W): bot_cv4,enth_flux_enthalpy_bot Monitor (W): bot_cv5,enth_flux_enthalpy_bot Monitor (W): bot_cv6,enth_flux_enthalpy_bot Monitor (W): bot_cv7
0.3175,2.7962984132275589e-11,-1.1031622738408277e-10,-1.2917377785679166e-09,-1.8390596910559884e-09,-1.3151897171702351e-09,-1.3512644210617134e-09,-7.1701090488268427e-10
0.32,-1.6135174463944329e-09,7.5667635776257559e-11,-8.7997795190883027e-10,-1.6865325728206603e-09,-1.1763427523526464e-09,-8.2635384236615044e-10,-1.7749210264325298e-10
0.3225,-3.039110647135886e-09,2.9313178556489533e-10,-4.7042833353865954e-10,-1.5519200755224987e-09,-1.0746377340446712e-09,-4.3278267033288636e-10,2.2771838896994259e-10
0.325,-4.048763593119148e-09,5.3205016329985241e-10,-7.4667139105712734e-11,-1.4255189694072318e-09,-1.0123830699652326e-09,-2.2265441378606377e-10,4.3143084687408642e-10
0.3275,-4.5320180221471707e-09,7.6553934066866415e-10,2.856335163108199e-10,-1.2934686384137389e-09,-9.7515115270107334e-10,-1.8384333253285082e-10,4.4269544519464321e-10
0.33,-4.4903701426625694e-09,9.5663497288137721e-10,5.8444576311003141e-10,-1.140991386867698e-09,-9.3771736953310123e-10,-2.5815024105015021e-10,3.2539768163349408e-10
0.3325,-4.0193576514747474e-09,1.0694391788677306e-09,8.0006753212455867e-10,-9.5505404502151523e-10,-8.7139194891924927e-10,-3.6648014371869199e-10,1.6384201688049044e-10
0.335,-3.2640073248231829e-09,1.0806123494369913e-09,9.2258656409413064e-10,-7.266317183694711e-10,-7.5128608087592048e-10,-4.3184214800148955e-10,3.1812139955571282e-11
0.3375,-2.3724212804698579e-09,9.8744387118862621e-10,9.5788696888496388e-10,-4.5210566086885625e-10,-5.6210177092351539e-10,-3.9670269893417242e-10,-2.4951359293718424e-11
0.34,-1.4618022734991821e-09,8.089754399717648e-10,9.2987183328849468e-10,-1.3099426934553307e-10,-3.0129157328109851e-10,-2.3512236059179306e-10,5.7245574059153662e-12
0.3425,-6.0480863522987962e-10,5.8182560321665837e-10,8.7496903289918207e-10,2.3140848694540623e-10,1.9611610708158363e-11,4.0287579719288449e-11,1.0433482597638691e-10
0.345,1.6684181329084507e-10,3.5023139729825428e-10,8.3697150549715906e-10,6.2706597484391882e-10,3.7611871784898772e-10,3.7933867076385355e-10,2.269511537030681e-10
0.3475,8.4432362759243786e-10,1.5473418150856023e-10,8.5391081489054282e-10,1.0438591778952166e-09,7.3694769334399961e-10,7.0836439963241332e-10,3.1820010408754249e-10
0.35,1.4246655772523521e-09,2.3567353000617897e-11,9.4974723006299293e-10,1.4657414882651514e-09,1.0701297089142852e-09,9.5401600661665075e-10,3.2815290682200469e-10
0.3525,1.8967714226038835e-09,-3.0283295897964849e-11,1.1348846522461696e-09,1.8758966678557381e-09,1.3513513711764686e-09,1.0709773248522204e-09,2.3038062294128516e-10
0.355,2.2362060649503756e-09,-8.8579572013243282e-12,1.4060202485375897e-09,2.2600463704091794e-09,1.569523603347947e-09,1.0593692263369677e-09,3.3869732245793988e-11
0.3575,2.4062071115976756e-09,7.3309043349244211e-11,1.7482728810971105e-09,2.6088374545309652e-09,1.7277614079151311e-09,9.6483512412815127e-10,-2.1566771267833638e-10
0.36,2.3647760984327981e-09,1.9577228171512432e-10,2.1402940003895283e-09,2.9180949426586035e-09,1.8413238150201784e-09,8.6156484304375067e-10,-4.4642136881164162e-10
