Physical Time (s),Etau_left Monitor (W)
1.3925,-3.6856236988730693e-11
1.395,-3.6861864154694245e-11
1.3975,-3.6865329099702311e-11
1.4,-3.6866609175243433e-11
1.4025,-3.686585420630781e-11
1.405,-3.6863420193751774e-11
1.4075,-3.6859721947527175e-11
1.41,-3.6855209672078234e-11
1.4125,-3.6850326929658986e-11
1.415,-3.6845469950814293e-11
1.4175,-3.6840937357149722e-11
1.42,-3.6836895260058906e-11
1.4225,-3.6833403391521913e-11
1.425,-3.6830331417811365e-11
1.4275,-3.6827333408941366e-11
1.43,-3.6823819535026569e-11
1.4325,-3.6819014382255523e-11
1.435,-3.6811935693083765e-11
1.4375,-3.6801443039126248e-11
1.44,-3.6786269586276771e-11
1.4425,-3.6765053711842736e-11
1.445,-3.6736422929563907e-11
1.4475,-3.6699092383841614e-11
1.45,-3.6651929412456196e-11
1.4525,-3.6594046602159797e-11
1.455,-3.652486813715346e-11
1.4575,-3.6444126434358811e-11
1.46,-3.6351899464971522e-11
1.4625,-3.6248556239045437e-11
1.465,-3.6134734331112025e-11
1.4675,-3.6011315211869716e-11
1.47,-3.5879411336927426e-11
1.4725,-3.5740394519607905e-11
1.475,-3.5595871052393749e-11
1.4775,-3.544772411004941e-11
1.48,-3.5298001391205248e-11
1.4825,-3.5148916524754777e-11
1.485,-3.5002796766837206e-11
1.4875,-3.4861964230588027e-11
1.49,-3.4728770863364834e-11
1.4925,-3.4605450577073502e-11
1.495,-3.4494132069441201e-11
1.4975,-3.4396723600072922e-11
1.5,-3.4314876113689906e-11
1.5025,-3.4249896782716297e-11
1.505,-3.4202711574324298e-11
1.5075,-3.4173799160739274e-11
1.51,-3.4163242311920974e-11
1.5125,-3.4170649795994291e-11
1.515,-3.4195174229531997e-11
1.5175,-3.4235505654210632e-11
1.52,-3.4289898938806773e-11
1.5225,-3.4356204679038618e-11
1.525,-3.443189597470304e-11
1.5275,-3.4514128870105597e-11
1.53,-3.4599814495694158e-11
1.5325,-3.4685692897931264e-11
1.535,-3.476844258700777e-11
1.5375,-3.484479338136461e-11
1.54,-3.4911610352791585e-11
1.5425,-3.4965965638543063e-11
1.545,-3.5005262960059471e-11
1.5475,-3.5027291653059599e-11
1.55,-3.5030300829004843e-11
1.5525,-3.5013070201926483e-11
1.555,-3.4974918626986133e-11
1.5575,-3.491573919331694e-11
1.56,-3.4836000424961568e-11
1.5625,-3.473672143001849e-11
1.565,-3.4619423618033671e-11
1.5675,-3.4486069220277545e-11
1.57,-3.4339004307343378e-11
1.5725,-3.4180920882474405e-11
1.575,-3.4014658806784311e-11
1.5775,-3.3843243143535702e-11
1.58,-3.3669789630511003e-11
1.5825,-3.3497353966170185e-11
1.585,-3.3328893585423615e-11
1.5875,-3.3167179611384339e-11
1.59,-3.3014756746433403e-11
1.5925,-3.2873858948428969e-11
1.595,-3.2746409862929063e-11
1.5975,-3.2633996457944494e-11
1.6,-3.2537804726907281e-11
1.6025,-3.245861091837932e-11
1.605,-3.2396761236456839e-11
1.6075,-3.2352190664447517e-11
1.61,-3.2324414362282891e-11
1.6125,-3.2312597110944555e-11
1.615,-3.2315592297161274e-11
1.6175,-3.2331942184086056e-11
1.62,-3.2359942875039833e-11
1.6225,-3.2397670316086248e-11
1.625,-3.2443032050780927e-11
1.6275,-3.2493810670559791e-11
1.63,-3.2547744344236462e-11
1.6325,-3.260255634084428e-11
1.635,-3.2656031837340119e-11
1.6375,-3.270606490992162e-11
1.64,-3.275070885127425e-11
1.6425,-3.2788233347490444e-11
1.645,-3.2817152509838141e-11
1.6475,-3.2836252999820239e-11
1.65,-3.2844641982342167e-11
1.6525,-3.2841738897953114e-11
1.655,-3.2827293525459666e-11
1.6575,-3.2801352316821191e-11
1.66,-3.2764282614435939e-11
1.6625,-3.2716686911920605e-11
1.665,-3.265937727397079e-11
1.6675,-3.2593330253472267e-11
1.67,-3.2519677601006707e-11
1.6725,-3.2439635317944306e-11
1.675,-3.2354473481647561e-11
1.6775,-3.2265482621291854e-11
1.68,-3.2173914211712672e-11
1.6825,-3.2080974618060514e-11
1.685,-3.1987763086756375e-11
1.6875,-3.1895285599851398e-11
1.69,-3.1804396819853111e-11
1.6925,-3.1715813935459771e-11
1.695,-3.1630105163661032e-11
1.6975,-3.1547721210550844e-11
1.7,-3.1468988781746612e-11
1.7025,-3.1394115601243309e-11
1.705,-3.1323211196733988e-11
1.7075,-3.1256292558968516e-11
1.71,-3.1193303186915959e-11
1.7125,-3.1134133220982375e-11
1.715,-3.1078619464741981e-11
1.7175,-3.1026573227758696e-11
1.72,-3.097779126235684e-11
1.7225,-3.0932076747164459e-11
1.725,-3.0889259152204284e-11
1.7275,-3.0849201199069221e-11
1.73,-3.0811796148553674e-11
1.7325,-3.077697448568134e-11
1.735,-3.0744693265795584e-11
1.7375,-3.0714934355782707e-11
1.74,-3.068769306218323e-11
1.7425,-3.066297215168304e-11
1.745,-3.0640788409188652e-11
1.7475,-3.0621152979755194e-11
1.75,-3.0604063759820364e-11
1.7525,-3.0589487114806409e-11
1.755,-3.057735447078762e-11
1.7575,-3.0567546686741755e-11
1.76,-3.0559892103383125e-11
1.7625,-3.0554169035563192e-11
1.765,-3.0550084892449845e-11
1.7675,-3.0547280671736516e-11
1.77,-3.0545344632637343e-11
1.7725,-3.054379316977717e-11
1.775,-3.0542108016862426e-11
1.7775,-3.0539728959760271e-11
1.78,-3.0536072750863481e-11
1.7825,-3.0530499887452993e-11
1.785,-3.0522365870072438e-11
1.7875,-3.0511010436255321e-11
1.79,-3.0495784256359183e-11
1.7925,-3.0476059561132005e-11
1.795,-3.0451264847938233e-11
1.7975,-3.0420927345897983e-11
1.8,-3.0384718610063278e-11
1.8025,-3.0342399217573986e-11
1.805,-3.0293882207087501e-11
