Physical Time (s),ea_right Monitor (W): right_cv1,ea_right Monitor (W): right_cv2,ea_right Monitor (W): right_cv3,ea_right Monitor (W): right_cv4,ea_right Monitor (W): right_cv5,ea_right Monitor (W): right_cv6,ea_right Monitor (W): right_cv7
0.1325,1.3246038418765782e-07,1.8476850213014951e-09,9.1408827714122057e-11,3.2478728023165664e-10,2.5448998102241212e-10,2.9677602797972057e-11,7.7229056871731603e-11
0.135,1.3482513384064767e-07,2.0284223549597595e-09,7.6622631586431288e-11,1.7524296389082512e-10,9.9576230301908272e-11,7.3360338677025072e-12,6.9038003644900552e-11
0.1375,1.3731660006092048e-07,2.1593103241610244e-09,6.1998421137138512e-11,4.3400595124910645e-11,1.1085558224580349e-11,1.2631184100596086e-12,4.7374322822866265e-11
0.14,1.3987927809459689e-07,2.2892377360205963e-09,7.511689343861604e-11,1.2513660715952234e-11,1.1784242643541479e-11,1.0711311434704064e-11,1.9359027731549989e-11
0.1425,1.4248850996557044e-07,2.4767007968133167e-09,1.5124488214039457e-10,9.1964581845498152e-11,6.6114352865325862e-11,2.4469512967177729e-11,1.2327007853247354e-12
0.145,1.4513450692271081e-07,2.766990069016124e-09,3.0641488030731208e-10,2.234558267061865e-10,1.207244901548809e-10,3.160270016989294e-11,8.991562504421807e-12
0.1475,1.4777209883131429e-07,3.175304515051903e-09,5.1809683812420778e-10,3.3239301866229917e-10,1.4151937873994871e-10,2.8615606130682753e-11,4.7788372793346329e-11
0.15,1.5030020656376959e-07,3.6664217273906677e-09,7.3093811229846518e-10,3.7592807058260336e-10,1.2581559216624053e-10,1.9251072363593371e-11,1.0831516910527259e-10
0.1525,1.5258913857292818e-07,4.1464821527651674e-09,8.8320008816805312e-10,3.5528209266693229e-10,9.1586068775186103e-11,9.6186318441800089e-12,1.7219838969880513e-10
0.155,1.5453643246017988e-07,4.4890495617790666e-09,9.3563382109969884e-10,2.9836403410195309e-10,5.8739231648492175e-11,3.4394970304846137e-12,2.2166218447256767e-10
0.1575,1.5610130025702048e-07,4.5905441800270978e-09,8.8493716272351493e-10,2.353285512568265e-10,3.7710410403457456e-11,8.2794985270497586e-13,2.466869338283545e-10
0.16,1.5731306746493268e-07,4.4209836030939666e-09,7.5860644031521474e-10,1.8434253922456569e-10,2.9466692214264703e-11,1.1459205576751085e-13,2.4649046411073545e-10
0.1625,1.5825593452735068e-07,4.037198384821084e-09,5.985708668417271e-10,1.5052752695222166e-10,3.1380980289873764e-11,5.8588761056341034e-14,2.266860078224776e-10
0.165,1.5903913244428046e-07,3.5516315967415145e-09,4.4357683717688594e-10,1.3103065017065606e-10,4.0867459693334256e-11,5.1358106707541054e-13,1.951846902713065e-10
0.1675,1.5977141226012657e-07,3.0830879381188898e-09,3.1822052250881957e-10,1.1988299722791669e-10,5.4416397025589872e-11,1.6686907905554029e-12,1.5931776324591817e-10
0.17,1.6053908971018256e-07,2.7184355283775288e-09,2.3083122489811308e-10,1.1076282114281253e-10,6.5724967059624741e-11,3.2393710637645976e-12,1.2436401532045863e-10
