Physical Time (s),enth_flux_enthalpy_left Monitor (W)
1.255,-3.3632176901400547e-07
1.2575,-3.3879719790955037e-07
1.26,-3.4527365613062492e-07
1.2625,-3.542656213105523e-07
1.265,-3.6520235931519228e-07
1.2675,-3.7724655956155646e-07
1.27,-3.8958944535901977e-07
1.2725,-4.0169628064339496e-07
1.275,-4.1273978489572229e-07
1.2775,-4.2211203272868548e-07
1.28,-4.2892744503154802e-07
1.2825,-4.329732714728382e-07
1.285,-4.3408137423917689e-07
1.2875,-4.32831024602566e-07
1.29,-4.2952850245871316e-07
1.2925,-4.2437648310399367e-07
1.295,-4.1766830892787373e-07
1.2975,-4.0971193181162871e-07
1.3,-4.0091329479236231e-07
1.3025,-3.9173756584448443e-07
1.305,-3.8204661094932106e-07
1.3075,-3.7230063410214623e-07
1.31,-3.6309886555736549e-07
1.3125,-3.555022985517364e-07
1.315,-3.499825290111248e-07
1.3175,-3.4679782426600821e-07
1.32,-3.4587804729976584e-07
1.3225,-3.4688888340062115e-07
1.325,-3.496110577938596e-07
1.3275,-3.5389658663510638e-07
1.33,-3.5941852098875559e-07
1.3325,-3.6584562987622994e-07
1.335,-3.7319942786171215e-07
1.3375,-3.8118536590584648e-07
1.34,-3.8917883037312763e-07
1.3425,-3.9690451917953615e-07
1.345,-4.0396845403917902e-07
1.3475,-4.1007985687357471e-07
1.35,-4.1505494469465753e-07
1.3525,-4.1878331747141741e-07
1.355,-4.212085546316538e-07
1.3575,-4.2232154924320131e-07
1.36,-4.2215237141156651e-07
1.3625,-4.209124581124469e-07
1.365,-4.1844957373841191e-07
1.3675,-4.1477766903025123e-07
1.37,-4.0987616522771753e-07
1.3725,-4.0373690832908039e-07
1.375,-3.9640840997561312e-07
1.3775,-3.8796175463508354e-07
1.38,-3.7854576681429878e-07
1.3825,-3.6839429360074085e-07
1.385,-3.5778634857700966e-07
1.3875,-3.4699473328898877e-07
1.39,-3.3637223081475965e-07
1.3925,-3.2621522947449555e-07
