Physical Time (s),ep_top Monitor (W): top_cv1,ep_top Monitor (W): top_cv2,ep_top Monitor (W): top_cv3,ep_top Monitor (W): top_cv4,ep_top Monitor (W): top_cv5,ep_top Monitor (W): top_cv6,ep_top Monitor (W): top_cv7
0.2875,4.5733894826373035e-09,-1.5404377775498262e-09,-1.6563098470952697e-09,6.1840032183738769e-10,9.8926006966907735e-10,6.6733339427558193e-10,-3.9677727457691761e-13
0.29,3.4331256806127062e-09,-1.3485026885597731e-09,-1.6989219467004499e-09,3.3528584337529029e-10,7.756458182930974e-10,4.5748182230223027e-10,-1.3023360010217819e-10
0.2925,2.2819923404040839e-09,-1.0856945420665778e-09,-1.6158464343455077e-09,7.980178785978138e-11,5.8294004282455816e-10,4.1599666304123796e-10,-1.1433753654356396e-10
0.295,1.1744719033618644e-09,-8.0759993131855059e-10,-1.4532421866745489e-09,-1.4633604248871786e-10,3.9006971605621995e-10,4.3440275495187752e-10,-3.7383214001645251e-12
0.2975,1.8789673562763154e-10,-5.5887935230271608e-10,-1.2586351581170655e-09,-3.4609501292709469e-10,1.7626134973914496e-10,3.7688187673505639e-10,9.5037623764412952e-11
0.3,-5.8573463317566368e-10,-3.6578730359860997e-10,-1.0743784023110205e-09,-5.2566711559573959e-10,-6.755385888641245e-11,1.4414139221897749e-10,7.0936463641319226e-11
0.3025,-1.0644018998099078e-09,-2.3518285324340665e-10,-9.3441253933504029e-10,-6.9564189308103482e-10,-3.3561147859362211e-10,-2.8360172366747398e-10,-1.3587991765610252e-10
0.305,-1.2071377445878174e-09,-1.5976944325746496e-10,-8.6041978280539387e-10,-8.6864114726392131e-10,-6.1042446818496153e-10,-8.3696382928832448e-10,-5.005599723278234e-10
0.3075,-1.0321247246419135e-09,-1.257689183083527e-10,-8.6329122773634718e-10,-1.0564431181288452e-09,-8.6843213804325224e-10,-1.3843078739220816e-09,-9.1878458745555623e-10
0.31,-6.1749352045359531e-10,-1.1960531510733561e-10,-9.4407849057616315e-10,-1.2666900889623951e-09,-1.0869012943899025e-09,-1.7819592130914611e-09,-1.2476454852779269e-09
0.3125,-7.855873892487609e-11,-1.3248195524409703e-10,-1.1000127574700444e-09,-1.5030893642647154e-09,-1.250370812025976e-09,-1.9277197329315619e-09,-1.3627238102576213e-09
0.315,4.7384526014062634e-10,-1.603668045130619e-10,-1.3252089005659862e-09,-1.7670366979842726e-09,-1.3574991724626496e-09,-1.7969044927514935e-09,-1.2052921100684055e-09
0.3175,9.5424254027532867e-10,-2.0242995119705401e-10,-1.6125412534474049e-09,-2.0598871467245231e-09,-1.4240120080079005e-09,-1.4491441410141969e-09,-8.0260876649146813e-10
0.32,1.3237063190824589e-09,-2.5843809055241289e-10,-1.9493792158409689e-09,-2.380585372494542e-09,-1.478675651904197e-09,-1.0062174928239976e-09,-2.567790655390053e-10
0.3225,1.5870074468515606e-09,-3.2716162197080115e-10,-2.3139581977594208e-09,-2.7196649760206069e-09,-1.5515578919123873e-09,-6.0922100037341756e-10,2.9002858073333957e-10
0.325,1.7739499890767304e-09,-4.0593429897665525e-10,-2.6737685134073407e-09,-3.051796825660725e-09,-1.6588670272279427e-09,-3.7221579327695716e-10,7.0097440666211893e-10
0.3275,1.9177114338448244e-09,-4.8998649821321316e-10,-2.9844906253357494e-09,-3.3329270503377964e-09,-1.7910207137440965e-09,-3.4628105065190351e-10,8.8638409447642769e-10
0.33,2.0431508800226446e-09,-5.7286891608585129e-10,-3.1975918406252954e-09,-3.5060761031802807e-09,-1.9114137635107298e-09,-5.0549422691010363e-10,8.2975602362148656e-10
0.3325,2.1611875410825291e-09,-6.4740996894853599e-10,-3.2709963523876767e-09,-3.5152006465882284e-09,-1.9665539871667465e-09,-7.5777420938299998e-10,5.899124497775904e-10
0.335,2.2726562606310273e-09,-7.0657866784735916e-10,-3.179405591884891e-09,-3.3215163949507634e-09,-1.9040912546318712e-09,-9.7838795830807834e-10,2.7683383840279686e-10
0.3375,2.3761010349190185e-09,-7.4399589363978144e-10,-2.9210222772601203e-09,-2.916595563086225e-09,-1.6917177457403012e-09,-1.053198288705321e-09,1.0038064054767815e-11
0.34,2.4728379074155183e-09,-7.5481438475919376e-10,-2.5166779051668913e-09,-2.3268478867726452e-09,-1.3295897658629062e-09,-9.1961864565532313e-10,-1.2566421104849141e-10
0.3425,2.5717888928019239e-09,-7.3758205002255006e-10,-2.0069378534489579e-09,-1.6068794924279589e-09,-8.5148683263276458e-10,-5.8797170922010243e-10,-1.0961806755230324e-10
0.345,2.6855138252992427e-09,-6.943627765413203e-10,-1.4435193677848296e-09,-8.2845401451870524e-10,-3.1490851519198118e-10,-1.3584750852450107e-10,1.2615996439204763e-11
0.3475,2.8274245464392902e-09,-6.3056941993072603e-10,-8.7703333943471946e-10,-6.3892860040861373e-11,2.1391674822952973e-10,3.2254337151776545e-10,1.5466948362048339e-10
0.35,3.0166263584571689e-09,-5.5390326812588419e-10,-3.5172989821150136e-10,6.2570586586368863e-10,6.7766155692538314e-10,6.800884530408519e-10,2.2984585952347092e-10
0.3525,3.2706546410368015e-09,-4.7212005061944313e-10,1.0166986724711233e-10,1.1978125892394918e-09,1.0388730672131925e-09,8.7456672314311477e-10,1.8838041120068031e-10
0.355,3.6082766068670454e-09,-3.9327896750318916e-10,4.6343514278876196e-10,1.6313175038235511e-09,1.2854802341910797e-09,9.060457398653828e-10,3.5937053987319683e-11
0.3575,4.045555829094552e-09,-3.2376375667019574e-10,7.2418588905950045e-10,1.9225976335937585e-09,1.4267445031697892e-09,8.2966079497857409e-10,-1.721315751130131e-10
0.36,4.5913664775407284e-09,-2.6661452965118785e-10,8.8538702729425188e-10,2.081051340233105e-09,1.4851550849249702e-09,7.2757028786375742e-10,-3.5586522386828396e-10
0.3625,5.2409042206935257e-09,-2.2183206176129856e-10,9.5671638257321701e-10,2.1244764821844629e-09,1.4864479232244648e-09,6.7351988554841369e-10,-4.4269958988589402e-10
0.365,5.9687191444491129e-09,-1.8790273596221669e-10,9.5226162452376263e-10,2.0728783409970327e-09,1.4508445392829904e-09,7.0624077073636389e-10,-3.9348594752715183e-10
0.3675,6.7244196380130074e-09,-1.6260875031561227e-10,8.8909114416843296e-10,1.9458217817123444e-09,1.3886425021454061e-09,8.184192226707838e-10,-2.1535429026261771e-10
0.37,7.4394255335430726e-09,-1.4373140442244397e-10,7.8493288664496934e-10,1.7604840437353782e-09,1.3004417813735907e-09,9.6459145481460612e-10,4.221735706700825e-11
