Physical Time (s),ev_top Monitor (W): top_cv1,ev_top Monitor (W): top_cv2,ev_top Monitor (W): top_cv3,ev_top Monitor (W): top_cv4,ev_top Monitor (W): top_cv5,ev_top Monitor (W): top_cv6,ev_top Monitor (W): top_cv7
0.1825,9.4716966624900175e-13,-1.990524935067433e-14,-9.582567083857982e-14,-1.5786571528918489e-14,1.8041149200349544e-17,2.1225749766001155e-14,4.8607045150519422e-14
0.185,1.0142638949516339e-12,-2.522079154012106e-14,-1.11589642974095e-13,-1.7012739817858249e-14,5.5139692517993302e-18,1.4123416573872677e-14,2.8420969607072437e-14
0.1875,1.0303014209686929e-12,-3.3548662361299185e-14,-1.3309346690749096e-13,-2.0048829142366737e-14,-1.6393380771895213e-16,3.5993704630044263e-15,6.210439145004727e-15
0.19,9.7895881010997796e-13,-4.6789216443678399e-14,-1.6464906855870191e-13,-2.6610308177496122e-14,-6.2984536281608909e-16,2.8735266158051983e-17,2.5730833913808657e-17
0.1925,8.6842814821620996e-13,-6.7430185399884064e-14,-2.1195992381977275e-13,-3.9645297579443756e-14,-2.8050434375748725e-15,-1.3521467851140001e-15,-2.1882176121436249e-15
0.195,7.2550813618538084e-13,-9.8045927251342574e-14,-2.8129883105267406e-13,-6.3417329519728087e-14,-9.7972335473975e-15,-1.3111819779653699e-14,-1.7288524307785381e-14
0.1975,5.808971575350322e-13,-1.400659772988132e-13,-3.773099726896051e-13,-1.0197318460460347e-13,-2.4181050133590696e-14,-3.5622589666137055e-14,-3.7954407278057951e-14
0.2,4.5713485311312793e-13,-1.9215952958956035e-13,-4.9886810860337912e-13,-1.5518359472297236e-13,-4.4117850944603304e-14,-5.3467798870101673e-14,-4.3349657570392546e-14
0.2025,3.6441102151085907e-13,-2.4940433368480326e-13,-6.3521617570483251e-13,-2.1470942253957585e-13,-6.2196232020166894e-14,-5.3060016460531601e-14,-2.8844028893674147e-14
0.205,3.0386029989528153e-13,-3.0407877635829403e-13,-7.6584197101794731e-13,-2.6466452675826215e-13,-6.9749220974441766e-14,-3.6908393048125163e-14,-1.0108348697968e-14
0.2075,2.728108455398373e-13,-3.4776913836279759e-13,-8.6603523380506144e-13,-2.8897408134639871e-13,-6.3359535830322951e-14,-1.8183526285457713e-14,-1.0768692410017518e-15
0.21,2.6807017892073224e-13,-3.7389440530601936e-13,-9.1655846352157998e-13,-2.8098899692780478e-13,-4.7327501687152299e-14,-6.3983829790124494e-15,3.3883254410054829e-17
0.2125,2.8708990494482975e-13,-3.7953322643921277e-13,-9.1198163779091398e-13,-2.4719224566977095e-13,-2.971084919162903e-14,-1.6098554802732085e-15,1.8338002537435196e-15
0.215,3.2848652596128364e-13,-3.6572839147976361e-13,-8.6164201559636817e-13,-2.0220854488801404e-13,-1.64187529544297e-14,2.3685721232222406e-16,6.0914260791973076e-15
0.2175,3.9170531428826949e-13,-3.365776091728846e-13,-7.8408693175517167e-13,-1.601033720200749e-13,-8.7856796622853849e-15,1.1793513798759937e-15,7.9977623465945786e-15
0.22,4.7638989945628717e-13,-2.9775680966940613e-13,-6.9887262473760485e-13,-1.288791304840814e-13,-5.3216530084371958e-15,1.0911230585335822e-15,5.3621983810387252e-15
0.2225,5.8099204881743374e-13,-2.5497355844344686e-13,-6.2034037870100152e-13,-1.1060145914052213e-13,-4.3446817027115326e-15,3.5032957161673896e-16,1.5829841185743376e-15
0.225,7.0136455884068783e-13,-2.1300580518649168e-13,-5.5574791737839645e-13,-1.0426318096597502e-13,-5.1966272842123365e-15,-5.3833587529106409e-17,5.7733218195230059e-17
0.2275,8.2976093348453545e-13,-1.7509139224284725e-13,-5.063781017678622e-13,-1.0789907345782716e-13,-8.2940430659634757e-15,-6.2199248278457262e-16,-8.1376831637410189e-17
0.23,9.5498492561637906e-13,-1.4297663482783286e-13,-4.6948552154674379e-13,-1.1870966922151957e-13,-1.4389334008302744e-14,-3.4540797734654742e-15,-1.4580714813554932e-15
0.2325,1.0643834546433351e-12,-1.1723941238924078e-13,-4.4036814822002941e-13,-1.3204141776849042e-13,-2.2882044307477436e-14,-9.2541979080053652e-15,-4.1813505955698714e-15
0.235,1.1472252337139059e-12,-9.761363891041305e-14,-4.1417505351801987e-13,-1.4143680522056406e-13,-3.0577828526344108e-14,-1.5168194922112693e-14,-5.9161295223264923e-15
0.2375,1.1976882794666722e-12,-8.3413813478306924e-14,-3.8760293009217485e-13,-1.4100564720333172e-13,-3.3147549674017363e-14,-1.6925352820290368e-14,-5.1515288897618544e-15
0.24,1.2162500923041936e-12,-7.3895500720438905e-14,-3.600578741093863e-13,-1.2884785489308e-13,-2.8705367366374829e-14,-1.3149023796975367e-14,-2.8231289842001195e-15
0.2425,1.2087869226631089e-12,-6.8486010649755085e-14,-3.3378380596176915e-13,-1.0847845884538571e-13,-1.9701849113166201e-14,-6.7954515484913888e-15,-8.4689819529758924e-16
0.245,1.1845659196082451e-12,-6.685778848615834e-14,-3.127977156533182e-13,-8.642186547830401e-14,-1.073046333270944e-14,-2.0139432216443075e-15,-7.6614909891343499e-17
0.2475,1.1531581510342303e-12,-6.8972290290109605e-14,-3.0149525354298204e-13,-6.8416341840428322e-14,-4.819338363292084e-15,-2.3928625378468747e-16,9.5753217295523756e-18
0.25,1.1220338032925557e-12,-7.5087748411859735e-14,-3.0387291998359682e-13,-5.7410738884127583e-14,-2.06884657002518e-15,4.2254750358392079e-17,2.0672595881241778e-16
0.2525,1.0954847723623846e-12,-8.5669171341634359e-14,-3.2341000757377099e-13,-5.4177309948858748e-14,-1.1454230722894191e-15,4.5981069681108436e-16,6.7653117732853621e-16
0.255,1.0742177115868051e-12,-1.0130784802912785e-13,-3.6341012293363148e-13,-5.9194041772834303e-14,-1.0741257999373677e-15,9.4716199841333746e-16,1.0273075904520165e-15
0.2575,1.0560220203662955e-12,-1.2256941087518624e-13,-4.2679169736484497e-13,-7.3930906948684738e-14,-1.7363524868009918e-15,8.2545751821406433e-16,9.3737850684332036e-16
