Physical Time (s),enth_flux_pressure_left Monitor (W)
1.0975,2.3259163082981669e-07
1.1,2.4792955912712266e-07
1.1025,2.6887562777976326e-07
1.105,2.9441409839976068e-07
1.1075,3.2335118507707661e-07
1.11,3.5450425759245051e-07
1.1125,3.8653371598452554e-07
1.115,4.1813407180445509e-07
1.1175,4.4816364172443232e-07
1.12,4.7542614310962819e-07
1.1225,4.989323971830922e-07
1.125,5.1788508264508e-07
1.1275,5.3162879434025755e-07
1.13,5.3985271439102207e-07
1.1325,5.4243844171356924e-07
1.135,5.3941662360234474e-07
1.1375,5.3097873348062356e-07
1.14,5.173979883003957e-07
1.1425,4.9919186019573336e-07
1.145,4.7686621785183054e-07
1.1475,4.513552260994309e-07
1.15,4.2351739200430545e-07
1.1525,3.9426449359834553e-07
1.155,3.6467379171855624e-07
1.1575,3.3594811816068161e-07
1.16,3.0925920287574638e-07
1.1625,2.8569285422054439e-07
1.165,2.662782072090872e-07
1.1675,2.5173411062750781e-07
1.17,2.4271135070812193e-07
1.1725,2.3935889259706929e-07
1.175,2.4120688719892829e-07
1.1775,2.4833475056855898e-07
1.18,2.6030222212878907e-07
1.1825,2.7630508984616039e-07
1.185,2.9415346776877473e-07
1.1875,3.1444306174110665e-07
1.19,3.3612422453203203e-07
1.1925,3.5871706092790448e-07
1.195,3.8151066299806474e-07
1.1975,4.0353351524464541e-07
1.2,4.2365500774828787e-07
1.2025,4.4065668278613838e-07
1.205,4.5404106697285234e-07
1.2075,4.6361079773022127e-07
1.21,4.6941002243502071e-07
1.2125,4.7163002935808598e-07
1.215,4.7044144793469247e-07
1.2175,4.6610942465924665e-07
1.22,4.5904157498786044e-07
1.2225,4.4963868796945721e-07
1.225,4.3838375136136261e-07
1.2275,4.2569505846444397e-07
1.23,4.1227673210197841e-07
1.2325,3.9881956685492352e-07
1.235,3.8575028672199707e-07
1.2375,3.7497116263498482e-07
1.24,3.6517936909808767e-07
1.2425,3.5668548157674004e-07
1.245,3.4936720222325981e-07
1.2475,3.4321829589243961e-07
1.25,3.3862622487822019e-07
1.2525,3.3597772857844201e-07
1.255,3.3562446680072887e-07
1.2575,3.3808558267396029e-07
1.26,3.445607077376733e-07
1.2625,3.5356022965738283e-07
1.265,3.6451323727338837e-07
1.2675,3.7658206889336362e-07
1.27,3.88945546476498e-07
1.2725,4.0107804681050703e-07
1.275,4.1214828893325252e-07
1.2775,4.2154549576305405e-07
1.28,4.2838193370135927e-07
1.2825,4.3244401316743149e-07
1.285,4.3356318327733577e-07
1.2875,4.32319421595299e-07
1.29,4.2901976700188699e-07
1.2925,4.2386668985390636e-07
1.295,4.1715410631805544e-07
1.2975,4.0919052377991021e-07
1.3,4.0038272480405695e-07
1.3025,3.9119684833972285e-07
1.305,3.8149355938415766e-07
1.3075,3.7173450228468881e-07
1.31,3.6252108366714084e-07
1.3125,3.5491739511252703e-07
1.315,3.4939678385978187e-07
1.3175,3.4621958395684146e-07
1.32,3.4531099645242658e-07
1.3225,3.4634167932254079e-07
1.325,3.490875998097864e-07
1.3275,3.5340023762259493e-07
1.33,3.5895291521186788e-07
1.3325,3.6541340362303609e-07
1.335,3.7280179686646733e-07
1.3375,3.8082122777509099e-07
1.34,3.8884455689605857e-07
1.3425,3.9659625436202877e-07
1.345,4.0368150198736515e-07
1.3475,4.0980922367264747e-07
1.35,4.1479552556042294e-07
1.3525,4.1852996705405072e-07
1.355,4.2095589728557131e-07
1.3575,4.2206450996767464e-07
