Physical Time (s),xth_left Monitor (W)
0.59,3.1118038243583764e-16
0.5925,1.1111491572118384e-17
0.595,6.6019048277635375e-17
0.5975,8.3219263428926052e-17
0.6,2.6352691598539044e-17
0.6025,-3.9238066731198534e-17
0.605,1.3966960658243694e-16
0.6075,-3.0167064138002692e-16
0.61,-5.8627964490504508e-17
0.6125,3.3786787380204923e-16
0.615,-1.4726839774635645e-16
0.6175,1.1873798763298915e-16
0.62,2.8416325020810335e-16
0.6225,6.7435603225432673e-16
0.625,1.9366649902752784e-16
0.6275,8.5264593535842707e-17
0.63,2.7913273209841765e-18
0.6325,1.2965976309083785e-16
0.635,2.8497727756160564e-16
0.6375,2.4231340202720235e-16
0.64,-4.4931871272056661e-17
0.6425,-5.0528163721152609e-16
0.645,-5.6426353309274927e-17
0.6475,-2.1175030590964013e-16
0.65,4.1083971477321969e-16
0.6525,2.6370727691627507e-16
0.655,-5.2561150688194772e-17
0.6575,-4.7938569569299978e-16
0.66,-3.7187148292743392e-16
0.6625,-2.1758769384637733e-16
0.665,-1.093504513941256e-16
0.6675,4.2294413856061715e-16
0.67,4.5011424660156188e-17
0.6725,3.4737883295181003e-16
0.675,3.0203127199712431e-16
0.6775,-2.7860709892934391e-16
0.68,6.8242981124877348e-17
0.6825,3.408198675014881e-16
0.685,6.3258979505373097e-17
0.6875,-1.8154495197629106e-16
0.69,-2.4429504543330113e-16
0.6925,2.8896112855597415e-16
0.695,-1.4362234827334321e-17
0.6975,-9.6609397764599001e-17
0.7,-1.8597235072707378e-16
0.7025,2.9408043627670058e-17
0.705,-1.7901475114360614e-16
0.7075,3.8073356396473738e-16
0.71,-1.1606275309862631e-16
0.7125,5.0980561602095581e-17
0.715,2.8781582570092424e-16
0.7175,2.2132353729556318e-17
0.72,-3.483627017673737e-16
0.7225,-2.4662261220300094e-16
0.725,-9.8770842349153102e-17
0.7275,-2.6582619944588651e-16
0.73,5.1622824858433189e-17
0.7325,3.3330500568534012e-16
0.735,5.2579084021835143e-16
0.7375,-1.2294494310693662e-16
0.74,2.669855842251276e-16
0.7425,2.9187484169996051e-16
0.745,-3.7143849311349156e-16
0.7475,-3.7393434543632592e-16
0.75,-5.5020188724362281e-17
0.7525,2.9040928037148638e-16
0.755,7.2856456739740072e-17
0.7575,2.4221520147140111e-16
0.76,2.8815671007944927e-16
0.7625,8.6438167965427998e-17
0.765,5.27356115834932e-17
0.7675,-1.2930963628467511e-16
0.77,-1.9237426407283248e-17
0.7725,2.7593897973700555e-17
0.775,6.8117948213817292e-17
0.7775,-5.1809130622822837e-17
0.78,-6.5011733333682741e-17
0.7825,-1.2506672393933729e-16
0.785,7.3119695265622235e-17
0.7875,-3.2529097446688576e-16
0.79,9.5483614468763998e-17
0.7925,3.2823936501258931e-17
0.795,-5.4160677568082239e-16
0.7975,-4.0867305972889265e-16
0.8,-1.356775897386871e-16
0.8025,-9.6928883554617084e-18
0.805,2.4341218957286232e-17
0.8075,1.266109013793274e-16
0.81,1.7884374879827528e-16
0.8125,-2.2285757037713821e-16
0.815,-7.4367694465329242e-17
0.8175,5.240735347298964e-16
0.82,-1.3429283003553953e-16
0.8225,1.8952317072922176e-16
0.825,-1.3533760844073306e-16
0.8275,1.3680662673164261e-16
0.83,-9.90565989374315e-18
0.8325,1.6725198278114346e-16
0.835,4.7789014090720201e-16
0.8375,1.7620679769484716e-17
0.84,-4.2702881187343424e-17
0.8425,5.0379488226056706e-16
0.845,-1.0088218731762307e-16
0.8475,-6.9406534450889514e-17
0.85,-4.9590954602097064e-17
0.8525,-6.2805245769529817e-18
0.855,-7.5680278785148465e-17
0.8575,3.087817026772566e-16
0.86,3.1693848191520943e-17
0.8625,1.7381331453300411e-16
0.865,1.9452693014190576e-16
0.8675,3.7521877688932816e-16
0.87,9.6259967265151786e-18
0.8725,-1.904555845607057e-18
0.875,6.1586451692538769e-17
0.8775,2.2277508330859105e-16
0.88,1.123978468184317e-16
0.8825,6.691782919962548e-16
0.885,-2.432831234856542e-16
0.8875,-1.2658029655437722e-16
0.89,1.5660716920258184e-16
0.8925,-4.6366080187748548e-16
0.895,2.0705420108471006e-16
0.8975,-1.3671917386157713e-16
0.9,-1.0015268753214444e-16
0.9025,-2.2410814183042615e-16
0.905,-5.0641678819584152e-16
0.9075,2.5173112394569817e-17
0.91,-3.2881054826096512e-17
0.9125,-2.5560519794782248e-16
0.915,1.4807901849319364e-16
0.9175,-4.6070645744547048e-18
0.92,1.4133106496795031e-16
0.9225,-1.30972303431726e-16
0.925,-9.9741954767554579e-17
0.9275,-5.5029810343738615e-17
0.93,-4.7810955334983953e-16
0.9325,1.528121709488213e-16
0.935,-3.5691705282722172e-17
0.9375,1.3505021279272755e-16
0.94,-1.9982460926483495e-16
0.9425,1.5927875851244344e-16
0.945,4.9070686070250875e-16
0.9475,3.3647097991429018e-17
0.95,1.6329455945633462e-17
0.9525,3.2705997112607788e-16
0.955,-4.1740108040631924e-17
0.9575,-1.7112527805776984e-16
0.96,-2.4225951953076547e-16
0.9625,-1.6386750872940745e-16
0.965,-7.7312117103011598e-17
0.9675,-9.2748272983742419e-17
0.97,1.5396956835021673e-16
0.9725,4.9596634225106835e-16
0.975,3.6823321370429861e-16
0.9775,2.9781601585692136e-18
0.98,1.2391689605073708e-16
0.9825,4.1494471428255268e-17
0.985,-2.8341797565990029e-16
0.9875,1.0129344870120768e-16
0.99,-6.1044630828675313e-17
0.9925,-2.0344779954411732e-17
0.995,-1.0859086840537531e-16
0.9975,-2.2883620972120352e-16
1.0,-1.189710766668622e-16
1.0025,5.279799039803438e-16
1.005,-3.2232957236999191e-16
1.0075,-7.3163980417925381e-17
1.01,1.7010502197994071e-16
1.0125,-3.5798179479248878e-16
1.015,-6.0476113496061288e-18
1.0175,-3.4956162960471926e-16
1.02,-6.4537739887623458e-17
1.0225,7.1212743322859801e-17
1.025,1.1042497020875692e-16
1.0275,6.6021375835635362e-16
1.03,-8.9089135985024597e-17
1.0325,-5.6721604039516172e-16
1.035,5.2825870320720761e-17
1.0375,9.6289441556049962e-17
1.04,2.695493746086729e-16
1.0425,-2.3315153606237222e-16
1.045,-4.8959922917994295e-17
1.0475,4.0119080492800872e-16
1.05,-3.3333093823951974e-16
1.0525,5.7375081257171885e-16
1.055,1.2959500918424095e-17
1.0575,-1.2217062088612561e-16
1.06,4.3283269333063194e-17
1.0625,-1.8936879079647396e-16
1.065,-1.7185443033790128e-16
1.0675,1.459876820286486e-17
1.07,5.3288595590860595e-17
1.0725,7.2713448355632691e-17
1.075,1.4267376174216903e-16
1.0775,8.2881604867710637e-17
1.08,-2.8093347055054758e-17
1.0825,2.8911234461365443e-16
1.085,2.1682324558010311e-16
1.0875,-9.2496997782577961e-17
1.09,-1.6525934526141087e-16
1.0925,-1.536548450846274e-16
1.095,8.4721979493665178e-17
1.0975,5.0465188669021385e-16
1.1,-1.0176579810118844e-16
