Physical Time (s),etp_right Monitor (W): right_cv1,etp_right Monitor (W): right_cv2,etp_right Monitor (W): right_cv3,etp_right Monitor (W): right_cv4,etp_right Monitor (W): right_cv5,etp_right Monitor (W): right_cv6,etp_right Monitor (W): right_cv7
0.1725,1.9969802159340512e-07,-6.0203792450940195e-09,1.637447061552573e-09,3.3517222492517502e-09,3.6438919138199804e-09,-1.1982361197290349e-09,-2.6206842158755549e-09
0.175,2.8057582346017323e-07,5.8571019988490272e-09,1.2712651980600545e-09,2.372202224620813e-09,3.8831719718563619e-09,-1.9485992161478231e-09,-2.1223700911992975e-09
0.1775,3.575697190226265e-07,1.540371547164951e-08,1.1697262975710506e-09,1.7474629258413603e-09,3.569674512467288e-09,-2.4653407099204088e-09,-1.8065803380707657e-09
0.18,4.1902948882842163e-07,2.2785137752728947e-08,1.5843113374682521e-09,1.5328904962694198e-09,2.4147529742182546e-09,-2.6046719660335554e-09,-1.5111387654883991e-09
0.1825,4.5802434280688914e-07,2.806772010119724e-08,2.6980939089295861e-09,1.4357912961531127e-09,3.0636675537896315e-10,-2.4698242623962347e-09,-9.3604207188342834e-10
0.185,4.7395885041017825e-07,3.1381444949006143e-08,4.547936901567548e-09,1.0389170656922319e-09,-2.504250845699326e-09,-2.2622884040462408e-09,1.6057171182688211e-10
0.1875,4.7117270366560359e-07,3.3091004408936055e-08,6.888202478743256e-09,1.3986210903837311e-10,-5.364237730301873e-09,-2.0671799902773971e-09,1.7339765761156301e-09
0.19,4.5739496451799448e-07,3.3788057884087621e-08,9.1825939821359228e-09,-1.0398546573267307e-09,-7.4102742859039039e-09,-1.7759854590209741e-09,3.349175562977489e-09
0.1925,4.4138323275036925e-07,3.413168079313519e-08,1.0815656340443185e-08,-1.9443560751276882e-09,-7.9376398409117598e-09,-1.253671440066943e-09,4.3162319360717111e-09
0.195,4.3056749736813698e-07,3.459688489279075e-08,1.1409297082069472e-08,-2.0246069244338833e-09,-6.748329367058769e-09,-5.467851377114488e-10,4.0342746363542188e-09
0.1975,4.2968493796962671e-07,3.5407170995665056e-08,1.099907232305268e-08,-1.1025780687231893e-09,-4.2842349442200144e-09,4.9810860726109106e-11,2.3665701786556963e-09
0.2,4.3987151063030719e-07,3.649118725447333e-08,9.9505364223203856e-09,4.676592800197901e-10,-1.4731705871791335e-09,1.5413137508117241e-10,-1.604885692347436e-10
0.2025,4.5866137691243545e-07,3.756529545671328e-08,8.6812049817747024e-09,1.974402104139225e-09,7.0567942951095638e-10,-4.2034365702957631e-10,-2.5895034840076342e-09
0.205,4.8132560496240664e-07,3.817807269661846e-08,7.354482131445495e-09,2.7357840604300058e-09,1.658367486014081e-09,-1.5140116480629394e-09,-4.0672528697261331e-09
0.2075,5.0234157625004834e-07,3.768900341202919e-08,5.8234888122085958e-09,2.4278605290292754e-09,1.3495878412946199e-09,-2.6977118564929554e-09,-4.2558367374155747e-09
0.21,5.1667525280042017e-07,3.5335392479905499e-08,3.8430102609182737e-09,1.1824573049421463e-09,1.9943611769681911e-10,-3.5066082937795811e-09,-3.4248637592495494e-09
0.2125,5.210434540529647e-07,3.0483774311157769e-08,1.32892440604616e-09,-5.4484801545869376e-10,-1.2044139878844804e-09,-3.6775042908436217e-09,-2.1948792003387606e-09
0.215,5.1420893742503807e-07,2.2987906894543214e-08,-1.508764042971427e-09,-2.2294426933533367e-09,-2.39322501849994e-09,-3.25106236249898e-09,-1.1242135289422475e-09
0.2175,4.9727671862162459e-07,1.3362511051632692e-08,-4.2589381479704375e-09,-3.50534625886878e-09,-3.1599921615664316e-09,-2.5019195311042917e-09,-4.2465435583037062e-10
0.22,4.7297646940830683e-07,2.7949559063110882e-09,-6.5297191839421523e-09,-4.2620351232410546e-09,-3.5269330913973995e-09,-1.7561817892007112e-09,2.5714057330281066e-11
0.2225,4.4532559814254685e-07,-7.1914658942485695e-09,-8.1284957007553558e-09,-4.5978354251327998e-09,-3.6184828345401025e-09,-1.2355438170540638e-09,4.3800432396857373e-10
0.225,4.1942121746945504e-07,-1.5166243580205872e-08,-9.1106381920735436e-09,-4.694817333635367e-09,-3.5466629179316419e-09,-9.8570852369366969e-10,8.6881986662229063e-10
0.2275,4.0042988397477144e-07,-2.0170461260190859e-08,-9.6961805241688072e-09,-4.7027850123239738e-09,-3.3528724896227746e-09,-9.0916017915582307e-10,1.1596644047567487e-09
0.23,3.927591481425601e-07,-2.1788557339816964e-08,-1.0151089209341699e-08,-4.693880622199763e-09,-3.0096696720181809e-09,-8.4789657585531032e-10,1.0807615403910928e-09
0.2325,3.9908972423569201e-07,-2.0095245736506378e-08,-1.0667770504921114e-08,-4.6844142264962482e-09,-2.4643556856690949e-09,-6.6099024974616504e-10,5.5080143716991042e-10
0.235,4.1976341395724516e-07,-1.5503483112794506e-08,-1.1283118529655178e-08,-4.6956998474235067e-09,-1.7116451273320642e-09,-2.8002927857453683e-10,-2.597615185741061e-10
0.2375,4.5252270224119495e-07,-8.5098897637736476e-09,-1.1818145320670053e-08,-4.7700888051802914e-09,-8.5199370391702095e-10,2.8112379306218498e-10,-1.0199735974402516e-09
0.24,4.9298659865060883e-07,3.4043094595963229e-10,-1.1873822212700515e-08,-4.9195789894254192e-09,-1.0078342784982001e-10,9.4589938256369735e-10,-1.4176270221785155e-09
0.2425,5.3550144918723448e-07,1.0457965465000533e-08,-1.0935624668348897e-08,-5.0446210578930011e-09,2.8656254006738491e-10,1.5969673434464892e-09,-1.3132657818919502e-09
0.245,5.7461616333289512e-07,2.1155273694835424e-08,-8.5688198898771036e-09,-4.8968537200225971e-09,1.6036958949610361e-10,2.1011329930078298e-09,-7.7773602568265936e-10
