Physical Time (s),aphi_vol Monitor (W): cv1,aphi_vol Monitor (W): cv2,aphi_vol Monitor (W): cv3,aphi_vol Monitor (W): cv4,aphi_vol Monitor (W): cv5,aphi_vol Monitor (W): cv6,aphi_vol Monitor (W): cv7
0.3425,7.137569276678521e-07,1.7297501662004496e-07,5.398458844872508e-09,1.1865220142393339e-10,1.4848115943395847e-11,6.3875275096505927e-12,5.1219904947316975e-12
0.345,7.1276071556858027e-07,1.7415446305863456e-07,5.4817865664609567e-09,1.2026176918074288e-10,1.4791359763668839e-11,6.4568893056785096e-12,4.2134997854214951e-12
0.3475,7.1175741507004296e-07,1.7531973777596647e-07,5.560347875247094e-09,1.2081766409340394e-10,1.4467513151200223e-11,6.2714257136783107e-12,3.3608304836292618e-12
0.35,7.1073138271382341e-07,1.764698824585756e-07,5.6343868523911858e-09,1.2048121202196685e-10,1.3931012377885637e-11,5.8667535847476812e-12,2.6805169652244004e-12
0.3525,7.0966757782912474e-07,1.7760491013973555e-07,5.7043462038740959e-09,1.1944590113001138e-10,1.324757705572689e-11,5.287686980263e-12,2.2543744675913439e-12
0.355,7.0855304703149111e-07,1.7872455923580521e-07,5.7709844982012329e-09,1.1790654754874258e-10,1.2482677124076545e-11,4.5833388948132127e-12,2.0972324908118447e-12
0.3575,7.0738105365942318e-07,1.798298719689406e-07,5.8353683075395029e-09,1.1605125416282822e-10,1.1699131671334562e-11,3.8129923107174613e-12,2.1625915015546674e-12
0.36,7.0615412032388541e-07,1.8092154734157973e-07,5.8989560184045391e-09,1.1405468214835356e-10,1.0950027621578027e-11,3.0539417176604684e-12,2.3784446990493279e-12
0.3625,7.0488305042807642e-07,1.8200149144332659e-07,5.963495130327305e-09,1.1207796385060573e-10,1.0268194694041537e-11,2.4004171684708312e-12,2.682562845075311e-12
0.365,7.0358822688039587e-07,1.8307176865066368e-07,6.0309442158427073e-09,1.1028516516258812e-10,9.6719260539525348e-12,1.9460546767740811e-12,3.0468771438758472e-12
0.3675,7.0229858877470268e-07,1.8413473484558784e-07,6.1034445209659294e-09,1.0886258077293221e-10,9.1694948284725598e-12,1.7514227894541074e-12,3.4676073143947914e-12
0.37,7.0104651179367706e-07,1.8519298931779935e-07,6.1831287989876579e-09,1.0800037706054992e-10,8.7510084840429875e-12,1.8151435868829563e-12,3.9187006100938029e-12
0.3725,6.9986442351728077e-07,1.8624853807848669e-07,6.2719962004579672e-09,1.0789993532190221e-10,8.3959793554902808e-12,2.0692577790385954e-12,4.3325752059722866e-12
0.375,6.9878069505703882e-07,1.873037472649035e-07,6.3717317642245796e-09,1.0878006285676337e-10,8.088019747077463e-12,2.4015870985281097e-12,4.6152755703976947e-12
0.3775,6.9781720847455028e-07,1.8836031220995429e-07,6.4834973726108528e-09,1.1086755379826662e-10,7.8302581428357071e-12,2.6947249865426088e-12,4.6842546424543048e-12
0.38,6.9698528002205888e-07,1.8941987365730082e-07,6.6078356914272855e-09,1.1436074645871922e-10,7.6525759259171662e-12,2.8648500973428474e-12,4.5027897730894013e-12
0.3825,6.9628494818360894e-07,1.9048327937602924e-07,6.7445435173457113e-09,1.1937575031215929e-10,7.6077742281216767e-12,2.8821878568672488e-12,4.0954996572342953e-12
