Physical Time (s),enth_flux_viscous_top Monitor (W): top_cv1,enth_flux_viscous_top Monitor (W): top_cv2,enth_flux_viscous_top Monitor (W): top_cv3,enth_flux_viscous_top Monitor (W): top_cv4,enth_flux_viscous_top Monitor (W): top_cv5,enth_flux_viscous_top Monitor (W): top_cv6,enth_flux_viscous_top Monitor (W): top_cv7
0.3325,2.7600601298250255e-10,-4.4755108299596897e-11,-1.3752803867290205e-10,-9.2477873252509296e-11,-4.0068050512251042e-11,-1.3947644068276861e-11,1.6392856351607274e-11
0.335,2.5924191825106323e-10,-4.9844625231817347e-11,-1.4447011891346036e-10,-9.7883917822954025e-11,-4.4320845689981656e-11,-2.0992121183275681e-11,9.7725220888983824e-12
0.3375,2.4568575691117115e-10,-5.3978753712918123e-11,-1.502175026228732e-10,-1.0248922423256045e-10,-4.8152861822334071e-11,-2.8262128250511873e-11,1.4783086467604606e-12
0.34,2.3622044645955942e-10,-5.6923267087473162e-11,-1.5445872970101038e-10,-1.0593997567946763e-10,-5.110324652454241e-11,-3.4492658378724344e-11,-6.7252188116639276e-12
0.3425,2.314650624690293e-10,-5.8521292998215835e-11,-1.5700493664819189e-10,-1.080235789934764e-10,-5.2862742561773346e-11,-3.8670170695799569e-11,-1.318218422215523e-11
0.345,2.3173388803365881e-10,-5.8700261882414399e-11,-1.5779446994916708e-10,-1.0868498981660892e-10,-5.3308706682182343e-11,-4.0206363154793129e-11,-1.6679271448588661e-11
0.3475,2.3703857095280213e-10,-5.7467985718048364e-11,-1.5687827676338965e-10,-1.0800792832829353e-10,-5.2501052070658685e-11,-3.9001847090020393e-11,-1.6669113962355845e-11
0.35,2.4709024691159271e-10,-5.4907442768680956e-11,-1.5440298049353731e-10,-1.0618855570172706e-10,-5.0659201860510156e-11,-3.5429852641353666e-11,-1.3351991496221598e-11
0.3525,2.6131491484104171e-10,-5.1176531479439898e-11,-1.50597373929021e-10,-1.0349697742126425e-10,-4.8115685800480038e-11,-3.0271329100816483e-11,-7.6020538989113121e-12
0.355,2.7890831904191049e-10,-4.649142782233216e-11,-1.4575267237199936e-10,-1.0025183011599939e-10,-4.5262366680391348e-11,-2.4547124563299256e-11,-7.6371835392701104e-13
0.3575,2.9888043780652392e-10,-4.1113023228906745e-11,-1.4019957199207318e-10,-9.677999175675562e-11,-4.2491074147182921e-11,-1.9328806734848737e-11,5.6378141302861932e-12
